model,benchmark,metric_type,sample_size_N,bootstrap_std_of_mean_on_0_100_scale,n_problems_in_intersection,n_bootstrap
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,10,15.441473375296798,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,10,7.581799011047682,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,15,12.79581702484579,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,15,5.9995945046625945,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,20,11.452919933361972,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,20,5.404422451157184,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,25,9.744515585702555,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,25,4.711588312301247,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,30,9.099821579447466,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,30,4.264972755126275,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,40,7.848842968074976,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,40,3.8191402977820186,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,50,7.196293420921634,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,50,3.4125500663704593,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,75,5.666783332132377,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,75,2.71253516885092,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,100,5.002359418314522,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,100,2.381002294824555,148,2000
DS-R1-1.5B,AQuA,pass1_trace0_accuracy,148,4.092640912916074,148,2000
DS-R1-1.5B,AQuA,mean_reasoning_judge_sparse,148,1.9836218695546308,148,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,10,15.501431385520501,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,10,7.949364435090079,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,15,12.893581521223824,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,15,6.709255079499378,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,20,11.317860884460456,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,20,5.659891394661671,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,25,10.079872221412332,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,25,5.005035492116289,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,30,9.140283091896006,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,30,4.6095114830900155,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,40,7.793484458186851,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,40,3.99643706064383,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,50,6.974445927813908,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,50,3.450491720930647,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,75,5.831465262788685,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,75,2.9606791122233354,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,100,4.979328042015309,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,100,2.565236760934249,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,150,4.113797799276641,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,150,2.1029650858594278,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,200,3.4618627572450067,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,200,1.8216086974213193,225,2000
DS-R1-1.5B,CommonsenseQA,pass1_trace0_accuracy,225,3.3092221606658527,225,2000
DS-R1-1.5B,CommonsenseQA,mean_reasoning_judge_sparse,225,1.663555343455339,225,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,10,15.115984089697898,177,2000
DS-R1-1.5B,GPQA,mean_reasoning_judge_sparse,10,5.907812915775867,177,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,15,12.230873503829017,177,2000
DS-R1-1.5B,GPQA,mean_reasoning_judge_sparse,15,4.888348730714566,177,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,20,10.697849959220779,177,2000
DS-R1-1.5B,GPQA,mean_reasoning_judge_sparse,20,4.347482105364784,177,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,25,9.471472113668497,177,2000
DS-R1-1.5B,GPQA,mean_reasoning_judge_sparse,25,3.7547648984601327,177,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,30,8.788426101033867,177,2000
DS-R1-1.5B,GPQA,mean_reasoning_judge_sparse,30,3.6234473935572504,177,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,40,7.599907894178719,177,2000
DS-R1-1.5B,GPQA,mean_reasoning_judge_sparse,40,3.0548778266569863,177,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,50,6.998359164832854,177,2000
DS-R1-1.5B,GPQA,mean_reasoning_judge_sparse,50,2.685576548320914,177,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,75,5.673295573709048,177,2000
DS-R1-1.5B,GPQA,mean_reasoning_judge_sparse,75,2.2013883392453524,177,2000
DS-R1-1.5B,GPQA,pass1_trace0_accuracy,100,4.977247607865215,177,2000
