model,k,sc_frs_avg_k10,mean_judged_coverage_fraction,sc_frs_rank
DS-R1-1.5B,16,86.16427199534785,0.026826609631007026,3.0
DS-R1-7B,16,94.06828962306115,0.03203397254124445,1.0
Gemma-7B,16,62.02137802848091,0.030041995306360578,9.0
LLaMA-3.1-8B,16,77.00899968709109,0.026020125960774687,8.0
Phi-4,16,85.00953075195596,0.030275191903575974,5.0
Phi-4-Reas.,16,85.0363804221888,0.03691688905887215,4.0
Qwen2.5-7B,16,79.5453695427927,0.02881745285012632,7.0
Qwen2.5-Math,16,90.47673351748108,0.030374891715628183,2.0
Qwen3-4B,16,82.19369397041498,0.026448197796205854,6.0
DS-R1-1.5B,8,85.56932922741744,0.030190939443629338,3.0
DS-R1-7B,8,92.4019083637166,0.0329502526312155,1.0
Gemma-7B,8,63.006929413179414,0.02320206019415343,9.0
LLaMA-3.1-8B,8,69.30865575396825,0.031522050963337454,8.0
Phi-4,8,83.47311253561254,0.02742039215095898,5.0
Phi-4-Reas.,8,82.06619301518198,0.03798499926526401,6.0
Qwen2.5-7B,8,77.55543068043067,0.027009217752925422,7.0
Qwen2.5-Math,8,90.6965488215488,0.024578606999844686,2.0
Qwen3-4B,8,84.58364042003747,0.025940031461333637,4.0
