held_out_benchmark,train_metric,test_target,spearman_r,spearman_p,pearson_r,pearson_p,n_models
GSM8K,frs_pct,frs_pct,0.9333333333333332,0.00023589981215941676,0.9140661455198398,0.0005626763263764581,9
MATH500,frs_pct,frs_pct,0.7166666666666667,0.029818035695845287,0.9202277761029216,0.00043636066871759367,9
SVAMP,frs_pct,frs_pct,0.6833333333333333,0.04244227208707231,0.8992089735831033,0.0009686580981707516,9
AQuA,frs_pct,frs_pct,0.8200908605806085,0.0067875328192439684,0.9339201444759069,0.00022884561401027034,9
GPQA,frs_pct,frs_pct,0.65,0.05807305801714864,0.8767600730902754,0.0019140376241374754,9
CSQA,frs_pct,frs_pct,0.4666666666666666,0.20538635110581185,0.7258112240974285,0.026846975397116276,9
GSM8K,frs_pct,pass1_pct,0.13333333333333333,0.7323675052362975,0.7043453953193819,0.03414968253885573,9
MATH500,frs_pct,pass1_pct,0.4016771562027471,0.2838999763379956,0.6872660179098501,0.04080108003111646,9
SVAMP,frs_pct,pass1_pct,0.11666666666666665,0.7650079429261462,0.7748859567102439,0.014186200364223193,9
AQuA,frs_pct,pass1_pct,0.11666666666666665,0.7650079429261462,0.5008019209676001,0.16967590446532765,9
GPQA,frs_pct,pass1_pct,0.45,0.22421610749233667,0.46552762140035014,0.20664421467502808,9
CSQA,frs_pct,pass1_pct,0.03333333333333333,0.932156735540504,0.17384999559265535,0.6546349797615353,9
GSM8K,frs_pct,trace0_pct,0.41666666666666663,0.26458604674749614,0.8637030678857549,0.002686835289414126,9
MATH500,frs_pct,trace0_pct,0.48333333333333334,0.18746985521554207,0.797539505082218,0.010023046674735414,9
SVAMP,frs_pct,trace0_pct,0.2437060839766452,0.5274463958468502,0.5385696607660697,0.13465167033949665,9
AQuA,frs_pct,trace0_pct,0.31666666666666665,0.4063970144863861,0.6315753608703927,0.0680844602716585,9
GPQA,frs_pct,trace0_pct,0.6218706970438532,0.0737649506248493,0.5261588424643759,0.14564194216019927,9
CSQA,frs_pct,trace0_pct,0.03333333333333333,0.932156735540504,0.5738813318930714,0.10613546435856647,9
GSM8K,frs_pct,unfiltered_pct,0.19999999999999998,0.6059012741795533,0.7889056255173058,0.01149588078029368,9
MATH500,frs_pct,unfiltered_pct,0.43333333333333335,0.2439524358800516,0.7724103004343346,0.01470125598429731,9
SVAMP,frs_pct,unfiltered_pct,0.39999999999999997,0.2861051019083128,0.8629250330884091,0.0027387219388696374,9
AQuA,frs_pct,unfiltered_pct,0.31666666666666665,0.4063970144863861,0.7645278811478887,0.016424121718033414,9
GPQA,frs_pct,unfiltered_pct,0.3666666666666667,0.33173980143301496,0.7824590206511751,0.012685901029039317,9
CSQA,frs_pct,unfiltered_pct,0.31666666666666665,0.4063970144863861,0.6773797449904029,0.045006676591617834,9
GSM8K,pass1_pct,frs_pct,0.049999999999999996,0.8983528043506301,0.5095494404454616,0.16114469017510047,9
MATH500,pass1_pct,frs_pct,0.26666666666666666,0.4879222748387009,0.6509634225240587,0.05757698154952444,9
SVAMP,pass1_pct,frs_pct,0.08333333333333334,0.831214097710308,0.5202390687927835,0.15106282914369187,9
AQuA,pass1_pct,frs_pct,0.32636268941473195,0.39136044929979796,0.7241220822765722,0.027380448618081,9
GPQA,pass1_pct,frs_pct,0.5166666666666667,0.1543901209862251,0.7451312801873753,0.02122420107414432,9
CSQA,pass1_pct,frs_pct,0.41666666666666663,0.26458604674749614,0.6424500123592317,0.06205438045986649,9
GSM8K,pass1_pct,pass1_pct,0.7333333333333334,0.02455415007146968,0.8871299137575012,0.001422058748683671,9
MATH500,pass1_pct,pass1_pct,0.42678197846541877,0.2519566902874007,0.7370842754582008,0.023460657895452253,9
SVAMP,pass1_pct,pass1_pct,0.8333333333333333,0.00526569102916175,0.9061416208626953,0.0007601201842136633,9
AQuA,pass1_pct,pass1_pct,0.7166666666666667,0.029818035695845287,0.8333170786908904,0.005267400182838806,9
GPQA,pass1_pct,pass1_pct,0.41666666666666663,0.26458604674749614,0.3957947960929143,0.29167286610026016,9
CSQA,pass1_pct,pass1_pct,0.16666666666666669,0.668231040071504,0.32200314004721803,0.39808887288195377,9
GSM8K,pass1_pct,trace0_pct,0.09999999999999999,0.797971695234851,0.6387541369880794,0.06406438368843301,9
MATH500,pass1_pct,trace0_pct,0.16666666666666669,0.668231040071504,0.5558619980795514,0.12018062042680598,9
SVAMP,pass1_pct,trace0_pct,0.4117792453398488,0.27080524598002204,0.5635235895870483,0.11408049041905713,9
AQuA,pass1_pct,trace0_pct,0.39999999999999997,0.2861051019083128,0.7598895583835723,0.0174982073828699,9
GPQA,pass1_pct,trace0_pct,-0.25210974204480535,0.5128371802316591,0.07072937168164006,0.8565106427772438,9
CSQA,pass1_pct,trace0_pct,0.6333333333333333,0.06708578689234565,0.8352371515321002,0.005068116001200313,9
