pass1_gap_threshold_pp,scope,n_eligible_pairs,mean_pass1_gap_pp,mean_frs_gap_pp,mean_trace0_gap_pp,mean_unfiltered_gap_pp,frac_frs_gap_gt_trace0,frac_frs_gap_gt_unfiltered,n_with_trace0,n_with_unfiltered,amplification_frs,amplification_trace0,amplification_unfiltered
2.0,all_benchmarks,15,0.9266666666666661,12.18,9.641666666666667,6.420833333333334,0.6666666666666666,0.6666666666666666,15,15,13.143884892086339,10.404676258992813,6.9289568345323795
2.0,GSM8K,2,1.0499999999999972,20.35000000000001,6.75,9.34375,1.0,1.0,2,2,19.38095238095244,6.428571428571446,8.898809523809549
2.0,MATH500,2,0.09999999999999787,8.849999999999994,5.5625,9.4375,1.0,0.5,2,2,88.50000000000183,55.62500000000119,94.37500000000202
2.0,SVAMP,5,1.0599999999999994,13.899999999999997,14.325,5.375,0.4,0.6,5,5,13.113207547169816,13.514150943396233,5.070754716981135
2.0,AQuA,2,0.9500000000000028,7.449999999999996,5.0,5.8125,0.5,0.5,2,2,7.842105263157867,5.2631578947368265,6.118421052631561
2.0,GPQA,3,1.0,10.433333333333335,11.416666666666664,5.500000000000004,0.6666666666666666,0.6666666666666666,3,3,10.433333333333335,11.416666666666664,5.500000000000004
2.0,CSQA,1,1.3999999999999986,8.600000000000009,4.125,3.75,1.0,1.0,1,1,6.142857142857155,2.9464285714285743,2.6785714285714315
3.0,all_benchmarks,27,1.6666666666666667,12.255555555555555,9.101851851851851,6.733796296296297,0.6296296296296297,0.6666666666666666,27,27,7.353333333333333,5.46111111111111,4.040277777777778
3.0,GSM8K,4,1.6499999999999986,18.400000000000006,6.03125,8.640625,0.75,1.0,4,4,11.151515151515165,3.6553030303030334,5.236742424242429
3.0,MATH500,6,1.9666666666666675,10.116666666666665,7.729166666666667,7.854166666666667,0.6666666666666666,0.6666666666666666,6,6,5.144067796610167,3.9300847457627106,3.9936440677966085
3.0,SVAMP,8,1.612499999999999,14.237499999999997,12.8125,6.28125,0.5,0.625,8,8,8.829457364341089,7.945736434108532,3.895348837209305
3.0,AQuA,2,0.9500000000000028,7.449999999999996,5.0,5.8125,0.5,0.5,2,2,7.842105263157867,5.2631578947368265,6.118421052631561
3.0,GPQA,5,1.5400000000000005,7.300000000000002,8.249999999999998,4.9250000000000025,0.6,0.4,5,5,4.74025974025974,5.357142857142854,3.1980519480519485
3.0,CSQA,2,2.0500000000000007,15.650000000000006,10.750000000000004,6.8125,1.0,1.0,2,2,7.634146341463415,5.2439024390243905,3.323170731707316
5.0,all_benchmarks,34,2.1191176470588236,12.855882352941178,8.477941176470589,7.051470588235294,0.6764705882352942,0.7058823529411765,34,34,6.066620402498265,4.000693962526023,3.3275503122831367
5.0,GSM8K,7,2.607142857142857,16.828571428571433,7.553571428571429,8.455357142857142,0.7142857142857143,1.0,7,7,6.454794520547947,2.8972602739726026,3.2431506849315066
5.0,MATH500,6,1.9666666666666675,10.116666666666665,7.729166666666667,7.854166666666667,0.6666666666666666,0.6666666666666666,6,6,5.144067796610167,3.9300847457627106,3.9936440677966085
5.0,SVAMP,10,2.0199999999999987,13.839999999999998,10.55,5.375,0.6,0.6,10,10,6.851485148514855,5.222772277227726,2.6608910891089126
5.0,AQuA,2,0.9500000000000028,7.449999999999996,5.0,5.8125,0.5,0.5,2,2,7.842105263157867,5.2631578947368265,6.118421052631561
5.0,GPQA,6,2.1,9.000000000000002,7.604166666666665,6.375000000000003,0.6666666666666666,0.5,6,6,4.2857142857142865,3.621031746031745,3.035714285714287
5.0,CSQA,3,2.433333333333335,17.100000000000005,9.29166666666667,9.9375,1.0,1.0,3,3,7.02739726027397,3.8184931506849304,4.083904109589039
