model,benchmark,variant,frs_bin010_pct,n_judged_in_bin,mean_correct
DS-R1-1.5B,AQuA,drop_coherence,90.66666666666666,50,0.76
DS-R1-1.5B,AQuA,drop_factuality,88.83333333333334,50,0.76
DS-R1-1.5B,AQuA,drop_faithfulness,91.0,50,0.76
DS-R1-1.5B,AQuA,drop_utility,90.0,50,0.76
DS-R1-1.5B,AQuA,full_4d,90.125,50,0.76
DS-R1-1.5B,AQuA,only_coherence,88.5,50,0.76
DS-R1-1.5B,AQuA,only_factuality,94.0,50,0.76
DS-R1-1.5B,AQuA,only_faithfulness,87.5,50,0.76
DS-R1-1.5B,AQuA,only_utility,90.5,50,0.76
DS-R1-1.5B,CSQA,drop_coherence,54.66666666666667,50,0.32
DS-R1-1.5B,CSQA,drop_factuality,54.5,50,0.32
DS-R1-1.5B,CSQA,drop_faithfulness,58.33333333333333,50,0.32
DS-R1-1.5B,CSQA,drop_utility,57.0,50,0.32
DS-R1-1.5B,CSQA,full_4d,56.125,50,0.32
DS-R1-1.5B,CSQA,only_coherence,60.5,50,0.32
DS-R1-1.5B,CSQA,only_factuality,61.0,50,0.32
DS-R1-1.5B,CSQA,only_faithfulness,49.5,50,0.32
DS-R1-1.5B,CSQA,only_utility,53.5,50,0.32
DS-R1-1.5B,GPQA,drop_coherence,55.33333333333333,50,0.48
DS-R1-1.5B,GPQA,drop_factuality,56.5,50,0.48
DS-R1-1.5B,GPQA,drop_faithfulness,58.0,50,0.48
DS-R1-1.5B,GPQA,drop_utility,56.66666666666667,50,0.48
DS-R1-1.5B,GPQA,full_4d,56.625,50,0.48
DS-R1-1.5B,GPQA,only_coherence,60.5,50,0.48
DS-R1-1.5B,GPQA,only_factuality,57.0,50,0.48
DS-R1-1.5B,GPQA,only_faithfulness,52.5,50,0.48
DS-R1-1.5B,GPQA,only_utility,56.5,50,0.48
DS-R1-1.5B,GSM8K,drop_coherence,94.66666666666666,50,0.9
DS-R1-1.5B,GSM8K,drop_factuality,95.33333333333334,50,0.9
DS-R1-1.5B,GSM8K,drop_faithfulness,95.5,50,0.9
DS-R1-1.5B,GSM8K,drop_utility,95.0,50,0.9
DS-R1-1.5B,GSM8K,full_4d,95.125,50,0.9
DS-R1-1.5B,GSM8K,only_coherence,96.5,50,0.9
DS-R1-1.5B,GSM8K,only_factuality,94.5,50,0.9
DS-R1-1.5B,GSM8K,only_faithfulness,94.0,50,0.9
DS-R1-1.5B,GSM8K,only_utility,95.5,50,0.9
DS-R1-1.5B,MATH500,drop_coherence,84.5,50,0.74
DS-R1-1.5B,MATH500,drop_factuality,83.66666666666666,50,0.74
DS-R1-1.5B,MATH500,drop_faithfulness,85.16666666666666,50,0.74
DS-R1-1.5B,MATH500,drop_utility,84.66666666666666,50,0.74
DS-R1-1.5B,MATH500,full_4d,84.5,50,0.74
DS-R1-1.5B,MATH500,only_coherence,84.5,50,0.74
DS-R1-1.5B,MATH500,only_factuality,87.0,50,0.74
DS-R1-1.5B,MATH500,only_faithfulness,82.5,50,0.74
DS-R1-1.5B,MATH500,only_utility,84.0,50,0.74
DS-R1-1.5B,SVAMP,drop_coherence,96.66666666666666,50,0.92
DS-R1-1.5B,SVAMP,drop_factuality,97.0,50,0.92
DS-R1-1.5B,SVAMP,drop_faithfulness,97.16666666666666,50,0.92
DS-R1-1.5B,SVAMP,drop_utility,96.66666666666666,50,0.92
DS-R1-1.5B,SVAMP,full_4d,96.875,50,0.92
DS-R1-1.5B,SVAMP,only_coherence,97.5,50,0.92
DS-R1-1.5B,SVAMP,only_factuality,96.5,50,0.92
DS-R1-1.5B,SVAMP,only_faithfulness,96.0,50,0.92
DS-R1-1.5B,SVAMP,only_utility,97.5,50,0.92
DS-R1-7B,AQuA,drop_coherence,97.16666666666666,50,0.86
DS-R1-7B,AQuA,drop_factuality,96.0,50,0.86
DS-R1-7B,AQuA,drop_faithfulness,97.5,50,0.86
DS-R1-7B,AQuA,drop_utility,96.33333333333334,50,0.86
DS-R1-7B,AQuA,full_4d,96.75,50,0.86
DS-R1-7B,AQuA,only_coherence,95.5,50,0.86
DS-R1-7B,AQuA,only_factuality,99.0,50,0.86
DS-R1-7B,AQuA,only_faithfulness,94.5,50,0.86
DS-R1-7B,AQuA,only_utility,98.0,50,0.86
DS-R1-7B,CSQA,drop_coherence,79.5,50,0.54
DS-R1-7B,CSQA,drop_factuality,77.16666666666667,50,0.54
DS-R1-7B,CSQA,drop_faithfulness,80.5,50,0.54
DS-R1-7B,CSQA,drop_utility,79.83333333333334,50,0.54
DS-R1-7B,CSQA,full_4d,79.25,50,0.54
DS-R1-7B,CSQA,only_coherence,78.5,50,0.54
DS-R1-7B,CSQA,only_factuality,85.5,50,0.54
DS-R1-7B,CSQA,only_faithfulness,75.5,50,0.54
DS-R1-7B,CSQA,only_utility,77.5,50,0.54
