model,benchmark,num_contributing_problems,total_problems,fraction_contributing,mean_traces_per_contributing_problem,max_traces_per_contributing_problem,concentration_ratio_top20pct,n_problems_with_0_in_top10,n_top10_traces
DS-R1-1.5B,AQuA,132,254,0.5196850393700787,3.0833333333333335,13,0.44226044226044225,122,407
DS-R1-1.5B,CommonsenseQA,899,1221,0.7362817362817363,2.1735261401557286,8,0.3915046059365404,322,1954
DS-R1-1.5B,GPQA,179,448,0.39955357142857145,4.005586592178771,14,0.49372384937238495,269,717
DS-R1-1.5B,GSM8K,798,1319,0.6050037907505686,2.645363408521303,10,0.4291804831833254,521,2111
DS-R1-1.5B,MATH500,290,500,0.58,2.7586206896551726,14,0.4575,210,800
DS-R1-1.5B,SVAMP,636,1000,0.636,2.5157232704402515,10,0.4275,364,1600
DS-R1-7B,AQuA,132,254,0.5196850393700787,3.0833333333333335,11,0.4520884520884521,122,407
DS-R1-7B,CommonsenseQA,843,1221,0.6904176904176904,2.31791221826809,10,0.42528147389969295,378,1954
DS-R1-7B,GPQA,223,448,0.49776785714285715,3.2152466367713006,10,0.4100418410041841,225,717
DS-R1-7B,GSM8K,747,1319,0.5663381349507203,2.825970548862115,13,0.4471814306016106,572,2111
DS-R1-7B,MATH500,254,500,0.508,3.1496062992125986,14,0.47125,246,800
DS-R1-7B,SVAMP,585,1000,0.585,2.735042735042735,15,0.46875,415,1600
Gemma-7B,AQuA,198,254,0.7795275590551181,2.0555555555555554,7,0.4152334152334152,56,407
Gemma-7B,CommonsenseQA,977,1221,0.8001638001638002,2.0,8,0.36591606960081885,244,1954
Gemma-7B,GPQA,274,448,0.6116071428571429,2.616788321167883,11,0.5230125523012552,174,717
Gemma-7B,GSM8K,982,1319,0.7445034116755117,2.14969450101833,8,0.3912837517764093,337,2111
Gemma-7B,MATH500,363,500,0.726,2.203856749311295,9,0.4325,137,800
Gemma-7B,SVAMP,790,1000,0.79,2.0253164556962027,7,0.366875,210,1600
LLaMA-3.1-8B,AQuA,166,254,0.6535433070866141,2.4518072289156625,8,0.39803439803439805,88,407
LLaMA-3.1-8B,CommonsenseQA,942,1221,0.7714987714987716,2.0743099787685777,9,0.3812691914022518,279,1954
LLaMA-3.1-8B,GPQA,331,448,0.7388392857142857,2.1661631419939575,8,0.39330543933054396,117,717
LLaMA-3.1-8B,GSM8K,992,1319,0.7520849128127369,2.128024193548387,7,0.37801989578398865,327,2111
LLaMA-3.1-8B,MATH500,309,500,0.618,2.588996763754045,12,0.415,191,800
LLaMA-3.1-8B,SVAMP,770,1000,0.77,2.0779220779220777,7,0.375,230,1600
Phi-4,AQuA,195,254,0.7677165354330708,2.0871794871794873,9,0.40294840294840295,59,407
Phi-4,CommonsenseQA,982,1221,0.8042588042588042,1.989816700610998,9,0.39355168884339814,239,1954
Phi-4,GPQA,185,448,0.41294642857142855,3.8756756756756756,16,0.6861924686192469,263,717
Phi-4,GSM8K,1013,1319,0.7680060652009097,2.08390918065153,11,0.39317858834675506,306,2111
Phi-4,MATH500,277,500,0.554,2.888086642599278,13,0.46875,223,800
Phi-4,SVAMP,798,1000,0.798,2.0050125313283207,10,0.39625,202,1600
Phi-4-Reas.,AQuA,155,254,0.610236220472441,2.6258064516129034,11,0.43243243243243246,99,407
Phi-4-Reas.,CommonsenseQA,956,1221,0.782964782964783,2.0439330543933054,6,0.3705220061412487,265,1954
Phi-4-Reas.,GPQA,316,448,0.7053571428571429,2.268987341772152,12,0.4490934449093445,132,717
Phi-4-Reas.,GSM8K,967,1319,0.733131159969674,2.183040330920372,10,0.40928469919469446,352,2111
Phi-4-Reas.,MATH500,296,500,0.592,2.7027027027027026,13,0.47,204,800
Phi-4-Reas.,SVAMP,744,1000,0.744,2.150537634408602,10,0.405625,256,1600
Qwen2.5-7B,AQuA,142,254,0.5590551181102362,2.8661971830985915,10,0.40786240786240785,112,407
Qwen2.5-7B,CommonsenseQA,846,1221,0.6928746928746928,2.309692671394799,11,0.4375639713408393,375,1954
Qwen2.5-7B,GPQA,226,448,0.5044642857142857,3.172566371681416,13,0.46582984658298465,222,717
Qwen2.5-7B,GSM8K,871,1319,0.6603487490523123,2.4236509758897817,14,0.4268119374703932,448,2111
Qwen2.5-7B,MATH500,244,500,0.488,3.278688524590164,12,0.43125,256,800
Qwen2.5-7B,SVAMP,697,1000,0.697,2.2955523672883786,14,0.421875,303,1600
Qwen2.5-Math,AQuA,186,254,0.7322834645669292,2.1881720430107525,7,0.40786240786240785,68,407
Qwen2.5-Math,CommonsenseQA,943,1221,0.7723177723177723,2.0721102863202545,8,0.3858751279426817,278,1954
Qwen2.5-Math,GPQA,173,448,0.3861607142857143,4.144508670520231,15,0.48675034867503486,275,717
Qwen2.5-Math,GSM8K,954,1319,0.7232752084912812,2.2127882599580713,11,0.4107058266224538,365,2111
Qwen2.5-Math,MATH500,224,500,0.448,3.5714285714285716,14,0.515,276,800
Qwen2.5-Math,SVAMP,739,1000,0.739,2.165087956698241,8,0.391875,261,1600
Qwen3-4B,AQuA,108,254,0.4251968503937008,3.7685185185185186,15,0.48894348894348894,146,407
Qwen3-4B,CommonsenseQA,720,1221,0.5896805896805897,2.713888888888889,11,0.44165813715455476,501,1954
Qwen3-4B,GPQA,191,448,0.4263392857142857,3.7539267015706805,15,0.497907949790795,257,717
Qwen3-4B,GSM8K,829,1319,0.6285064442759667,2.546441495778046,14,0.41639033633349126,490,2111
Qwen3-4B,MATH500,226,500,0.452,3.5398230088495577,16,0.5475,274,800
Qwen3-4B,SVAMP,652,1000,0.652,2.4539877300613497,16,0.43875,348,1600
