split,seed,model,benchmark,regime,frs_cal,acc_cal,bon_reasoning,bon_accuracy,random_reasoning,random_accuracy,lift
0,42,DS-R1-1.5B,aqua,reliable,98.4375,0.525,74.49324324324324,0.5675675675675675,73.15878378378379,0.5423423423423424,1.3344594594594525
0,42,DS-R1-1.5B,commonsenseqa,reliable,66.34615384615384,0.44715447154471544,55.357142857142854,0.4017857142857143,55.6640625,0.41517857142857145,-0.3069196428571459
0,42,DS-R1-1.5B,gpqa,reliable,46.15384615384615,0.3870967741935484,53.73641304347826,0.29347826086956524,52.58152173913044,0.26992753623188404,1.1548913043478208
0,42,DS-R1-1.5B,gsm8k,reliable,98.5576923076923,0.8372093023255814,90.37610619469027,0.8672566371681416,90.67109144542772,0.8731563421828908,-0.2949852507374544
0,42,DS-R1-1.5B,math500,reliable,80.76923076923077,0.6015625,74.81435643564356,0.6336633663366337,74.02021452145215,0.6171617161716171,0.7941419141914139
0,42,DS-R1-1.5B,svamp,reliable,100.0,0.946969696969697,87.08333333333333,0.8476190476190476,86.96428571428571,0.8428571428571429,0.1190476190476204
0,42,DS-R1-7B,aqua,reliable,96.63461538461539,0.8188976377952756,91.7910447761194,0.8208955223880597,90.08084577114428,0.808457711442786,1.7101990049751237
0,42,DS-R1-7B,commonsenseqa,reliable,77.88461538461539,0.5354330708661418,77.42117117117117,0.5045045045045045,77.13963963963964,0.5,0.28153153153152743
0,42,DS-R1-7B,gpqa,reliable,69.27083333333333,0.39166666666666666,66.43041237113403,0.4948453608247423,66.00085910652922,0.5223367697594501,0.4295532646048059
0,42,DS-R1-7B,gsm8k,reliable,100.0,0.9495798319327731,97.72245762711864,0.9491525423728814,97.72245762711864,0.9491525423728814,0.0
0,42,DS-R1-7B,math500,reliable,97.91666666666667,0.675,87.95572916666667,0.7708333333333334,87.21245659722223,0.7612847222222223,0.7432725694444429
0,42,DS-R1-7B,svamp,reliable,100.0,0.990990990990991,95.86776859504133,0.9586776859504132,95.84194214876032,0.9586776859504132,0.025826446281001836
0,42,Gemma-7B,aqua,inverted,21.354166666666668,0.3565217391304348,35.788690476190474,0.32142857142857145,38.58506944444444,0.35714285714285715,-2.7963789682539684
0,42,Gemma-7B,commonsenseqa,inverted,9.821428571428571,0.15671641791044777,26.547619047619047,0.2,26.49801587301587,0.20634920634920637,0.049603174603177536
0,42,Gemma-7B,gpqa,inverted,31.25,0.17164179104477612,34.375,0.14893617021276595,34.5633865248227,0.14716312056737588,-0.1883865248226968
0,42,Gemma-7B,gsm8k,inverted,26.666666666666668,0.4305555555555556,52.577319587628864,0.3711340206185567,51.57860824742268,0.3556701030927835,0.9987113402061851
0,42,Gemma-7B,math500,inverted,16.071428571428573,0.08571428571428572,34.411764705882355,0.11764705882352941,34.963235294117645,0.11764705882352941,-0.5514705882352899
0,42,Gemma-7B,svamp,inverted,23.4375,0.4166666666666667,52.37068965517241,0.43103448275862066,53.978089080459775,0.44396551724137934,-1.6073994252873618
0,42,LLaMA-3.1-8B,aqua,reliable,60.09615384615385,0.4015748031496063,47.0679012345679,0.43209876543209874,44.347993827160494,0.38168724279835387,2.7199074074074048
0,42,LLaMA-3.1-8B,commonsenseqa,reliable,41.82692307692308,0.6615384615384615,56.13425925925926,0.6851851851851852,55.73398919753087,0.6828703703703703,0.4002700617283921
0,42,LLaMA-3.1-8B,gpqa,reliable,53.97727272727273,0.39090909090909093,52.267699115044245,0.4336283185840708,52.0372418879056,0.41887905604719766,0.23045722713864336
0,42,LLaMA-3.1-8B,gsm8k,reliable,73.66071428571429,0.6567164179104478,78.30528846153847,0.7884615384615384,78.03485576923077,0.7836538461538461,0.2704326923076934
0,42,LLaMA-3.1-8B,math500,reliable,54.6875,0.24369747899159663,53.00480769230769,0.38461538461538464,52.31370192307692,0.3862179487179487,0.6911057692307736
0,42,LLaMA-3.1-8B,svamp,reliable,85.71428571428571,0.8014705882352942,76.34803921568627,0.803921568627451,76.76674836601308,0.795751633986928,-0.418709150326805
0,42,Phi-4,aqua,flat,80.20833333333333,0.5677966101694916,76.11607142857143,0.5,75.81845238095238,0.5109126984126984,0.297619047619051
0,42,Phi-4,commonsenseqa,flat,84.13461538461539,0.5901639344262295,69.07051282051282,0.5811965811965812,69.07941595441596,0.5783475783475782,-0.008903133903146454
0,42,Phi-4,gpqa,flat,59.09090909090909,0.27102803738317754,51.54816513761468,0.23853211009174313,50.831422018348626,0.2194189602446483,0.7167431192660558
0,42,Phi-4,gsm8k,flat,98.07692307692308,0.6,88.8586956521739,0.591304347826087,88.55978260869566,0.5826086956521739,0.298913043478251
0,42,Phi-4,math500,flat,75.48076923076923,0.52,72.05528846153847,0.5096153846153846,72.88661858974359,0.5064102564102564,-0.8313301282051242
0,42,Phi-4,svamp,flat,75.0,0.5416666666666666,82.21982758620689,0.5431034482758621,81.77981321839081,0.5431034482758621,0.44001436781607595
0,42,Phi-4-Reas.,aqua,inverted,68.75,0.7280701754385965,86.28246753246754,0.6103896103896104,87.01839826839826,0.6147186147186148,-0.7359307359307223
0,42,Phi-4-Reas.,commonsenseqa,inverted,22.596153846153847,0.8538461538461538,59.88636363636363,0.7727272727272727,60.02840909090909,0.7772727272727272,-0.14204545454546036
0,42,Phi-4-Reas.,gpqa,inverted,30.357142857142858,0.5939849624060151,65.01524390243902,0.5975609756097561,64.65955284552845,0.5995934959349594,0.35569105691057246
0,42,Phi-4-Reas.,gsm8k,inverted,77.40384615384616,0.9761904761904762,94.71982758620689,1.0,94.66594827586206,1.0,0.053879310344825626
0,42,Phi-4-Reas.,math500,inverted,75.0,0.8936170212765957,86.55913978494624,0.9139784946236559,86.581541218638,0.9086021505376344,-0.022401433691754846
0,42,Phi-4-Reas.,svamp,inverted,54.017857142857146,1.0,92.20238095238095,0.9714285714285714,92.35119047619048,0.9714285714285714,-0.1488095238095326
0,42,Qwen2.5-7B,aqua,flat,82.6923076923077,0.6311475409836066,70.08928571428571,0.7976190476190477,68.9546130952381,0.7549603174603174,1.1346726190476062
