model,dataset,topk_pct,topk_label,judged_samples_used,mean_reasoning_score,ci_lower,ci_upper,cumulative_accuracy_population
DS-R1-1.5B,AQuA,10,top10,50,0.90125,0.84875,0.94625,0.8034398034398035
DS-R1-1.5B,AQuA,20,top20,100,0.85875,0.8199687499999999,0.894375,0.7269372693726938
DS-R1-1.5B,AQuA,30,top30,150,0.825,0.7908229166666667,0.85625,0.65
DS-R1-1.5B,AQuA,40,top40,200,0.7734375,0.7428125,0.8037578124999999,0.5977859778597786
DS-R1-1.5B,AQuA,50,top50,250,0.73,0.69749375,0.76,0.5492125984251969
DS-R1-1.5B,CommonsenseQA,10,top10,50,0.56125,0.48,0.6425,0.4437052200614125
DS-R1-1.5B,CommonsenseQA,20,top20,100,0.5725,0.516875,0.635015625,0.4214431934493347
DS-R1-1.5B,CommonsenseQA,30,top30,150,0.5775,0.5329166666666667,0.6225,0.41818802252175397
DS-R1-1.5B,CommonsenseQA,40,top40,200,0.584375,0.5478125,0.6196875,0.4159948816378759
DS-R1-1.5B,CommonsenseQA,50,top50,250,0.56325,0.53175,0.5955,0.41738329238329236
DS-R1-1.5B,GPQA,10,top10,50,0.56625,0.48625,0.6475,0.3626220362622036
DS-R1-1.5B,GPQA,20,top20,100,0.52875,0.48375,0.575625,0.34937238493723843
DS-R1-1.5B,GPQA,30,top30,150,0.525,0.4908333333333333,0.5600104166666666,0.34728033472803344
DS-R1-1.5B,GPQA,40,top40,200,0.5271875,0.4984375,0.5571953124999999,0.3465829846582984
DS-R1-1.5B,GPQA,50,top50,250,0.51325,0.48875,0.53925,0.33705357142857134
DS-R1-1.5B,GSM8K,10,top10,50,0.95125,0.9025,0.98875,0.9227854097584084
DS-R1-1.5B,GSM8K,20,top20,100,0.935625,0.900625,0.968140625,0.9132906894100924
DS-R1-1.5B,GSM8K,30,top30,150,0.9175,0.8858333333333334,0.94584375,0.8945041061276058
DS-R1-1.5B,GSM8K,40,top40,200,0.9075,0.8787421875,0.933125,0.8819000236910685
DS-R1-1.5B,GSM8K,50,top50,250,0.87225,0.84375,0.89925,0.8623957543593631
DS-R1-1.5B,MATH500,10,top10,50,0.845,0.77,0.91375,0.76375
DS-R1-1.5B,MATH500,20,top20,100,0.845,0.79875,0.89125,0.735
DS-R1-1.5B,MATH500,30,top30,150,0.795,0.7512395833333333,0.8354166666666667,0.70625
DS-R1-1.5B,MATH500,40,top40,200,0.7740625,0.7378125,0.8112578125,0.68125
DS-R1-1.5B,MATH500,50,top50,250,0.75275,0.72175,0.78400625,0.65025
DS-R1-1.5B,SVAMP,10,top10,50,0.96875,0.93125,0.99625,0.91625
DS-R1-1.5B,SVAMP,20,top20,100,0.943125,0.909375,0.975,0.9190625
DS-R1-1.5B,SVAMP,30,top30,150,0.9354166666666668,0.90665625,0.96375,0.911875
DS-R1-1.5B,SVAMP,40,top40,200,0.9253125,0.896875,0.949078125,0.90578125
DS-R1-1.5B,SVAMP,50,top50,250,0.8985,0.87275,0.92175,0.89275
DS-R1-7B,AQuA,10,top10,50,0.9675,0.93996875,0.98875,0.9213759213759214
DS-R1-7B,AQuA,20,top20,100,0.956875,0.934359375,0.9775,0.9188191881918819
DS-R1-7B,AQuA,30,top30,150,0.9354166666666668,0.9120833333333334,0.9570833333333332,0.898360655737705
DS-R1-7B,AQuA,40,top40,200,0.91875,0.8974921874999999,0.94,0.8813038130381304
DS-R1-7B,AQuA,50,top50,250,0.89225,0.8705,0.9155,0.8587598425196851
DS-R1-7B,CommonsenseQA,10,top10,50,0.7925,0.7249687499999999,0.8525312499999999,0.5690890481064483
DS-R1-7B,CommonsenseQA,20,top20,100,0.8075,0.769375,0.842515625,0.5683213920163767
DS-R1-7B,CommonsenseQA,30,top30,150,0.8045833333333333,0.7741666666666667,0.8337604166666666,0.5649206620030711
DS-R1-7B,CommonsenseQA,40,top40,200,0.791875,0.7662421875,0.8171953124999999,0.5604606525911708
DS-R1-7B,CommonsenseQA,50,top50,250,0.77375,0.75,0.7965,0.5497542997542998
DS-R1-7B,GPQA,10,top10,50,0.62875,0.58371875,0.6775,0.4309623430962343
DS-R1-7B,GPQA,20,top20,100,0.638125,0.6018593750000001,0.673125,0.40446304044630405
DS-R1-7B,GPQA,30,top30,150,0.64375,0.6141666666666666,0.6733333333333333,0.41701534170153415
DS-R1-7B,GPQA,40,top40,200,0.6403125,0.6153125,0.6665703124999999,0.4246861924686193
DS-R1-7B,GPQA,50,top50,250,0.6415,0.61874375,0.66425625,0.43638392857142855
DS-R1-7B,GSM8K,10,top10,50,0.98875,0.96625,1.0,0.9692089057318808
DS-R1-7B,GSM8K,20,top20,100,0.969375,0.944375,0.99,0.9613835583984839
DS-R1-7B,GSM8K,30,top30,150,0.9745833333333334,0.9566666666666668,0.9891666666666666,0.9575173720783323
DS-R1-7B,GSM8K,40,top40,200,0.9790625,0.965,0.9903125,0.9530916844349681
DS-R1-7B,GSM8K,50,top50,250,0.97425,0.96124375,0.98525,0.9485405610310842
DS-R1-7B,MATH500,10,top10,50,0.94,0.89621875,0.975,0.7725
DS-R1-7B,MATH500,20,top20,100,0.9425,0.915625,0.96625,0.763125
DS-R1-7B,MATH500,30,top30,150,0.9233333333333332,0.8975,0.9466666666666668,0.7533333333333333
DS-R1-7B,MATH500,40,top40,200,0.90375,0.8796875,0.9253125,0.7446875
DS-R1-7B,MATH500,50,top50,250,0.894,0.87175,0.91475625,0.72525
DS-R1-7B,SVAMP,10,top10,50,0.99,0.97375,1.0,0.9625
DS-R1-7B,SVAMP,20,top20,100,0.97875,0.959375,0.99375,0.96125
DS-R1-7B,SVAMP,30,top30,150,0.9666666666666668,0.9470833333333334,0.9829166666666668,0.95875
DS-R1-7B,SVAMP,40,top40,200,0.9690625,0.9540625,0.9821875,0.95859375
DS-R1-7B,SVAMP,50,top50,250,0.966,0.95299375,0.97875,0.9575
Gemma-7B,AQuA,10,top10,50,0.2225,0.1825,0.265,0.1351351351351351
Gemma-7B,AQuA,20,top20,100,0.33375,0.284375,0.3868906249999999,0.19557195571955718
Gemma-7B,AQuA,30,top30,150,0.3533333333333333,0.3145833333333333,0.3937604166666666,0.23688524590163934
Gemma-7B,AQuA,40,top40,200,0.3775,0.3428125,0.4150078124999999,0.25768757687576876
Gemma-7B,AQuA,50,top50,250,0.3905,0.3592375,0.42325,0.27312992125984253
Gemma-7B,CommonsenseQA,10,top10,50,0.13375,0.07625,0.2025,0.1550665301944728
Gemma-7B,CommonsenseQA,20,top20,100,0.174375,0.125625,0.2275,0.18295803480040937
Gemma-7B,CommonsenseQA,30,top30,150,0.2479166666666666,0.2025,0.2966770833333333,0.1968947278621395
Gemma-7B,CommonsenseQA,40,top40,200,0.2434375,0.206875,0.2843828124999999,0.17619961612284063
Gemma-7B,CommonsenseQA,50,top50,250,0.24625,0.2145,0.281,0.16707616707616704
Gemma-7B,GPQA,10,top10,50,0.30875,0.27375,0.34375,0.11436541143654111
Gemma-7B,GPQA,20,top20,100,0.324375,0.301875,0.3456406249999999,0.07949790794979075
Gemma-7B,GPQA,30,top30,150,0.3354166666666666,0.3166666666666666,0.3541666666666667,0.09019060901906087
Gemma-7B,GPQA,40,top40,200,0.3490625,0.3290625,0.368125,0.1237796373779637
Gemma-7B,GPQA,50,top50,250,0.354,0.33649375,0.373,0.15262276785714282
Gemma-7B,GSM8K,10,top10,50,0.4125,0.3225,0.5175312499999998,0.2444339175746092
Gemma-7B,GSM8K,20,top20,100,0.501875,0.435,0.574375,0.3307273158019426
Gemma-7B,GSM8K,30,top30,150,0.5358333333333334,0.4795729166666666,0.5908333333333333,0.3566013897662665
Gemma-7B,GSM8K,40,top40,200,0.5590625,0.5140625,0.6034453124999999,0.36507936507936506
Gemma-7B,GSM8K,50,top50,250,0.55825,0.5167437500000001,0.59925,0.3659021986353298
Gemma-7B,MATH500,10,top10,50,0.18875,0.1487187499999999,0.22875,0.04
Gemma-7B,MATH500,20,top20,100,0.250625,0.216875,0.2868906249999999,0.07
Gemma-7B,MATH500,30,top30,150,0.29,0.26290625,0.3195937499999999,0.09125
Gemma-7B,MATH500,40,top40,200,0.3265625,0.2978125,0.3571953125,0.1090625
Gemma-7B,MATH500,50,top50,250,0.34375,0.31749375,0.37125,0.122
Gemma-7B,SVAMP,10,top10,50,0.31125,0.21875,0.4062812499999998,0.219375
Gemma-7B,SVAMP,20,top20,100,0.431875,0.365,0.50125,0.32
Gemma-7B,SVAMP,30,top30,150,0.4966666666666666,0.4408229166666667,0.55375,0.36125
Gemma-7B,SVAMP,40,top40,200,0.52,0.4703125,0.568453125,0.3871875
Gemma-7B,SVAMP,50,top50,250,0.51175,0.46774375,0.55525,0.402125
LLaMA-3.1-8B,AQuA,10,top10,50,0.52875,0.455,0.605,0.5675675675675675
LLaMA-3.1-8B,AQuA,20,top20,100,0.51,0.459375,0.563125,0.5055350553505535
LLaMA-3.1-8B,AQuA,30,top30,150,0.4704166666666666,0.4304166666666666,0.5116770833333333,0.45491803278688525
LLaMA-3.1-8B,AQuA,40,top40,200,0.4528125,0.42,0.4884453125,0.4280442804428044
LLaMA-3.1-8B,AQuA,50,top50,250,0.43675,0.40775,0.4665,0.4089566929133858
LLaMA-3.1-8B,CommonsenseQA,10,top10,50,0.55,0.49121875,0.6100312499999998,0.6827021494370522
LLaMA-3.1-8B,CommonsenseQA,20,top20,100,0.565625,0.524375,0.60375,0.6837256908904811
LLaMA-3.1-8B,CommonsenseQA,30,top30,150,0.5466666666666666,0.5174895833333333,0.5783437499999999,0.6811124381504863
LLaMA-3.1-8B,CommonsenseQA,40,top40,200,0.544375,0.51875,0.5684453125,0.6747280870121561
LLaMA-3.1-8B,CommonsenseQA,50,top50,250,0.54625,0.52399375,0.5690062499999999,0.6706592956592956
LLaMA-3.1-8B,GPQA,10,top10,50,0.505,0.455,0.55625,0.3891213389121339
LLaMA-3.1-8B,GPQA,20,top20,100,0.505625,0.47,0.541875,0.4093444909344491
LLaMA-3.1-8B,GPQA,30,top30,150,0.51125,0.48125,0.54084375,0.41469084146908414
LLaMA-3.1-8B,GPQA,40,top40,200,0.510625,0.4862421875,0.5353125,0.399581589958159
LLaMA-3.1-8B,GPQA,50,top50,250,0.52,0.4985,0.5427562499999999,0.3861607142857143
LLaMA-3.1-8B,GSM8K,10,top10,50,0.79875,0.73125,0.8625,0.8285172903837044
LLaMA-3.1-8B,GSM8K,20,top20,100,0.763125,0.71,0.815,0.7749348495617152
LLaMA-3.1-8B,GSM8K,30,top30,150,0.7241666666666666,0.6779166666666666,0.7700104166666666,0.7525268477574226
LLaMA-3.1-8B,GSM8K,40,top40,200,0.755,0.7143671875,0.7937656249999999,0.7712627339493011
LLaMA-3.1-8B,GSM8K,50,top50,250,0.7515,0.71599375,0.7865,0.7803260045489007
LLaMA-3.1-8B,MATH500,10,top10,50,0.60625,0.52371875,0.6900312499999998,0.545
LLaMA-3.1-8B,MATH500,20,top20,100,0.545,0.491234375,0.599390625,0.441875
LLaMA-3.1-8B,MATH500,30,top30,150,0.5008333333333334,0.4570833333333333,0.5441666666666667,0.3929166666666667
LLaMA-3.1-8B,MATH500,40,top40,200,0.4859375,0.4496875,0.5228125,0.3659375
LLaMA-3.1-8B,MATH500,50,top50,250,0.49525,0.46149375,0.52975,0.35725
LLaMA-3.1-8B,SVAMP,10,top10,50,0.8,0.73625,0.86,0.861875
LLaMA-3.1-8B,SVAMP,20,top20,100,0.715625,0.658734375,0.770625,0.78875
LLaMA-3.1-8B,SVAMP,30,top30,150,0.7508333333333334,0.7025,0.7962604166666666,0.7979166666666667
LLaMA-3.1-8B,SVAMP,40,top40,200,0.76125,0.7193671875,0.8021953125,0.809375
LLaMA-3.1-8B,SVAMP,50,top50,250,0.775,0.73774375,0.811,0.816625
Phi-4,AQuA,10,top10,50,0.785,0.71375,0.8537812499999998,0.5331695331695332
Phi-4,AQuA,20,top20,100,0.771875,0.721875,0.8225,0.5325953259532595
Phi-4,AQuA,30,top30,150,0.7620833333333333,0.7216458333333333,0.8020937499999999,0.5286885245901639
Phi-4,AQuA,40,top40,200,0.7625,0.72625,0.79625,0.5264452644526445
Phi-4,AQuA,50,top50,250,0.76025,0.7285,0.7910125,0.5285433070866141
Phi-4,CommonsenseQA,10,top10,50,0.7725,0.69246875,0.8475,0.657625383828045
Phi-4,CommonsenseQA,20,top20,100,0.695625,0.6362187499999999,0.7575,0.5800921187308086
Phi-4,CommonsenseQA,30,top30,150,0.68625,0.6387395833333334,0.7358333333333333,0.5471762497867259
Phi-4,CommonsenseQA,40,top40,200,0.691875,0.649375,0.7340625,0.5406269993602048
Phi-4,CommonsenseQA,50,top50,250,0.69475,0.655,0.73375625,0.5495495495495496
Phi-4,GPQA,10,top10,50,0.48375,0.42,0.55625,0.1743375174337517
Phi-4,GPQA,20,top20,100,0.475625,0.431859375,0.523125,0.16527196652719658
Phi-4,GPQA,30,top30,150,0.4745833333333333,0.4395833333333333,0.5116666666666667,0.17294281729428165
Phi-4,GPQA,40,top40,200,0.493125,0.4618671875,0.5253125,0.1875871687587168
Phi-4,GPQA,50,top50,250,0.50275,0.47499375,0.5325,0.19782366071428564
Phi-4,GSM8K,10,top10,50,0.915,0.85875,0.96625,0.625769777356703
Phi-4,GSM8K,20,top20,100,0.87375,0.8318593750000001,0.913125,0.6273394930111348
Phi-4,GSM8K,30,top30,150,0.8675,0.8325,0.9016666666666666,0.6301326595072647
Phi-4,GSM8K,40,top40,200,0.8740625,0.845,0.9028203125,0.6140724946695096
Phi-4,GSM8K,50,top50,250,0.88175,0.85499375,0.90775,0.6143858984078847
Phi-4,MATH500,10,top10,50,0.74375,0.65875,0.82875,0.6075
Phi-4,MATH500,20,top20,100,0.761875,0.70625,0.8200156249999999,0.585625
Phi-4,MATH500,30,top30,150,0.75125,0.7070729166666666,0.7958333333333333,0.5658333333333333
Phi-4,MATH500,40,top40,200,0.7415625,0.7021875,0.7815625,0.559375
Phi-4,MATH500,50,top50,250,0.75025,0.71599375,0.78125,0.55775
Phi-4,SVAMP,10,top10,50,0.755,0.67125,0.835,0.473125
Phi-4,SVAMP,20,top20,100,0.786875,0.729375,0.84125,0.5203125
Phi-4,SVAMP,30,top30,150,0.8008333333333333,0.7574895833333333,0.8429166666666666,0.540625
Phi-4,SVAMP,40,top40,200,0.8071875,0.7703125,0.8428203124999999,0.5453125
Phi-4,SVAMP,50,top50,250,0.81275,0.77975,0.8447625,0.548625
Phi-4-Reas.,AQuA,10,top10,50,0.8325,0.76875,0.89125,0.7346437346437347
Phi-4-Reas.,AQuA,20,top20,100,0.8725,0.833125,0.908125,0.7183271832718328
Phi-4-Reas.,AQuA,30,top30,150,0.8916666666666667,0.8625,0.9166666666666666,0.7131147540983607
Phi-4-Reas.,AQuA,40,top40,200,0.894375,0.8696796874999999,0.9175,0.6888068880688807
Phi-4-Reas.,AQuA,50,top50,250,0.89025,0.86974375,0.91,0.6737204724409449
Phi-4-Reas.,CommonsenseQA,10,top10,50,0.33375,0.235,0.43875,0.6719549641760492
Phi-4-Reas.,CommonsenseQA,20,top20,100,0.413125,0.355625,0.4694062499999998,0.7533265097236438
Phi-4-Reas.,CommonsenseQA,30,top30,150,0.5295833333333333,0.47625,0.5783333333333334,0.7734175055451288
Phi-4-Reas.,CommonsenseQA,40,top40,200,0.5940625,0.5440625,0.6387578125,0.7843889955214332
Phi-4-Reas.,CommonsenseQA,50,top50,250,0.6275,0.5875,0.664,0.7870597870597871
Phi-4-Reas.,GPQA,10,top10,50,0.6225,0.53125,0.7187812499999998,0.5620641562064156
Phi-4-Reas.,GPQA,20,top20,100,0.671875,0.61375,0.728125,0.5878661087866108
Phi-4-Reas.,GPQA,30,top30,150,0.6529166666666667,0.6108229166666667,0.6950208333333332,0.5750813575081357
Phi-4-Reas.,GPQA,40,top40,200,0.645625,0.6115546875,0.6784375,0.5631101813110181
Phi-4-Reas.,GPQA,50,top50,250,0.637,0.60525,0.66725,0.5426897321428571
Phi-4-Reas.,GSM8K,10,top10,50,0.845,0.79,0.89625,0.960208432022738
Phi-4-Reas.,GSM8K,20,top20,100,0.90625,0.873125,0.9375,0.9720445392087184
Phi-4-Reas.,GSM8K,30,top30,150,0.9320833333333334,0.90915625,0.95459375,0.9717308907138344
Phi-4-Reas.,GSM8K,40,top40,200,0.9371875,0.9174921875,0.9553125,0.9725183605780621
Phi-4-Reas.,GSM8K,50,top50,250,0.94125,0.925,0.95725,0.9714746019711903
Phi-4-Reas.,MATH500,10,top10,50,0.8,0.7275,0.86625,0.885
Phi-4-Reas.,MATH500,20,top20,100,0.85,0.805625,0.889375,0.9
Phi-4-Reas.,MATH500,30,top30,150,0.8708333333333333,0.8375,0.90084375,0.9116666666666666
Phi-4-Reas.,MATH500,40,top40,200,0.8803125,0.8556171874999999,0.9053125,0.91375
Phi-4-Reas.,MATH500,50,top50,250,0.8785,0.85575,0.9015,0.9085
Phi-4-Reas.,SVAMP,10,top10,50,0.7475,0.68,0.81375,0.945
Phi-4-Reas.,SVAMP,20,top20,100,0.859375,0.8175,0.899375,0.95875
Phi-4-Reas.,SVAMP,30,top30,150,0.9033333333333332,0.87290625,0.9329270833333332,0.9641666666666666
Phi-4-Reas.,SVAMP,40,top40,200,0.9128125,0.8881171875,0.9359453125,0.96453125
Phi-4-Reas.,SVAMP,50,top50,250,0.918,0.89575,0.93825625,0.963125
Qwen2.5-7B,AQuA,10,top10,50,0.7725,0.72625,0.82,0.8648648648648649
Qwen2.5-7B,AQuA,20,top20,100,0.761875,0.7275,0.79625,0.8068880688806888
Qwen2.5-7B,AQuA,30,top30,150,0.7333333333333333,0.7041666666666667,0.76125,0.7745901639344263
Qwen2.5-7B,AQuA,40,top40,200,0.7065625,0.6796875,0.7318828125,0.7275522755227553
Qwen2.5-7B,AQuA,50,top50,250,0.6715,0.6465,0.6965,0.6658464566929134
Qwen2.5-7B,CommonsenseQA,10,top10,50,0.70125,0.635,0.7675312499999998,0.8229273285568065
Qwen2.5-7B,CommonsenseQA,20,top20,100,0.83,0.781875,0.87375,0.8602865916069601
Qwen2.5-7B,CommonsenseQA,30,top30,150,0.85375,0.8204166666666667,0.8854166666666666,0.8614570892339192
