k_sub,model,dataset,mean_gap_pp,ref_gap_pp_k16,sign_k,sign_k16,sign_agrees
4,DS-R1-1.5B,AQuA,14.1339,15.9449,1,1,1
4,DS-R1-1.5B,CommonsenseQA,-0.5766,-0.5016,0,0,1
4,DS-R1-1.5B,GPQA,-5.8013,-6.9196,-1,-1,1
4,DS-R1-1.5B,GSM8K,9.5315,11.0406,1,1,1
4,DS-R1-1.5B,MATH500,12.454,14.3,1,1,1
4,DS-R1-1.5B,SVAMP,4.094,5.1125,1,1,1
4,DS-R1-7B,AQuA,7.3976,8.1201,1,1,1
4,DS-R1-7B,CommonsenseQA,-0.4013,0.0205,0,0,1
4,DS-R1-7B,GPQA,-11.8817,-14.3694,-1,-1,1
4,DS-R1-7B,GSM8K,1.1046,1.3457,0,0,1
4,DS-R1-7B,MATH500,5.196,6.125,1,1,1
4,DS-R1-7B,SVAMP,0.462,0.5625,0,0,1
4,Gemma-7B,AQuA,-0.8307,-0.4429,0,0,1
4,Gemma-7B,CommonsenseQA,-0.8575,-1.9861,0,0,1
4,Gemma-7B,GPQA,-8.1495,-10.4911,-1,-1,1
4,Gemma-7B,GSM8K,7.2995,8.8798,1,1,1
4,Gemma-7B,MATH500,1.976,2.275,0,1,0
4,Gemma-7B,SVAMP,2.43,2.975,1,1,1
4,LLaMA-3.1-8B,AQuA,-3.2559,-5.4134,-1,-1,1
4,LLaMA-3.1-8B,CommonsenseQA,-0.1769,-0.4095,0,0,1
4,LLaMA-3.1-8B,GPQA,3.3594,4.1853,1,1,1
4,LLaMA-3.1-8B,GSM8K,1.1698,1.0235,0,0,1
4,LLaMA-3.1-8B,MATH500,-0.89,-1.1,0,0,1
4,LLaMA-3.1-8B,SVAMP,-0.245,-0.25,0,0,1
4,Phi-4,AQuA,1.3583,1.0335,0,0,1
4,Phi-4,CommonsenseQA,11.8518,9.7563,1,1,1
4,Phi-4,GPQA,-1.4196,-4.1853,0,-1,0
4,Phi-4,GSM8K,-5.3397,-5.9799,-1,-1,1
4,Phi-4,MATH500,3.552,4.35,1,1,1
4,Phi-4,SVAMP,-4.643,-5.0375,-1,-1,1
4,Phi-4-Reas.,AQuA,2.8504,3.7894,1,1,1
4,Phi-4-Reas.,CommonsenseQA,0.8469,1.1261,0,0,1
4,Phi-4-Reas.,GPQA,5.3326,5.6083,1,1,1
4,Phi-4-Reas.,GSM8K,0.771,0.7392,0,0,1
4,Phi-4-Reas.,MATH500,0.692,1.525,0,0,1
4,Phi-4-Reas.,SVAMP,-0.333,-0.45,0,0,1
4,Qwen2.5-7B,AQuA,1.8662,1.1319,0,0,1
4,Qwen2.5-7B,CommonsenseQA,0.4112,0.5426,0,0,1
4,Qwen2.5-7B,GPQA,1.8013,2.1763,0,1,0
4,Qwen2.5-7B,GSM8K,-17.4776,-21.4367,-1,-1,1
4,Qwen2.5-7B,MATH500,-14.246,-17.475,-1,-1,1
4,Qwen2.5-7B,SVAMP,-17.352,-21.4875,-1,-1,1
4,Qwen2.5-Math,AQuA,-2.0748,-3.3957,-1,-1,1
4,Qwen2.5-Math,CommonsenseQA,3.7388,4.3817,1,1,1
4,Qwen2.5-Math,GPQA,3.1161,3.125,1,1,1
4,Qwen2.5-Math,GSM8K,-6.1327,-6.9466,-1,-1,1
4,Qwen2.5-Math,MATH500,4.476,4.85,1,1,1
4,Qwen2.5-Math,SVAMP,-10.943,-11.3,-1,-1,1
4,Qwen3-4B,AQuA,3.1457,3.937,1,1,1
4,Qwen3-4B,CommonsenseQA,-2.3604,-2.9484,-1,-1,1
4,Qwen3-4B,GPQA,-3.808,-4.2969,-1,-1,1
4,Qwen3-4B,GSM8K,13.9128,16.613,1,1,1
4,Qwen3-4B,MATH500,6.652,7.65,1,1,1
4,Qwen3-4B,SVAMP,11.779,14.3375,1,1,1
