fold_type,held_out_group,n_train,n_test,r2_test_m4,r2_test_m5,delta_r2_test_add_frs,rmse_test_m4,rmse_test_m5
LODO-benchmark,AQuA,45,9,0.1586794760828627,0.48019340206103656,0.32151392597817385,0.11655904897494294,0.09161912659977162
LODO-benchmark,CSQA,45,9,0.5997403980808024,0.5921042374331866,-0.007636160647615742,0.09832584542960748,0.09925934534986709
LODO-benchmark,GPQA,45,9,-1.3166032719229461,-1.0818495925850087,0.23475367933793745,0.08306882723697188,0.07874752651894124
LODO-benchmark,GSM8K,45,9,0.7205941396108207,0.8627002517365859,0.14210611212576518,0.0671676542210366,0.047084427712749684
LODO-benchmark,MATH500,45,9,0.7528056972134111,0.8218790773043408,0.06907338009092978,0.0721733530154587,0.06126537860123415
LODO-benchmark,SVAMP,45,9,0.7353975732341853,0.7531431323031523,0.01774555906896702,0.04939790960447266,0.04771273001348182
LOMO-model,DS-R1-1.5B,48,6,0.5326702439200921,-0.042648224613979435,-0.5753184685340715,0.05672029756510811,0.08472190009678782
LOMO-model,DS-R1-7B,48,6,0.9085538715105522,0.9044490552624885,-0.004104816248063692,0.03549240908076086,0.03628025320084651
LOMO-model,Gemma-7B,48,6,-0.7284931616095607,0.49119827243089154,1.219691434040452,0.12575583820087755,0.06822893809503698
LOMO-model,LLaMA-3.1-8B,48,6,0.5315566039661064,0.7951706838310711,0.26361407986496477,0.09262138204791247,0.061246144430696994
LOMO-model,Phi-4,48,6,0.6559815025798446,0.85847803878931,0.2024965362094654,0.07602213609149812,0.048759707335963576
LOMO-model,Phi-4-Reas.,48,6,0.9064665615554827,0.08758556030554743,-0.8188810012499352,0.04017289924667284,0.12547170524929993
LOMO-model,Qwen2.5-7B,48,6,0.5454962176413234,0.6248541851455717,0.07935796750424828,0.06528085033009964,0.059308522476423264
LOMO-model,Qwen2.5-Math,48,6,0.1812350401832109,0.5805150426325533,0.39928000244934236,0.12776621753759027,0.09145229523003419
LOMO-model,Qwen3-4B,48,6,0.0602696062985959,0.508486373254587,0.4482167669559911,0.10017610487388415,0.07244864807265242
