seed,predictor,pearson_r,pearson_p,n,outcome,delta_r2_add_frs,r2_m4,r2_m5
17,frs_pct,0.8118567148022245,9.467382949187041e-14,54,y_test_mean_reasoning,,,
17,pass1_pct,0.8127127262802175,8.504298682889593e-14,54,y_test_mean_reasoning,,,
17,delta_r2_m5_m4,,,54,y_test_mean_reasoning,0.0907574027752791,0.7205435606599941,0.8113009634352732
42,frs_pct,0.7889162035468064,1.3906965261678445e-12,54,y_test_mean_reasoning,,,
42,pass1_pct,0.8332593278114859,5.426227483304585e-15,54,y_test_mean_reasoning,,,
42,delta_r2_m5_m4,,,54,y_test_mean_reasoning,0.06879973384176519,0.7422526515909598,0.811052385432725
99,frs_pct,0.8011312685343278,3.472746951251164e-13,54,y_test_mean_reasoning,,,
99,pass1_pct,0.8259047801357392,1.514036733342401e-14,54,y_test_mean_reasoning,,,
99,delta_r2_m5_m4,,,54,y_test_mean_reasoning,0.05716024862515312,0.7577706434332702,0.8149308920584233
123,frs_pct,0.8186003261416032,4.0051634094931496e-14,54,y_test_mean_reasoning,,,
123,pass1_pct,0.8432443061314056,1.2406459900162112e-15,54,y_test_mean_reasoning,,,
123,delta_r2_m5_m4,,,54,y_test_mean_reasoning,0.07459472247925059,0.7748578769905184,0.849452599469769
456,frs_pct,0.7994517736532624,4.226303303516096e-13,54,y_test_mean_reasoning,,,
456,pass1_pct,0.8677486037174873,2.048997981098416e-17,54,y_test_mean_reasoning,,,
456,delta_r2_m5_m4,,,54,y_test_mean_reasoning,0.06581586930693628,0.7956124082539677,0.861428277560904
789,frs_pct,0.7913359620372636,1.064268069634859e-12,54,y_test_mean_reasoning,,,
789,pass1_pct,0.8226414070961888,2.351075939853051e-14,54,y_test_mean_reasoning,,,
789,delta_r2_m5_m4,,,54,y_test_mean_reasoning,0.057003414894674864,0.7445310253291068,0.8015344402237816
2024,frs_pct,0.8250389619671297,1.7030583407066736e-14,54,y_test_mean_reasoning,,,
2024,pass1_pct,0.8401046014110154,1.9946408486003863e-15,54,y_test_mean_reasoning,,,
2024,delta_r2_m5_m4,,,54,y_test_mean_reasoning,0.07729082961728206,0.7756608606207273,0.8529516902380093
3141,frs_pct,0.8352716001699555,4.062485735709564e-15,54,y_test_mean_reasoning,,,
3141,pass1_pct,0.837018975978415,3.1496259506213315e-15,54,y_test_mean_reasoning,,,
3141,delta_r2_m5_m4,,,54,y_test_mean_reasoning,0.06555362106997298,0.7942443171370974,0.8597979382070704
