tie_metric,tolerance_pp,predictor,n_pairs,accuracy
pass16_pct,1.0,frs_pct,72,0.6527777777777778
pass16_pct,1.0,high_conf_accuracy_pct,72,0.6527777777777778
pass16_pct,1.0,pass16_pct,72,0.625
pass16_pct,1.0,pass1_pct,72,0.7222222222222222
pass16_pct,2.0,frs_pct,102,0.6666666666666666
pass16_pct,2.0,high_conf_accuracy_pct,102,0.6372549019607843
pass16_pct,2.0,pass16_pct,102,0.6470588235294118
pass16_pct,2.0,pass1_pct,102,0.7647058823529411
pass16_pct,3.0,frs_pct,133,0.631578947368421
pass16_pct,3.0,high_conf_accuracy_pct,133,0.631578947368421
pass16_pct,3.0,pass16_pct,133,0.6691729323308271
pass16_pct,3.0,pass1_pct,133,0.7593984962406015
pass16_pct,5.0,frs_pct,170,0.6705882352941176
pass16_pct,5.0,high_conf_accuracy_pct,170,0.6647058823529411
pass16_pct,5.0,pass16_pct,170,0.6647058823529411
pass16_pct,5.0,pass1_pct,170,0.7647058823529411
pass1_pct,1.0,frs_pct,8,0.625
pass1_pct,1.0,high_conf_accuracy_pct,8,0.75
pass1_pct,1.0,pass16_pct,8,0.5
pass1_pct,1.0,pass1_pct,8,0.625
pass1_pct,2.0,frs_pct,15,0.6
pass1_pct,2.0,high_conf_accuracy_pct,15,0.6666666666666666
pass1_pct,2.0,pass16_pct,15,0.5333333333333333
pass1_pct,2.0,pass1_pct,15,0.4
pass1_pct,3.0,frs_pct,27,0.5925925925925926
pass1_pct,3.0,high_conf_accuracy_pct,27,0.6296296296296297
pass1_pct,3.0,pass16_pct,27,0.5925925925925926
pass1_pct,3.0,pass1_pct,27,0.4444444444444444
pass1_pct,5.0,frs_pct,34,0.6470588235294118
pass1_pct,5.0,high_conf_accuracy_pct,34,0.6470588235294118
pass1_pct,5.0,pass16_pct,34,0.5588235294117647
pass1_pct,5.0,pass1_pct,34,0.5294117647058824
