benchmark,tie_metric,tolerance_pp,model_a,model_b,predictor,correct_direction,abs_tie_gap
GSM8K,pass16_pct,3.0,DS-R1-7B,DS-R1-1.5B,frs_pct,True,2.5018953752843203
GSM8K,pass16_pct,3.0,DS-R1-7B,DS-R1-1.5B,pass1_pct,True,2.5018953752843203
GSM8K,pass16_pct,3.0,DS-R1-7B,DS-R1-1.5B,pass16_pct,True,2.5018953752843203
GSM8K,pass16_pct,3.0,DS-R1-7B,DS-R1-1.5B,high_conf_accuracy_pct,True,2.5018953752843203
GSM8K,pass16_pct,5.0,DS-R1-7B,DS-R1-1.5B,frs_pct,True,2.5018953752843203
GSM8K,pass16_pct,5.0,DS-R1-7B,DS-R1-1.5B,pass1_pct,True,2.5018953752843203
GSM8K,pass16_pct,5.0,DS-R1-7B,DS-R1-1.5B,pass16_pct,True,2.5018953752843203
GSM8K,pass16_pct,5.0,DS-R1-7B,DS-R1-1.5B,high_conf_accuracy_pct,True,2.5018953752843203
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen3-4B,frs_pct,True,1.5163002274450434
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen3-4B,pass1_pct,True,1.5163002274450434
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen3-4B,pass16_pct,True,1.5163002274450434
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen3-4B,high_conf_accuracy_pct,True,1.5163002274450434
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen3-4B,frs_pct,True,1.5163002274450434
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen3-4B,pass1_pct,True,1.5163002274450434
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen3-4B,pass16_pct,True,1.5163002274450434
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen3-4B,high_conf_accuracy_pct,True,1.5163002274450434
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen3-4B,frs_pct,True,1.5163002274450434
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen3-4B,pass1_pct,True,1.5163002274450434
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen3-4B,pass16_pct,True,1.5163002274450434
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen3-4B,high_conf_accuracy_pct,True,1.5163002274450434
GSM8K,pass1_pct,2.0,DS-R1-7B,Phi-4,frs_pct,True,1.5
GSM8K,pass1_pct,2.0,DS-R1-7B,Phi-4,pass1_pct,False,1.5
GSM8K,pass1_pct,2.0,DS-R1-7B,Phi-4,pass16_pct,True,1.5
GSM8K,pass1_pct,2.0,DS-R1-7B,Phi-4,high_conf_accuracy_pct,True,1.5
GSM8K,pass1_pct,3.0,DS-R1-7B,Phi-4,frs_pct,True,1.5
GSM8K,pass1_pct,3.0,DS-R1-7B,Phi-4,pass1_pct,False,1.5
GSM8K,pass1_pct,3.0,DS-R1-7B,Phi-4,pass16_pct,True,1.5
GSM8K,pass1_pct,3.0,DS-R1-7B,Phi-4,high_conf_accuracy_pct,True,1.5
GSM8K,pass1_pct,5.0,DS-R1-7B,Phi-4,frs_pct,True,1.5
GSM8K,pass1_pct,5.0,DS-R1-7B,Phi-4,pass1_pct,False,1.5
GSM8K,pass1_pct,5.0,DS-R1-7B,Phi-4,pass16_pct,True,1.5
GSM8K,pass1_pct,5.0,DS-R1-7B,Phi-4,high_conf_accuracy_pct,True,1.5
GSM8K,pass16_pct,1.0,DS-R1-7B,Phi-4,frs_pct,True,0.3032600454889973
GSM8K,pass16_pct,1.0,DS-R1-7B,Phi-4,pass1_pct,False,0.3032600454889973
GSM8K,pass16_pct,1.0,DS-R1-7B,Phi-4,pass16_pct,True,0.3032600454889973
GSM8K,pass16_pct,1.0,DS-R1-7B,Phi-4,high_conf_accuracy_pct,True,0.3032600454889973
