fold_type,held_out_group,n_train,n_test,r2_test_m4,r2_test_m5,delta_r2_test_add_frs
LODO-benchmark,AQuA,45,9,-0.02047760674216148,0.5802838080438402,0.6007614147860016
LODO-benchmark,CSQA,45,9,-0.2665848681831937,0.8451228657389978,1.1117077339221915
LODO-benchmark,GPQA,45,9,-2.9209983441869274,-0.2912454457741527,2.6297528984127747
LODO-benchmark,GSM8K,45,9,0.3842699873699593,0.565082552269216,0.18081256489925668
LODO-benchmark,MATH500,45,9,-0.12968653433008748,-0.4766985702372275,-0.34701203590714
LODO-benchmark,SVAMP,45,9,0.010675093919943479,0.7981867053682937,0.7875116114483502
LOMO-model,DS-R1-1.5B,48,6,-1.9616716660660138,0.8055932387681196,2.7672649048341333
LOMO-model,DS-R1-7B,48,6,-7.432479937704414,-2.3139154306218677,5.118564507082547
LOMO-model,Gemma-7B,48,6,-8.115761875703734,0.21822041166023565,8.33398228736397
LOMO-model,LLaMA-3.1-8B,48,6,-0.13421301525445917,-0.9317492734990682,-0.797536258244609
LOMO-model,Phi-4,48,6,-0.6186387900962775,-0.00441208116598113,0.6142267089302964
LOMO-model,Phi-4-Reas.,48,6,-3.119449827303769,0.5902849482834456,3.7097347755872145
LOMO-model,Qwen2.5-7B,48,6,-0.40558700348316834,0.5304488185025542,0.9360358219857225
LOMO-model,Qwen2.5-Math,48,6,-1.8610950311893637,-2.14258246879154,-0.2814874376021761
LOMO-model,Qwen3-4B,48,6,-2.4876828879050277,-0.47977736453820397,2.0079055233668237
