model,proxy_name,frs_avg_k10,n_benchmarks,frs_rank_k10
DS-R1-1.5B,bottom10_mean_prob,79.89583333333333,6,2.0
DS-R1-1.5B,bottom20_mean_prob,80.18108247495753,6,2.0
DS-R1-1.5B,full_trace_mean_logp,80.6317637008507,6,2.0
DS-R1-7B,bottom10_mean_prob,88.45833333333333,6,1.0
DS-R1-7B,bottom20_mean_prob,88.33380217617349,6,1.0
DS-R1-7B,full_trace_mean_logp,88.19112600625118,6,1.0
Gemma-7B,bottom10_mean_prob,26.291666666666668,6,9.0
Gemma-7B,bottom20_mean_prob,25.44730688168988,6,9.0
Gemma-7B,full_trace_mean_logp,27.301777629290708,6,9.0
LLaMA-3.1-8B,bottom10_mean_prob,63.145833333333336,6,8.0
LLaMA-3.1-8B,bottom20_mean_prob,63.0296035080699,6,8.0
LLaMA-3.1-8B,full_trace_mean_logp,62.94725063938619,6,8.0
Phi-4,bottom10_mean_prob,74.25,6,4.0
Phi-4,bottom20_mean_prob,75.8135369744898,6,4.0
Phi-4,full_trace_mean_logp,77.61426677911602,6,3.0
Phi-4-Reas.,bottom10_mean_prob,69.6875,6,6.0
Phi-4-Reas.,bottom20_mean_prob,69.44163891971883,6,6.0
Phi-4-Reas.,full_trace_mean_logp,69.75523415384673,6,6.0
Qwen2.5-7B,bottom10_mean_prob,68.10416666666667,6,7.0
Qwen2.5-7B,bottom20_mean_prob,67.86037305421364,6,7.0
Qwen2.5-7B,full_trace_mean_logp,68.25607165943302,6,7.0
Qwen2.5-Math,bottom10_mean_prob,73.8125,6,5.0
Qwen2.5-Math,bottom20_mean_prob,72.09936753224956,6,5.0
Qwen2.5-Math,full_trace_mean_logp,72.74672510731617,6,5.0
Qwen3-4B,bottom10_mean_prob,76.27083333333333,6,3.0
Qwen3-4B,bottom20_mean_prob,76.53000074313687,6,3.0
Qwen3-4B,full_trace_mean_logp,77.50456637465776,6,4.0
