sample_size_N,metric_type,median_std_across_model_benchmark_combos,n_combos
10,mean_reasoning_judge_sparse,6.711771893630965,54
10,pass1_trace0_accuracy,14.765858741777832,54
15,mean_reasoning_judge_sparse,5.348148220961967,54
15,pass1_trace0_accuracy,11.987794872091447,54
20,mean_reasoning_judge_sparse,4.778665173033196,54
20,pass1_trace0_accuracy,10.313141464127682,54
25,mean_reasoning_judge_sparse,4.23407698427949,54
25,pass1_trace0_accuracy,9.168093790854265,54
30,mean_reasoning_judge_sparse,3.8625253469044507,54
30,pass1_trace0_accuracy,8.407112986880886,54
40,mean_reasoning_judge_sparse,3.3357647610360077,54
40,pass1_trace0_accuracy,7.266175612726869,54
50,mean_reasoning_judge_sparse,3.0059406710224237,54
50,pass1_trace0_accuracy,6.545329854798267,54
75,mean_reasoning_judge_sparse,2.4693916554694804,54
75,pass1_trace0_accuracy,5.333180403989434,54
100,mean_reasoning_judge_sparse,2.1339564632457546,54
100,pass1_trace0_accuracy,4.620049487033137,54
140,mean_reasoning_judge_sparse,1.441098694496098,1
140,pass1_trace0_accuracy,3.102714742851847,1
145,mean_reasoning_judge_sparse,1.295231640101193,1
145,pass1_trace0_accuracy,4.0037039776964765,1
148,mean_reasoning_judge_sparse,1.9836218695546308,1
148,pass1_trace0_accuracy,4.092640912916074,1
149,mean_reasoning_judge_sparse,1.6253359658324626,1
149,pass1_trace0_accuracy,4.041942826256854,1
150,mean_reasoning_judge_sparse,1.7734933355442664,50
150,pass1_trace0_accuracy,3.7548039965389792,50
156,mean_reasoning_judge_sparse,1.8815750123649364,1
156,pass1_trace0_accuracy,3.9179620245570446,1
161,mean_reasoning_judge_sparse,1.8537221218670825,1
161,pass1_trace0_accuracy,3.9797275601807,1
162,mean_reasoning_judge_sparse,1.4152951643060587,1
162,pass1_trace0_accuracy,3.721937101358038,1
163,mean_reasoning_judge_sparse,1.904188877318583,1
163,pass1_trace0_accuracy,3.5598655114002593,1
167,mean_reasoning_judge_sparse,1.8428740887740924,1
167,pass1_trace0_accuracy,3.9309446254182965,1
174,mean_reasoning_judge_sparse,1.7851297760400848,1
174,pass1_trace0_accuracy,3.866187894901657,1
177,mean_reasoning_judge_sparse,1.4611199386376867,1
177,pass1_trace0_accuracy,3.707953292082585,1
180,mean_reasoning_judge_sparse,1.2037355488316903,1
180,pass1_trace0_accuracy,3.4018672704745443,1
182,mean_reasoning_judge_sparse,1.6160291323627518,1
182,pass1_trace0_accuracy,2.311807881654736,1
185,mean_reasoning_judge_sparse,1.111322147191915,1
185,pass1_trace0_accuracy,3.5492649986552607,1
186,mean_reasoning_judge_sparse,1.7020946988195722,1
186,pass1_trace0_accuracy,3.6100849863278364,1
188,mean_reasoning_judge_sparse,1.3112309372990751,1
188,pass1_trace0_accuracy,3.2681241946216266,1
189,mean_reasoning_judge_sparse,1.1465720963995039,2
189,pass1_trace0_accuracy,3.2354533701909047,2
190,mean_reasoning_judge_sparse,1.5067598116543426,2
190,pass1_trace0_accuracy,3.5859600934863956,2
193,mean_reasoning_judge_sparse,1.8503343098705674,1
193,pass1_trace0_accuracy,3.490949743774621,1
194,mean_reasoning_judge_sparse,1.665699583672682,1
194,pass1_trace0_accuracy,3.027745881732651,1
196,mean_reasoning_judge_sparse,1.351923617790492,1
196,pass1_trace0_accuracy,2.366513518300507,1
199,mean_reasoning_judge_sparse,1.3604911874804886,2
199,pass1_trace0_accuracy,3.4560631808514444,2
200,mean_reasoning_judge_sparse,1.562588658680431,29
200,pass1_trace0_accuracy,3.0702833338309365,29
206,mean_reasoning_judge_sparse,1.7668209773485322,1
206,pass1_trace0_accuracy,3.404656700267641,1
218,mean_reasoning_judge_sparse,0.9824349855152699,2
218,pass1_trace0_accuracy,2.011631072355886,2
220,mean_reasoning_judge_sparse,1.2448983602929073,1
220,pass1_trace0_accuracy,2.484473178188989,1
221,mean_reasoning_judge_sparse,1.643948045494127,2
221,pass1_trace0_accuracy,2.9314602382438157,2
222,mean_reasoning_judge_sparse,1.2650828029162362,2
222,pass1_trace0_accuracy,2.4762084697090043,2
223,mean_reasoning_judge_sparse,1.482702622722611,3
223,pass1_trace0_accuracy,2.719153244203202,3
224,mean_reasoning_judge_sparse,1.9310374610967116,2
224,pass1_trace0_accuracy,2.9540677541568483,2
225,mean_reasoning_judge_sparse,1.3875768856129345,2
225,pass1_trace0_accuracy,2.2370494519999413,2
226,mean_reasoning_judge_sparse,1.6146495499042086,2
226,pass1_trace0_accuracy,2.9649591832441353,2
228,mean_reasoning_judge_sparse,1.6005123040335636,4
228,pass1_trace0_accuracy,3.0378702929755574,4
229,mean_reasoning_judge_sparse,1.2690174791136806,1
229,pass1_trace0_accuracy,3.027170419744549,1
230,mean_reasoning_judge_sparse,1.6739029191002779,1
230,pass1_trace0_accuracy,2.808399466143781,1
231,mean_reasoning_judge_sparse,1.487437534263269,1
231,pass1_trace0_accuracy,2.617533738347124,1
233,mean_reasoning_judge_sparse,1.280283623660918,3
233,pass1_trace0_accuracy,3.015953997186069,3
235,mean_reasoning_judge_sparse,1.5142730978340546,1
235,pass1_trace0_accuracy,3.1825360868128443,1
