model,benchmark,cumulative_label,n_cumulative_bins,frs_cumulative
DS-R1-1.5B,AQuA,k20,2,80.078125
DS-R1-1.5B,AQuA,k30,3,79.32692307692308
DS-R1-1.5B,AQuA,k40,4,79.3452380952381
DS-R1-1.5B,AQuA,k50,5,78.78649635036497
DS-R1-1.5B,CommonsenseQA,k20,2,71.77083333333333
DS-R1-1.5B,CommonsenseQA,k30,3,68.40277777777777
DS-R1-1.5B,CommonsenseQA,k40,4,67.51077586206897
DS-R1-1.5B,CommonsenseQA,k50,5,65.1923076923077
DS-R1-1.5B,GPQA,k20,2,65.97222222222223
DS-R1-1.5B,GPQA,k30,3,62.41438356164384
DS-R1-1.5B,GPQA,k40,4,59.206989247311824
DS-R1-1.5B,GPQA,k50,5,57.708333333333336
DS-R1-1.5B,GSM8K,k20,2,97.24264705882354
DS-R1-1.5B,GSM8K,k30,3,97.23011363636364
DS-R1-1.5B,GSM8K,k40,4,97.08686440677967
DS-R1-1.5B,GSM8K,k50,5,96.72413793103448
DS-R1-1.5B,MATH500,k20,2,93.85593220338983
DS-R1-1.5B,MATH500,k30,3,94.18604651162791
DS-R1-1.5B,MATH500,k40,4,93.91163793103448
DS-R1-1.5B,MATH500,k50,5,90.93543046357615
DS-R1-1.5B,SVAMP,k20,2,98.21428571428571
DS-R1-1.5B,SVAMP,k30,3,97.41847826086956
DS-R1-1.5B,SVAMP,k40,4,97.0020325203252
DS-R1-1.5B,SVAMP,k50,5,96.85483870967742
DS-R1-7B,AQuA,k20,2,96.98275862068965
DS-R1-7B,AQuA,k30,3,97.25274725274726
DS-R1-7B,AQuA,k40,4,97.26239669421487
DS-R1-7B,AQuA,k50,5,96.63793103448276
DS-R1-7B,CommonsenseQA,k20,2,90.41666666666667
DS-R1-7B,CommonsenseQA,k30,3,88.51902173913044
DS-R1-7B,CommonsenseQA,k40,4,86.57608695652173
DS-R1-7B,CommonsenseQA,k50,5,83.7409420289855
DS-R1-7B,GPQA,k20,2,77.04326923076923
DS-R1-7B,GPQA,k30,3,73.98648648648648
DS-R1-7B,GPQA,k40,4,74.72527472527473
DS-R1-7B,GPQA,k50,5,73.16810344827586
DS-R1-7B,GSM8K,k20,2,99.35344827586206
DS-R1-7B,GSM8K,k30,3,99.60106382978724
DS-R1-7B,GSM8K,k40,4,99.60317460317461
DS-R1-7B,GSM8K,k50,5,99.67105263157895
DS-R1-7B,MATH500,k20,2,95.48611111111111
DS-R1-7B,MATH500,k30,3,96.10969387755102
DS-R1-7B,MATH500,k40,4,96.54356060606061
DS-R1-7B,MATH500,k50,5,96.15091463414635
DS-R1-7B,SVAMP,k20,2,98.92578125
DS-R1-7B,SVAMP,k30,3,98.375
DS-R1-7B,SVAMP,k40,4,98.44961240310077
DS-R1-7B,SVAMP,k50,5,98.66071428571429
Gemma-7B,AQuA,k20,2,58.66228070175438
Gemma-7B,AQuA,k30,3,52.5735294117647
Gemma-7B,AQuA,k40,4,49.271844660194176
Gemma-7B,AQuA,k50,5,45.849609375
Gemma-7B,CommonsenseQA,k20,2,25.454545454545453
Gemma-7B,CommonsenseQA,k30,3,26.785714285714285
Gemma-7B,CommonsenseQA,k40,4,25.49778761061947
Gemma-7B,CommonsenseQA,k50,5,25.886524822695037
Gemma-7B,GPQA,k20,2,33.081896551724135
Gemma-7B,GPQA,k30,3,33.60294117647059
Gemma-7B,GPQA,k40,4,33.958333333333336
Gemma-7B,GPQA,k50,5,34.7972972972973
Gemma-7B,GSM8K,k20,2,93.75
Gemma-7B,GSM8K,k30,3,90.625
Gemma-7B,GSM8K,k40,4,83.24353448275862
Gemma-7B,GSM8K,k50,5,76.33272058823529
Gemma-7B,MATH500,k20,2,52.03488372093023
Gemma-7B,MATH500,k30,3,45.686619718309856
Gemma-7B,MATH500,k40,4,41.390306122448976
Gemma-7B,MATH500,k50,5,38.58471074380165
Gemma-7B,SVAMP,k20,2,91.05113636363636
Gemma-7B,SVAMP,k30,3,87.31343283582089
Gemma-7B,SVAMP,k40,4,82.89835164835165
Gemma-7B,SVAMP,k50,5,74.3801652892562
LLaMA-3.1-8B,AQuA,k20,2,62.916666666666664
LLaMA-3.1-8B,AQuA,k30,3,63.11619718309859
LLaMA-3.1-8B,AQuA,k40,4,57.86082474226804
LLaMA-3.1-8B,AQuA,k50,5,55.34188034188034
LLaMA-3.1-8B,CommonsenseQA,k20,2,60.208333333333336
LLaMA-3.1-8B,CommonsenseQA,k30,3,60.015060240963855
LLaMA-3.1-8B,CommonsenseQA,k40,4,60.91008771929825
LLaMA-3.1-8B,CommonsenseQA,k50,5,60.46401515151515
LLaMA-3.1-8B,GPQA,k20,2,62.17672413793103
LLaMA-3.1-8B,GPQA,k30,3,60.0735294117647
LLaMA-3.1-8B,GPQA,k40,4,58.27546296296296
LLaMA-3.1-8B,GPQA,k50,5,55.45112781954887
LLaMA-3.1-8B,GSM8K,k20,2,92.55319148936171
LLaMA-3.1-8B,GSM8K,k30,3,90.625
LLaMA-3.1-8B,GSM8K,k40,4,90.7258064516129
LLaMA-3.1-8B,GSM8K,k50,5,90.49145299145299
LLaMA-3.1-8B,MATH500,k20,2,79.06976744186046
LLaMA-3.1-8B,MATH500,k30,3,77.83203125
LLaMA-3.1-8B,MATH500,k40,4,70.32967032967034
LLaMA-3.1-8B,MATH500,k50,5,64.51271186440678
LLaMA-3.1-8B,SVAMP,k20,2,95.0
LLaMA-3.1-8B,SVAMP,k30,3,91.54929577464789
LLaMA-3.1-8B,SVAMP,k40,4,90.375
LLaMA-3.1-8B,SVAMP,k50,5,89.87603305785125
Phi-4,AQuA,k20,2,91.83673469387755
Phi-4,AQuA,k30,3,88.76811594202898
Phi-4,AQuA,k40,4,87.70161290322581
Phi-4,AQuA,k50,5,86.37820512820512
Phi-4,CommonsenseQA,k20,2,91.43145161290323
Phi-4,CommonsenseQA,k30,3,88.36436170212765
Phi-4,CommonsenseQA,k40,4,88.34745762711864
Phi-4,CommonsenseQA,k50,5,86.47321428571429
Phi-4,GPQA,k20,2,33.9041095890411
Phi-4,GPQA,k30,3,37.955729166666664
Phi-4,GPQA,k40,4,39.583333333333336
Phi-4,GPQA,k50,5,42.60948905109489
Phi-4,GSM8K,k20,2,96.7948717948718
Phi-4,GSM8K,k30,3,97.07661290322581
Phi-4,GSM8K,k40,4,96.67721518987342
Phi-4,GSM8K,k50,5,97.54672897196262
Phi-4,MATH500,k20,2,95.60185185185185
Phi-4,MATH500,k30,3,95.25
Phi-4,MATH500,k40,4,96.32731958762886
Phi-4,MATH500,k50,5,95.94298245614036
Phi-4,SVAMP,k20,2,96.05978260869566
Phi-4,SVAMP,k30,3,93.28358208955224
Phi-4,SVAMP,k40,4,93.30357142857143
Phi-4,SVAMP,k50,5,92.33695652173913
Phi-4-Reas.,AQuA,k20,2,93.4090909090909
Phi-4-Reas.,AQuA,k30,3,93.90625
Phi-4-Reas.,AQuA,k40,4,93.75
Phi-4-Reas.,AQuA,k50,5,93.92857142857143
Phi-4-Reas.,CommonsenseQA,k20,2,65.84051724137932
Phi-4-Reas.,CommonsenseQA,k30,3,69.14473684210526
Phi-4-Reas.,CommonsenseQA,k40,4,71.39830508474576
Phi-4-Reas.,CommonsenseQA,k50,5,69.64285714285714
Phi-4-Reas.,GPQA,k20,2,79.28779069767442
Phi-4-Reas.,GPQA,k30,3,76.20798319327731
Phi-4-Reas.,GPQA,k40,4,74.28057553956835
Phi-4-Reas.,GPQA,k50,5,73.20833333333333
Phi-4-Reas.,GSM8K,k20,2,92.47448979591837
Phi-4-Reas.,GSM8K,k30,3,94.07051282051282
Phi-4-Reas.,GSM8K,k40,4,94.3530701754386
Phi-4-Reas.,GSM8K,k50,5,94.30970149253731
Phi-4-Reas.,MATH500,k20,2,93.06818181818181
Phi-4-Reas.,MATH500,k30,3,92.68092105263158
Phi-4-Reas.,MATH500,k40,4,92.09558823529412
Phi-4-Reas.,MATH500,k50,5,91.2109375
Phi-4-Reas.,SVAMP,k20,2,92.52232142857143
Phi-4-Reas.,SVAMP,k30,3,91.54411764705883
Phi-4-Reas.,SVAMP,k40,4,91.21462264150944
Phi-4-Reas.,SVAMP,k50,5,91.55783582089552
Qwen2.5-7B,AQuA,k20,2,78.18396226415095
Qwen2.5-7B,AQuA,k30,3,78.30882352941177
Qwen2.5-7B,AQuA,k40,4,76.27212389380531
Qwen2.5-7B,AQuA,k50,5,76.5625
Qwen2.5-7B,CommonsenseQA,k20,2,97.40566037735849
Qwen2.5-7B,CommonsenseQA,k30,3,96.4939024390244
Qwen2.5-7B,CommonsenseQA,k40,4,94.96527777777777
Qwen2.5-7B,CommonsenseQA,k50,5,94.64285714285714
Qwen2.5-7B,GPQA,k20,2,64.33189655172414
Qwen2.5-7B,GPQA,k30,3,62.296195652173914
Qwen2.5-7B,GPQA,k40,4,58.845338983050844
Qwen2.5-7B,GPQA,k50,5,57.61443661971831
Qwen2.5-7B,GSM8K,k20,2,69.5945945945946
Qwen2.5-7B,GSM8K,k30,3,70.20833333333333
Qwen2.5-7B,GSM8K,k40,4,70.77702702702703
Qwen2.5-7B,GSM8K,k50,5,72.63349514563107
Qwen2.5-7B,MATH500,k20,2,82.8409090909091
Qwen2.5-7B,MATH500,k30,3,84.33219178082192
Qwen2.5-7B,MATH500,k40,4,84.40860215053763
Qwen2.5-7B,MATH500,k50,5,82.99549549549549
Qwen2.5-7B,SVAMP,k20,2,77.08333333333333
