model,benchmark,mean_rs,mean_length,mean_ttr,mean_rep,n_top,mean_selection_gain,n_questions
DS-R1-1.5B,AQuA,0.7425,589.1,0.3840319845300844,5.3,50,0.16875,50
DS-R1-1.5B,CSQA,0.5925,374.74,0.5823557350134714,52.08,50,-0.0325,50
DS-R1-1.5B,GPQA,0.50375,414.88,0.42072972153771965,70.64,50,0.01625,50
DS-R1-1.5B,GSM8K,0.875,279.26,0.45678532845316994,3.3,50,0.16,50
DS-R1-1.5B,MATH500,0.775,706.38,0.3307502707181306,45.78,50,0.07625,50
DS-R1-1.5B,SVAMP,0.79625,275.88,0.44754189672108424,4.22,50,0.06625,50
DS-R1-7B,AQuA,0.86,448.84,0.42127453095498507,4.12,50,0.05625,50
DS-R1-7B,CSQA,0.74625,432.24,0.5570465730535616,20.8,50,0.02125,50
DS-R1-7B,GPQA,0.67375,330.48,0.4867528365197741,3.32,50,0.105,50
DS-R1-7B,GSM8K,0.96375,226.9,0.472894206724974,2.7,50,0.025,50
DS-R1-7B,MATH500,0.83375,488.0,0.42937546966672835,4.14,50,0.06125,50
DS-R1-7B,SVAMP,0.975,156.4,0.508940204890676,2.64,50,0.03375,50
Gemma-7B,AQuA,0.19,796.24,0.18992206717810242,44.14,50,-0.19,50
Gemma-7B,CSQA,0.1175,929.98,0.15261313201141533,113.66,50,-0.15625,50
Gemma-7B,GPQA,0.335,248.74,0.2038222486374793,16.94,50,-0.07875,50
Gemma-7B,GSM8K,0.52,524.02,0.29268240469220586,43.42,50,-0.05,50
Gemma-7B,MATH500,0.2675,535.54,0.25319802339307645,37.1,50,-0.085,50
Gemma-7B,SVAMP,0.33625,779.4,0.22342636290204215,43.1,50,-0.18,50
LLaMA-3.1-8B,AQuA,0.4125,1121.76,0.10838908824699034,182.58,50,-0.0275,50
LLaMA-3.1-8B,CSQA,0.5275,1279.52,0.08675330482135578,281.88,50,-0.05125,50
LLaMA-3.1-8B,GPQA,0.54125,1157.9,0.15600725179453423,116.56,50,-0.015,50
LLaMA-3.1-8B,GSM8K,0.80375,1121.1,0.12530411410289147,447.68,50,-0.01375,50
LLaMA-3.1-8B,MATH500,0.5125,746.92,0.14208146685434564,295.6,50,-0.00625,50
LLaMA-3.1-8B,SVAMP,0.7,1060.12,0.2268760543872963,370.54,50,-0.08375,50
Phi-4,AQuA,0.78875,922.44,0.32269411812861426,8.26,50,-0.0625,50
Phi-4,CSQA,0.81625,1011.88,0.3300297137773831,6.22,50,0.17375,50
Phi-4,GPQA,0.63,532.86,0.3187875046544557,4.18,50,0.1075,50
Phi-4,GSM8K,0.86375,793.44,0.3488798350675241,6.94,50,-0.0525,50
Phi-4,MATH500,0.8025,626.52,0.33789520815685775,11.18,50,-0.01875,50
Phi-4,SVAMP,0.81875,940.3,0.3283882741437247,8.6,50,-0.0175,50
Phi-4-Reas.,AQuA,0.7725,685.62,0.2867414731097225,70.46,50,-0.09,50
Phi-4-Reas.,CSQA,0.35,1384.74,0.043307149382994486,236.62,50,-0.31375,50
Phi-4-Reas.,GPQA,0.50625,1199.52,0.17661915094703687,124.66,50,-0.06,50
Phi-4-Reas.,GSM8K,0.795,808.58,0.2346604909785683,99.84,50,-0.11375,50
Phi-4-Reas.,MATH500,0.7975,793.62,0.27570101350306997,66.62,50,-0.045,50
Phi-4-Reas.,SVAMP,0.71125,749.96,0.22585621944430997,101.36,50,-0.18125,50
Qwen2.5-7B,AQuA,0.685,581.96,0.15054522670805193,282.12,50,-0.0075,50
Qwen2.5-7B,CSQA,0.71375,962.14,0.30133398093835995,67.12,50,-0.14375,50
Qwen2.5-7B,GPQA,0.5175,1148.68,0.15771212240355925,45.88,50,-0.02875,50
Qwen2.5-7B,GSM8K,0.6,685.62,0.11085461760524516,198.78,50,-0.18125,50
Qwen2.5-7B,MATH500,0.7025,614.2,0.16337416692977297,205.84,50,-0.0375,50
Qwen2.5-7B,SVAMP,0.6225,735.8,0.09632152137051268,211.2,50,-0.15125,50
Qwen2.5-Math,AQuA,0.7075,725.4,0.3326275610695732,13.46,50,-0.08125,50
Qwen2.5-Math,CSQA,0.645,560.84,0.42850896437000563,8.54,50,-0.04625,50
Qwen2.5-Math,GPQA,0.55,558.78,0.3900298308744923,10.1,50,0.04,50
Qwen2.5-Math,GSM8K,0.8325,534.1,0.38804614976404994,5.48,50,-0.06875,50
Qwen2.5-Math,MATH500,0.70625,544.72,0.3678176439425218,7.88,50,-0.0275,50
Qwen2.5-Math,SVAMP,0.815,671.16,0.38875886707953167,6.6,50,-0.02375,50
Qwen3-4B,AQuA,0.77125,894.88,0.3259995470387665,6.54,50,0.0775,50
Qwen3-4B,CSQA,0.69125,1348.04,0.2723293708502344,181.38,50,-0.03875,50
Qwen3-4B,GPQA,0.54375,1156.98,0.3155321695446544,6.7,50,0.03375,50
Qwen3-4B,GSM8K,0.87625,869.94,0.2861054195692408,18.76,50,0.1,50
Qwen3-4B,MATH500,0.705,933.52,0.343523594012486,6.22,50,0.0425,50
Qwen3-4B,SVAMP,0.825,868.44,0.27907593285542776,29.48,50,-0.00625,50
