model,dataset,n_calls,prompt_tokens,completion_tokens,latency_s,cost_usd
DS-R1-1.5B,AQuA,250,551826,8500,423.6392161392161,0.0878739
DS-R1-1.5B,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
DS-R1-1.5B,GPQA,250,551826,8500,423.6392161392161,0.0878739
DS-R1-1.5B,GSM8K,250,551826,8500,423.6392161392161,0.0878739
DS-R1-1.5B,MATH500,250,551826,8500,423.6392161392161,0.0878739
DS-R1-1.5B,SVAMP,250,551826,8500,423.6392161392161,0.0878739
DS-R1-7B,AQuA,250,551826,8500,423.6392161392161,0.0878739
DS-R1-7B,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
DS-R1-7B,GPQA,250,551826,8500,423.6392161392161,0.0878739
DS-R1-7B,GSM8K,250,551826,8500,423.6392161392161,0.0878739
DS-R1-7B,MATH500,250,551826,8500,423.6392161392161,0.0878739
DS-R1-7B,SVAMP,250,551826,8500,423.6392161392161,0.0878739
Gemma-7B,AQuA,250,551826,8500,423.6392161392161,0.0878739
Gemma-7B,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
Gemma-7B,GPQA,250,551826,8500,423.6392161392161,0.0878739
Gemma-7B,GSM8K,250,551826,8500,423.6392161392161,0.0878739
Gemma-7B,MATH500,250,551826,8500,423.6392161392161,0.0878739
Gemma-7B,SVAMP,250,551826,8500,423.6392161392161,0.0878739
LLaMA-3.1-8B,AQuA,250,551826,8500,423.6392161392161,0.0878739
LLaMA-3.1-8B,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
LLaMA-3.1-8B,GPQA,250,551826,8500,423.6392161392161,0.0878739
LLaMA-3.1-8B,GSM8K,250,551826,8500,423.6392161392161,0.0878739
LLaMA-3.1-8B,MATH500,250,551826,8500,423.6392161392161,0.0878739
LLaMA-3.1-8B,SVAMP,250,551826,8500,423.6392161392161,0.0878739
Phi-4,AQuA,250,551826,8500,423.6392161392161,0.0878739
Phi-4,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
Phi-4,GPQA,250,551826,8500,423.6392161392161,0.0878739
Phi-4,GSM8K,250,551826,8500,423.6392161392161,0.0878739
Phi-4,MATH500,250,551826,8500,423.6392161392161,0.0878739
Phi-4,SVAMP,250,551826,8500,423.6392161392161,0.0878739
Phi-4-Reas.,AQuA,250,551826,8500,423.6392161392161,0.0878739
Phi-4-Reas.,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
Phi-4-Reas.,GPQA,250,551826,8500,423.6392161392161,0.0878739
Phi-4-Reas.,GSM8K,250,551826,8500,423.6392161392161,0.0878739
Phi-4-Reas.,MATH500,250,551826,8500,423.6392161392161,0.0878739
Phi-4-Reas.,SVAMP,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-7B,AQuA,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-7B,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-7B,GPQA,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-7B,GSM8K,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-7B,MATH500,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-7B,SVAMP,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-Math,AQuA,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-Math,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-Math,GPQA,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-Math,GSM8K,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-Math,MATH500,250,551826,8500,423.6392161392161,0.0878739
Qwen2.5-Math,SVAMP,250,551826,8500,423.6392161392161,0.0878739
Qwen3-4B,AQuA,250,551826,8500,423.6392161392161,0.0878739
Qwen3-4B,CommonsenseQA,250,551826,8500,423.6392161392161,0.0878739
Qwen3-4B,GPQA,250,551826,8500,423.6392161392161,0.0878739
Qwen3-4B,GSM8K,250,551826,8500,423.6392161392161,0.0878739
Qwen3-4B,MATH500,250,551826,8500,423.6392161392161,0.0878739
Qwen3-4B,SVAMP,250,551826,8500,423.6392161392161,0.0878739
