model,dataset,bin_label,bin_start_pct,bin_end_pct,total_traces_in_bin,sampled_traces,random_seed,mean_reasoning_score,std_reasoning_score,stderr_reasoning_score,ci_lower,ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,mean_accuracy_population
DS-R1-1.5B,AQuA,0-10,0.0,10.0,407,50,1996967456,0.90125,0.18345552900484896,0.02594452972109881,0.8491125155335163,0.9533874844664837,0.8475,0.9475,0.8034398034398035
DS-R1-1.5B,AQuA,10-20,10.0,20.0,406,50,1703670614,0.81625,0.20060892633811342,0.02837038643604652,0.7592375739503336,0.8732624260496664,0.75871875,0.86875,0.6502463054187192
DS-R1-1.5B,AQuA,20-30,20.0,30.0,407,50,1206105458,0.7575,0.21820814814843037,0.03085929225318278,0.6954859304526697,0.8195140695473302,0.695,0.815,0.4963144963144963
DS-R1-1.5B,AQuA,30-40,30.0,40.0,406,50,1047584248,0.61875,0.21733324008282295,0.030735561567961617,0.5569845765737632,0.6805154234262368,0.5575,0.68,0.4408866995073892
DS-R1-1.5B,AQuA,40-50,40.0,50.0,406,50,904095462,0.55625,0.22737199246869363,0.03215525554530198,0.49163159471259854,0.6208684052874015,0.495,0.6175,0.35467980295566504
DS-R1-1.5B,CommonsenseQA,0-10,0.0,10.0,1954,50,775787152,0.56125,0.3042246124098416,0.04302385728776962,0.47479032178871583,0.6477096782112842,0.47496875,0.64625,0.4437052200614125
DS-R1-1.5B,CommonsenseQA,10-20,10.0,20.0,1954,50,1426393289,0.58375,0.28280043172469427,0.03999402059900291,0.5033790065710071,0.6641209934289929,0.50871875,0.66,0.3991811668372569
DS-R1-1.5B,CommonsenseQA,20-30,20.0,30.0,1953,50,925877873,0.5875,0.2415669510440836,0.03416272583876605,0.5188474321215806,0.6561525678784195,0.5225,0.655,0.4116743471582181
DS-R1-1.5B,CommonsenseQA,30-40,30.0,40.0,1954,50,1154687860,0.605,0.23772143275657065,0.03361888742711059,0.537440316326643,0.672559683673357,0.53996875,0.67,0.4094165813715456
DS-R1-1.5B,CommonsenseQA,40-50,40.0,50.0,1953,50,1720128926,0.47875,0.23200888991588234,0.03281101187101672,0.4128138030388513,0.5446861969611487,0.41625,0.5425,0.4229390681003584
DS-R1-1.5B,GPQA,0-10,0.0,10.0,717,50,440311095,0.56625,0.29434779598291544,0.041627064513366785,0.48259728195955687,0.6499027180404432,0.4875,0.64875,0.36262203626220363
DS-R1-1.5B,GPQA,10-20,10.0,20.0,717,50,550132928,0.49125,0.1556800830720042,0.022016488487179842,0.4470062099276224,0.5354937900723776,0.44871875,0.5325,0.33612273361227335
DS-R1-1.5B,GPQA,20-30,20.0,30.0,717,50,446478496,0.5175,0.18687822074215898,0.026428571428571426,0.4643897973044415,0.5706102026955584,0.46996875,0.5675312499999998,0.34309623430962344
DS-R1-1.5B,GPQA,30-40,30.0,40.0,717,50,1776145315,0.53375,0.2113677820428513,0.029891918401372064,0.4736799409903148,0.593820059009685,0.48,0.59375,0.34449093444909346
DS-R1-1.5B,GPQA,40-50,40.0,50.0,716,50,1867012242,0.4575,0.13148969851789352,0.01859545149563545,0.42013104115113314,0.4948689588488669,0.42375,0.495,0.2988826815642458
DS-R1-1.5B,GSM8K,0-10,0.0,10.0,2111,50,944897909,0.95125,0.15886334937772842,0.022466670325399892,0.9061015356533301,0.99639846434667,0.905,0.9925,0.9227854097584084
DS-R1-1.5B,GSM8K,10-20,10.0,20.0,2110,50,1620205246,0.92,0.19644480452404384,0.027781490681563433,0.8641710042757934,0.9758289957242067,0.8612187499999999,0.97,0.9037914691943127
DS-R1-1.5B,GSM8K,20-30,20.0,30.0,2111,50,1961505985,0.88125,0.2158610250667247,0.03052735892371207,0.8199029754519519,0.9425970245480481,0.815,0.935,0.8569398389388915
DS-R1-1.5B,GSM8K,30-40,30.0,40.0,2110,50,1945220080,0.8775,0.20784977895644946,0.029394397633646076,0.8184297464050945,0.9365702535949054,0.8175,0.93,0.8440758293838863
DS-R1-1.5B,GSM8K,40-50,40.0,50.0,2110,50,679449097,0.73125,0.2711846883658472,0.038351306419490236,0.6541801643078368,0.8083198356921631,0.6524687499999999,0.80375,0.7843601895734598
DS-R1-1.5B,MATH500,0-10,0.0,10.0,800,50,916997155,0.845,0.2576136563118643,0.036432072660875975,0.7717870089434105,0.9182129910565895,0.7725,0.91,0.76375
DS-R1-1.5B,MATH500,10-20,10.0,20.0,800,50,547146228,0.845,0.21511743351965137,0.03042219919863836,0.7838643018314033,0.9061356981685966,0.78375,0.9025,0.70625
DS-R1-1.5B,MATH500,20-30,20.0,30.0,800,50,1674887354,0.695,0.25958660227683683,0.03671108935502532,0.6212263039041023,0.7687736960958976,0.62375,0.7675,0.64875
DS-R1-1.5B,MATH500,30-40,30.0,40.0,800,50,1119108184,0.71125,0.2696044201554324,0.03812782274595467,0.6346292715640766,0.7878707284359235,0.63875,0.78375,0.60625
DS-R1-1.5B,MATH500,40-50,40.0,50.0,800,50,608571283,0.6675,0.2370497881054027,0.03352390252963289,0.6001311956245154,0.7348688043754845,0.6012187499999999,0.7325,0.52625
DS-R1-1.5B,SVAMP,0-10,0.0,10.0,1600,50,1883740650,0.96875,0.12323369412359161,0.017427876157092084,0.9337273716389527,1.0037726283610473,0.93125,0.99625,0.91625
DS-R1-1.5B,SVAMP,10-20,10.0,20.0,1600,50,129638363,0.9175,0.2076502406667991,0.029366178658102447,0.8584864545595642,0.9765135454404358,0.85625,0.9675312499999998,0.921875
DS-R1-1.5B,SVAMP,20-30,20.0,30.0,1600,50,270600075,0.92,0.20595410128651168,0.02912630832657469,0.8614684920379244,0.9785315079620757,0.86375,0.97375,0.8975
DS-R1-1.5B,SVAMP,30-40,30.0,40.0,1600,50,1012511334,0.895,0.20377496091001357,0.028818131339098847,0.8370877968806089,0.9529122031193912,0.8375,0.94625,0.8875
DS-R1-1.5B,SVAMP,40-50,40.0,50.0,1600,50,1236759045,0.79125,0.21929051297681038,0.031012361755155843,0.728928325771945,0.853571674228055,0.72875,0.84875,0.840625
DS-R1-7B,AQuA,0-10,0.0,10.0,407,50,384133804,0.9675,0.09384773816764938,0.01327207441147289,0.9408287679173675,0.9941712320826326,0.9375,0.98875,0.9213759213759214
DS-R1-7B,AQuA,10-20,10.0,20.0,406,50,1035445547,0.94625,0.13183482437644214,0.01864425966262396,0.9087829574673834,0.9837170425326167,0.90875,0.9775,0.916256157635468
DS-R1-7B,AQuA,20-30,20.0,30.0,407,50,1946357627,0.8925,0.17360963718195194,0.024552110346138876,0.8431606870291347,0.9418393129708652,0.84125,0.94,0.8574938574938575
DS-R1-7B,AQuA,30-40,30.0,40.0,406,50,2055954524,0.86875,0.18045877617328338,0.02552072487135081,0.8174641832649452,0.9200358167350549,0.8187187499999999,0.91875,0.8300492610837439
DS-R1-7B,AQuA,40-50,40.0,50.0,406,50,639634413,0.78625,0.23860844986491736,0.03374433058957868,0.71843822885368,0.85406177114632,0.71625,0.85125,0.7684729064039408
DS-R1-7B,CommonsenseQA,0-10,0.0,10.0,1954,50,2141815550,0.7925,0.23637623503600338,0.033428647741060635,0.7253226172888483,0.8596773827111517,0.71875,0.85375,0.5690890481064483
DS-R1-7B,CommonsenseQA,10-20,10.0,20.0,1954,50,708767532,0.8225,0.15379966428667483,0.021750557112264448,0.7787906190334282,0.8662093809665719,0.77996875,0.86375,0.567553735926305
DS-R1-7B,CommonsenseQA,20-30,20.0,30.0,1953,50,1898560217,0.79875,0.1647750863499475,0.02330271618572936,0.7519214385953075,0.8455785614046925,0.75,0.84375,0.558115719406042
DS-R1-7B,CommonsenseQA,30-40,30.0,40.0,1954,50,1043124556,0.75375,0.16091753021536295,0.02275717536541486,0.7080177439186548,0.7994822560813453,0.71125,0.79875,0.5470829068577278
DS-R1-7B,CommonsenseQA,40-50,40.0,50.0,1953,50,471242906,0.70125,0.2087415218857611,0.029520509128124355,0.6419263158686737,0.7605736841313264,0.6424687499999999,0.75875,0.5069124423963134
DS-R1-7B,GPQA,0-10,0.0,10.0,717,50,411290705,0.62875,0.17875437057593865,0.025279685520195855,0.5779485699761998,0.6795514300238003,0.58246875,0.68,0.4309623430962343
DS-R1-7B,GPQA,10-20,10.0,20.0,717,50,382268190,0.6475,0.20506967457079417,0.029001231500945412,0.5892198433294477,0.7057801566705523,0.59125,0.70375,0.37796373779637377
DS-R1-7B,GPQA,20-30,20.0,30.0,717,50,835623458,0.655,0.17823181992184522,0.02520578569799127,0.6043470772289304,0.7056529227710696,0.60871875,0.70375,0.4421199442119944
