model,benchmark,subset_dims,subset_label,subset_size,frs_pct,n_traces
DS-R1-1.5B,AQuA,coherence,C,1,88.5,50
DS-R1-1.5B,AQuA,coherence|factuality,C+Fa,2,91.25,50
DS-R1-1.5B,AQuA,coherence|utility,C+U,2,89.5,50
DS-R1-1.5B,AQuA,coherence|utility|factuality,C+U+Fa,3,91.0,50
DS-R1-1.5B,AQuA,factuality,Fa,1,94.0,50
DS-R1-1.5B,AQuA,faithfulness,F,1,87.5,50
DS-R1-1.5B,AQuA,faithfulness|coherence,F+C,2,88.0,50
DS-R1-1.5B,AQuA,faithfulness|coherence|factuality,F+C+Fa,3,90.0,50
DS-R1-1.5B,AQuA,faithfulness|coherence|utility,F+C+U,3,88.83333333333334,50
DS-R1-1.5B,AQuA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,90.125,50
DS-R1-1.5B,AQuA,faithfulness|factuality,F+Fa,2,90.75,50
DS-R1-1.5B,AQuA,faithfulness|utility,F+U,2,89.0,50
DS-R1-1.5B,AQuA,faithfulness|utility|factuality,F+U+Fa,3,90.66666666666666,50
DS-R1-1.5B,AQuA,utility,U,1,90.5,50
DS-R1-1.5B,AQuA,utility|factuality,U+Fa,2,92.25,50
DS-R1-1.5B,CSQA,coherence,C,1,60.5,50
DS-R1-1.5B,CSQA,coherence|factuality,C+Fa,2,60.75,50
DS-R1-1.5B,CSQA,coherence|utility,C+U,2,57.0,50
DS-R1-1.5B,CSQA,coherence|utility|factuality,C+U+Fa,3,58.33333333333333,50
DS-R1-1.5B,CSQA,factuality,Fa,1,61.0,50
DS-R1-1.5B,CSQA,faithfulness,F,1,49.5,50
DS-R1-1.5B,CSQA,faithfulness|coherence,F+C,2,55.0,50
DS-R1-1.5B,CSQA,faithfulness|coherence|factuality,F+C+Fa,3,57.0,50
DS-R1-1.5B,CSQA,faithfulness|coherence|utility,F+C+U,3,54.5,50
DS-R1-1.5B,CSQA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,56.125,50
DS-R1-1.5B,CSQA,faithfulness|factuality,F+Fa,2,55.25,50
DS-R1-1.5B,CSQA,faithfulness|utility,F+U,2,51.5,50
DS-R1-1.5B,CSQA,faithfulness|utility|factuality,F+U+Fa,3,54.66666666666667,50
DS-R1-1.5B,CSQA,utility,U,1,53.5,50
DS-R1-1.5B,CSQA,utility|factuality,U+Fa,2,57.25,50
DS-R1-1.5B,GPQA,coherence,C,1,60.5,50
DS-R1-1.5B,GPQA,coherence|factuality,C+Fa,2,58.75,50
DS-R1-1.5B,GPQA,coherence|utility,C+U,2,58.5,50
DS-R1-1.5B,GPQA,coherence|utility|factuality,C+U+Fa,3,58.0,50
DS-R1-1.5B,GPQA,factuality,Fa,1,57.0,50
DS-R1-1.5B,GPQA,faithfulness,F,1,52.5,50
DS-R1-1.5B,GPQA,faithfulness|coherence,F+C,2,56.5,50
DS-R1-1.5B,GPQA,faithfulness|coherence|factuality,F+C+Fa,3,56.66666666666667,50
DS-R1-1.5B,GPQA,faithfulness|coherence|utility,F+C+U,3,56.5,50
DS-R1-1.5B,GPQA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,56.625,50
DS-R1-1.5B,GPQA,faithfulness|factuality,F+Fa,2,54.75,50
DS-R1-1.5B,GPQA,faithfulness|utility,F+U,2,54.5,50
DS-R1-1.5B,GPQA,faithfulness|utility|factuality,F+U+Fa,3,55.33333333333333,50
DS-R1-1.5B,GPQA,utility,U,1,56.5,50
DS-R1-1.5B,GPQA,utility|factuality,U+Fa,2,56.75,50
DS-R1-1.5B,GSM8K,coherence,C,1,96.5,50
DS-R1-1.5B,GSM8K,coherence|factuality,C+Fa,2,95.5,50
DS-R1-1.5B,GSM8K,coherence|utility,C+U,2,96.0,50
DS-R1-1.5B,GSM8K,coherence|utility|factuality,C+U+Fa,3,95.5,50
DS-R1-1.5B,GSM8K,factuality,Fa,1,94.5,50
DS-R1-1.5B,GSM8K,faithfulness,F,1,94.0,50
DS-R1-1.5B,GSM8K,faithfulness|coherence,F+C,2,95.25,50
DS-R1-1.5B,GSM8K,faithfulness|coherence|factuality,F+C+Fa,3,95.0,50
DS-R1-1.5B,GSM8K,faithfulness|coherence|utility,F+C+U,3,95.33333333333334,50
DS-R1-1.5B,GSM8K,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,95.125,50
DS-R1-1.5B,GSM8K,faithfulness|factuality,F+Fa,2,94.25,50
DS-R1-1.5B,GSM8K,faithfulness|utility,F+U,2,94.75,50
DS-R1-1.5B,GSM8K,faithfulness|utility|factuality,F+U+Fa,3,94.66666666666666,50
DS-R1-1.5B,GSM8K,utility,U,1,95.5,50
DS-R1-1.5B,GSM8K,utility|factuality,U+Fa,2,95.0,50
DS-R1-1.5B,MATH500,coherence,C,1,84.5,50
DS-R1-1.5B,MATH500,coherence|factuality,C+Fa,2,85.75,50
DS-R1-1.5B,MATH500,coherence|utility,C+U,2,84.25,50
DS-R1-1.5B,MATH500,coherence|utility|factuality,C+U+Fa,3,85.16666666666666,50
DS-R1-1.5B,MATH500,factuality,Fa,1,87.0,50
DS-R1-1.5B,MATH500,faithfulness,F,1,82.5,50
DS-R1-1.5B,MATH500,faithfulness|coherence,F+C,2,83.5,50
DS-R1-1.5B,MATH500,faithfulness|coherence|factuality,F+C+Fa,3,84.66666666666666,50
DS-R1-1.5B,MATH500,faithfulness|coherence|utility,F+C+U,3,83.66666666666666,50
DS-R1-1.5B,MATH500,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,84.5,50
DS-R1-1.5B,MATH500,faithfulness|factuality,F+Fa,2,84.75,50
DS-R1-1.5B,MATH500,faithfulness|utility,F+U,2,83.25,50
DS-R1-1.5B,MATH500,faithfulness|utility|factuality,F+U+Fa,3,84.5,50
DS-R1-1.5B,MATH500,utility,U,1,84.0,50
DS-R1-1.5B,MATH500,utility|factuality,U+Fa,2,85.5,50
DS-R1-1.5B,SVAMP,coherence,C,1,97.5,50
DS-R1-1.5B,SVAMP,coherence|factuality,C+Fa,2,97.0,50
DS-R1-1.5B,SVAMP,coherence|utility,C+U,2,97.5,50
DS-R1-1.5B,SVAMP,coherence|utility|factuality,C+U+Fa,3,97.16666666666666,50
DS-R1-1.5B,SVAMP,factuality,Fa,1,96.5,50
DS-R1-1.5B,SVAMP,faithfulness,F,1,96.0,50
DS-R1-1.5B,SVAMP,faithfulness|coherence,F+C,2,96.75,50
DS-R1-1.5B,SVAMP,faithfulness|coherence|factuality,F+C+Fa,3,96.66666666666666,50
DS-R1-1.5B,SVAMP,faithfulness|coherence|utility,F+C+U,3,97.0,50
DS-R1-1.5B,SVAMP,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,96.875,50
DS-R1-1.5B,SVAMP,faithfulness|factuality,F+Fa,2,96.25,50
DS-R1-1.5B,SVAMP,faithfulness|utility,F+U,2,96.75,50
DS-R1-1.5B,SVAMP,faithfulness|utility|factuality,F+U+Fa,3,96.66666666666666,50
DS-R1-1.5B,SVAMP,utility,U,1,97.5,50
DS-R1-1.5B,SVAMP,utility|factuality,U+Fa,2,97.0,50
DS-R1-7B,AQuA,coherence,C,1,95.5,50
DS-R1-7B,AQuA,coherence|factuality,C+Fa,2,97.25,50
DS-R1-7B,AQuA,coherence|utility,C+U,2,96.75,50
DS-R1-7B,AQuA,coherence|utility|factuality,C+U+Fa,3,97.5,50
DS-R1-7B,AQuA,factuality,Fa,1,99.0,50
DS-R1-7B,AQuA,faithfulness,F,1,94.5,50
DS-R1-7B,AQuA,faithfulness|coherence,F+C,2,95.0,50
DS-R1-7B,AQuA,faithfulness|coherence|factuality,F+C+Fa,3,96.33333333333334,50
DS-R1-7B,AQuA,faithfulness|coherence|utility,F+C+U,3,96.0,50
DS-R1-7B,AQuA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,96.75,50
DS-R1-7B,AQuA,faithfulness|factuality,F+Fa,2,96.75,50
DS-R1-7B,AQuA,faithfulness|utility,F+U,2,96.25,50
DS-R1-7B,AQuA,faithfulness|utility|factuality,F+U+Fa,3,97.16666666666666,50
DS-R1-7B,AQuA,utility,U,1,98.0,50
DS-R1-7B,AQuA,utility|factuality,U+Fa,2,98.5,50
DS-R1-7B,CSQA,coherence,C,1,78.5,50
DS-R1-7B,CSQA,coherence|factuality,C+Fa,2,82.0,50
DS-R1-7B,CSQA,coherence|utility,C+U,2,78.0,50
DS-R1-7B,CSQA,coherence|utility|factuality,C+U+Fa,3,80.5,50
DS-R1-7B,CSQA,factuality,Fa,1,85.5,50
DS-R1-7B,CSQA,faithfulness,F,1,75.5,50
DS-R1-7B,CSQA,faithfulness|coherence,F+C,2,77.0,50
DS-R1-7B,CSQA,faithfulness|coherence|factuality,F+C+Fa,3,79.83333333333334,50
DS-R1-7B,CSQA,faithfulness|coherence|utility,F+C+U,3,77.16666666666667,50
DS-R1-7B,CSQA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,79.25,50
DS-R1-7B,CSQA,faithfulness|factuality,F+Fa,2,80.5,50
DS-R1-7B,CSQA,faithfulness|utility,F+U,2,76.5,50
DS-R1-7B,CSQA,faithfulness|utility|factuality,F+U+Fa,3,79.5,50
DS-R1-7B,CSQA,utility,U,1,77.5,50
DS-R1-7B,CSQA,utility|factuality,U+Fa,2,81.5,50
DS-R1-7B,GPQA,coherence,C,1,67.5,50
DS-R1-7B,GPQA,coherence|factuality,C+Fa,2,66.5,50
DS-R1-7B,GPQA,coherence|utility,C+U,2,65.75,50
DS-R1-7B,GPQA,coherence|utility|factuality,C+U+Fa,3,65.66666666666667,50
DS-R1-7B,GPQA,factuality,Fa,1,65.5,50
DS-R1-7B,GPQA,faithfulness,F,1,54.5,50
DS-R1-7B,GPQA,faithfulness|coherence,F+C,2,61.0,50
DS-R1-7B,GPQA,faithfulness|coherence|factuality,F+C+Fa,3,62.5,50
DS-R1-7B,GPQA,faithfulness|coherence|utility,F+C+U,3,62.0,50
DS-R1-7B,GPQA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,62.875,50
DS-R1-7B,GPQA,faithfulness|factuality,F+Fa,2,60.0,50
DS-R1-7B,GPQA,faithfulness|utility,F+U,2,59.25,50
DS-R1-7B,GPQA,faithfulness|utility|factuality,F+U+Fa,3,61.33333333333333,50
DS-R1-7B,GPQA,utility,U,1,64.0,50
DS-R1-7B,GPQA,utility|factuality,U+Fa,2,64.75,50
DS-R1-7B,GSM8K,coherence,C,1,99.5,50
DS-R1-7B,GSM8K,coherence|factuality,C+Fa,2,99.0,50
DS-R1-7B,GSM8K,coherence|utility,C+U,2,99.25,50
DS-R1-7B,GSM8K,coherence|utility|factuality,C+U+Fa,3,99.0,50
DS-R1-7B,GSM8K,factuality,Fa,1,98.5,50
DS-R1-7B,GSM8K,faithfulness,F,1,98.5,50
DS-R1-7B,GSM8K,faithfulness|coherence,F+C,2,99.0,50
DS-R1-7B,GSM8K,faithfulness|coherence|factuality,F+C+Fa,3,98.83333333333334,50
DS-R1-7B,GSM8K,faithfulness|coherence|utility,F+C+U,3,99.0,50
DS-R1-7B,GSM8K,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,98.875,50
DS-R1-7B,GSM8K,faithfulness|factuality,F+Fa,2,98.5,50
DS-R1-7B,GSM8K,faithfulness|utility,F+U,2,98.75,50
DS-R1-7B,GSM8K,faithfulness|utility|factuality,F+U+Fa,3,98.66666666666666,50
DS-R1-7B,GSM8K,utility,U,1,99.0,50
DS-R1-7B,GSM8K,utility|factuality,U+Fa,2,98.75,50
DS-R1-7B,MATH500,coherence,C,1,94.5,50
DS-R1-7B,MATH500,coherence|factuality,C+Fa,2,95.0,50
DS-R1-7B,MATH500,coherence|utility,C+U,2,94.25,50
DS-R1-7B,MATH500,coherence|utility|factuality,C+U+Fa,3,94.66666666666666,50
