subset_dims,subset_label,subset_size,n_pairs,spearman_vs_full_frs,p_value_vs_full_frs,spearman_vs_pass1,p_value_vs_pass1,mean_abs_rank_change_vs_full,mean_frs_pct
factuality,Fa,1,54,0.8608193416536399,7.071808116560652e-17,0.7413789882812722,1.4385649556229645e-10,1.3333333333333333,76.72222222222223
coherence,C,1,54,0.935448213113928,3.8337620678974965e-25,0.4414366406277355,0.0008335725257949832,0.6481481481481481,66.04629629629629
utility,U,1,54,0.9790844740107937,1.2329485842375747e-37,0.5155478657371168,6.621155181191836e-05,0.24074074074074073,66.3425925925926
faithfulness,F,1,54,0.9939947498073509,1.1995050437480962e-51,0.5940407306357259,2.187055315146461e-06,0.3333333333333333,66.4074074074074
faithfulness|factuality,F+Fa,2,54,0.9641053028594175,1.2888124421524856e-31,0.6766359802753202,1.949035915606664e-08,0.5925925925925926,71.56481481481481
coherence|utility,C+U,2,54,0.9647711502734756,7.985488151476628e-32,0.4856554685910206,0.00019721151534364954,0.5185185185185185,66.19444444444444
utility|factuality,U+Fa,2,54,0.9869998667468592,5.795716757085597e-43,0.6299868489037408,3.322486743066547e-07,0.42592592592592593,71.5324074074074
faithfulness|coherence,F+C,2,54,0.9881433480303516,5.364022500558996e-44,0.5476344798808568,1.821081905144971e-05,0.3148148148148148,66.22685185185185
coherence|factuality,C+Fa,2,54,0.9947959375004264,2.926157399059247e-53,0.605402110982454,1.236072384726042e-06,0.16666666666666666,71.38425925925925
faithfulness|utility,F+U,2,54,0.9951586788402977,4.49111871874397e-54,0.5723978883003572,6.117833442022514e-06,0.2037037037037037,66.375
faithfulness|coherence|utility,F+C+U,3,54,0.9861039631230523,3.242770527074038e-42,0.5343194259922442,3.1614578603526784e-05,0.2777777777777778,66.26543209876543
faithfulness|utility|factuality,F+U+Fa,3,54,0.9929094243262252,8.896541669419253e-50,0.6175809095414173,6.538632140615149e-07,0.2962962962962963,69.82407407407408
coherence|utility|factuality,C+U+Fa,3,54,0.9963592003487579,2.7586581910921163e-57,0.5887959142729888,2.825487360963457e-06,0.07407407407407407,69.70370370370371
faithfulness|coherence|factuality,F+C+Fa,3,54,0.9971596882429637,4.3781320583033316e-60,0.6042202806650451,1.3130167203265327e-06,0.24074074074074073,69.72530864197532
faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,54,0.9999999999999999,0.0,0.5949222328202053,2.0939747490612883e-06,0.0,68.87962962962963
