model,benchmark,frs_pct,pass1_pct,trace0_pct,unfiltered_pct
DS-R1-7B,GSM8K,98.9,91.5,80.125,93.375
DS-R1-7B,MATH500,94.0,63.6,68.5,74.75
DS-R1-7B,SVAMP,99.0,91.1,91.25,89.1875
DS-R1-7B,AQuA,96.8,69.3,64.875,77.4375
DS-R1-7B,GPQA,62.9,46.2,42.5,58.4375
DS-R1-7B,CSQA,79.2,47.3,60.0,69.25
DS-R1-1.5B,GSM8K,95.1,60.1,80.5,72.3125
DS-R1-1.5B,MATH500,84.5,43.2,68.75,64.375
DS-R1-1.5B,SVAMP,96.9,65.8,79.5,73.9375
DS-R1-1.5B,AQuA,90.1,11.0,52.25,61.5
DS-R1-1.5B,GPQA,56.6,37.9,47.0,50.74999999999999
DS-R1-1.5B,CSQA,56.1,39.6,54.87499999999999,55.75
Qwen3-4B,GSM8K,90.9,72.2,82.5,81.375
Qwen3-4B,MATH500,63.5,49.8,70.5,70.4375
Qwen3-4B,SVAMP,91.0,79.5,77.5,84.0
Qwen3-4B,AQuA,78.5,57.5,65.375,69.125
Qwen3-4B,GPQA,58.8,60.5,50.0,52.1875
Qwen3-4B,CSQA,75.0,69.5,71.875,74.375
Phi-4,GSM8K,91.5,93.0,73.875,89.5
Phi-4,MATH500,74.4,60.8,64.125,82.25
Phi-4,SVAMP,75.5,92.3,66.375,83.8125
Phi-4,AQuA,78.5,77.6,69.375,79.25
Phi-4,GPQA,48.4,29.7,39.875,52.6875
Phi-4,CSQA,77.2,21.5,59.375,62.68749999999999
Qwen2.5-Math,GSM8K,90.8,84.55,88.125,90.1875
Qwen2.5-Math,MATH500,77.5,63.6,78.5,79.5
Qwen2.5-Math,SVAMP,74.5,90.8,88.25,85.6875
Qwen2.5-Math,AQuA,74.9,29.1,74.0,77.6875
Qwen2.5-Math,GPQA,54.6,24.3,53.37499999999999,47.875
Qwen2.5-Math,CSQA,70.6,45.9,64.125,65.5
Phi-4-Reas.,GSM8K,84.5,95.4,83.5,94.4375
Phi-4-Reas.,MATH500,80.0,74.6,75.125,81.1875
Phi-4-Reas.,SVAMP,74.8,94.6,88.25,88.0625
Phi-4-Reas.,AQuA,83.2,68.1,67.375,79.4375
Phi-4-Reas.,GPQA,62.3,44.0,42.125,55.625
Phi-4-Reas.,CSQA,33.4,36.9,72.25,65.625
Qwen2.5-7B,GSM8K,65.6,90.9,72.875,78.5625
Qwen2.5-7B,MATH500,75.6,60.6,65.25,68.125
Qwen2.5-7B,SVAMP,64.9,93.6,85.25,77.875
Qwen2.5-7B,AQuA,77.2,78.3,61.875,69.625
Qwen2.5-7B,GPQA,55.1,35.9,35.5,57.25
Qwen2.5-7B,CSQA,70.1,81.8,74.375,88.0
LLaMA-3.1-8B,GSM8K,79.9,81.3,73.375,82.5
LLaMA-3.1-8B,MATH500,60.6,35.6,54.625,50.18749999999999
LLaMA-3.1-8B,SVAMP,80.0,85.2,86.5,80.6875
LLaMA-3.1-8B,AQuA,52.9,48.8,60.12499999999999,53.1875
LLaMA-3.1-8B,GPQA,50.5,38.4,42.125,51.9375
LLaMA-3.1-8B,CSQA,55.0,66.3,65.5,58.1875
Gemma-7B,GSM8K,41.2,36.9,49.5,51.31250000000001
Gemma-7B,MATH500,18.9,18.2,41.75,36.25
Gemma-7B,SVAMP,31.1,37.8,66.375,56.00000000000001
Gemma-7B,AQuA,22.2,3.5,46.5,40.625
Gemma-7B,GPQA,30.9,24.8,35.5,39.0625
Gemma-7B,CSQA,13.4,27.3,39.125,27.0625
