benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,pass1_gap_pp,frs_gap_pp,trace0_a,trace0_b,trace0_gap_pp,unfiltered_a,unfiltered_b,unfiltered_gap_pp,frs_gt_trace0,frs_gt_unfiltered
AQuA,DS-R1-7B,DS-R1-1.5B,69.3,11.0,96.8,90.1,58.3,6.700000000000003,64.875,52.25,12.625,77.4375,61.5,15.9375,False,False
AQuA,DS-R1-7B,Qwen3-4B,69.3,57.5,96.8,78.5,11.799999999999997,18.299999999999997,64.875,65.375,0.5,77.4375,69.125,8.3125,True,True
AQuA,DS-R1-7B,Phi-4,69.3,77.6,96.8,78.5,8.299999999999997,18.299999999999997,64.875,69.375,4.5,77.4375,79.25,1.8125,True,True
AQuA,DS-R1-7B,Qwen2.5-Math,69.3,29.1,96.8,74.9,40.199999999999996,21.89999999999999,64.875,74.0,9.125,77.4375,77.6875,0.25,True,True
AQuA,DS-R1-7B,Phi-4-Reas.,69.3,68.1,96.8,83.2,1.2000000000000028,13.599999999999994,64.875,67.375,2.5,77.4375,79.4375,2.0,True,True
AQuA,DS-R1-7B,Qwen2.5-7B,69.3,78.3,96.8,77.2,9.0,19.599999999999994,64.875,61.875,3.0,77.4375,69.625,7.8125,True,True
AQuA,DS-R1-7B,LLaMA-3.1-8B,69.3,48.8,96.8,52.9,20.5,43.9,64.875,60.12499999999999,4.750000000000007,77.4375,53.1875,24.25,True,True
AQuA,DS-R1-7B,Gemma-7B,69.3,3.5,96.8,22.2,65.8,74.6,64.875,46.5,18.375,77.4375,40.625,36.8125,True,True
AQuA,DS-R1-1.5B,Qwen3-4B,11.0,57.5,90.1,78.5,46.5,11.599999999999994,52.25,65.375,13.125,61.5,69.125,7.625,False,True
AQuA,DS-R1-1.5B,Phi-4,11.0,77.6,90.1,78.5,66.6,11.599999999999994,52.25,69.375,17.125,61.5,79.25,17.75,False,False
AQuA,DS-R1-1.5B,Qwen2.5-Math,11.0,29.1,90.1,74.9,18.1,15.199999999999989,52.25,74.0,21.75,61.5,77.6875,16.1875,False,False
AQuA,DS-R1-1.5B,Phi-4-Reas.,11.0,68.1,90.1,83.2,57.099999999999994,6.8999999999999915,52.25,67.375,15.125,61.5,79.4375,17.9375,False,False
AQuA,DS-R1-1.5B,Qwen2.5-7B,11.0,78.3,90.1,77.2,67.3,12.899999999999991,52.25,61.875,9.625,61.5,69.625,8.125,True,True
AQuA,DS-R1-1.5B,LLaMA-3.1-8B,11.0,48.8,90.1,52.9,37.8,37.199999999999996,52.25,60.12499999999999,7.874999999999993,61.5,53.1875,8.3125,True,True
AQuA,DS-R1-1.5B,Gemma-7B,11.0,3.5,90.1,22.2,7.5,67.89999999999999,52.25,46.5,5.75,61.5,40.625,20.875,True,True
AQuA,Qwen3-4B,Phi-4,57.5,77.6,78.5,78.5,20.099999999999994,0.0,65.375,69.375,4.0,69.125,79.25,10.125,False,False
AQuA,Qwen3-4B,Qwen2.5-Math,57.5,29.1,78.5,74.9,28.4,3.5999999999999943,65.375,74.0,8.625,69.125,77.6875,8.5625,False,False
AQuA,Qwen3-4B,Phi-4-Reas.,57.5,68.1,78.5,83.2,10.599999999999994,4.700000000000003,65.375,67.375,2.0,69.125,79.4375,10.3125,True,False
AQuA,Qwen3-4B,Qwen2.5-7B,57.5,78.3,78.5,77.2,20.799999999999997,1.2999999999999972,65.375,61.875,3.5,69.125,69.625,0.5,False,True
AQuA,Qwen3-4B,LLaMA-3.1-8B,57.5,48.8,78.5,52.9,8.700000000000003,25.6,65.375,60.12499999999999,5.250000000000007,69.125,53.1875,15.9375,True,True
AQuA,Qwen3-4B,Gemma-7B,57.5,3.5,78.5,22.2,54.0,56.3,65.375,46.5,18.875,69.125,40.625,28.5,True,True
AQuA,Phi-4,Qwen2.5-Math,77.6,29.1,78.5,74.9,48.49999999999999,3.5999999999999943,69.375,74.0,4.625,79.25,77.6875,1.5625,False,True
AQuA,Phi-4,Phi-4-Reas.,77.6,68.1,78.5,83.2,9.5,4.700000000000003,69.375,67.375,2.0,79.25,79.4375,0.1875,True,True
AQuA,Phi-4,Qwen2.5-7B,77.6,78.3,78.5,77.2,0.7000000000000028,1.2999999999999972,69.375,61.875,7.5,79.25,69.625,9.625,False,False
AQuA,Phi-4,LLaMA-3.1-8B,77.6,48.8,78.5,52.9,28.799999999999997,25.6,69.375,60.12499999999999,9.250000000000007,79.25,53.1875,26.0625,True,False
AQuA,Phi-4,Gemma-7B,77.6,3.5,78.5,22.2,74.1,56.3,69.375,46.5,22.875,79.25,40.625,38.625,True,True
AQuA,Qwen2.5-Math,Phi-4-Reas.,29.1,68.1,74.9,83.2,38.99999999999999,8.299999999999997,74.0,67.375,6.625,77.6875,79.4375,1.75,True,True
AQuA,Qwen2.5-Math,Qwen2.5-7B,29.1,78.3,74.9,77.2,49.199999999999996,2.299999999999997,74.0,61.875,12.125,77.6875,69.625,8.0625,False,False
AQuA,Qwen2.5-Math,LLaMA-3.1-8B,29.1,48.8,74.9,52.9,19.699999999999996,22.000000000000007,74.0,60.12499999999999,13.875000000000007,77.6875,53.1875,24.5,True,False
AQuA,Qwen2.5-Math,Gemma-7B,29.1,3.5,74.9,22.2,25.6,52.7,74.0,46.5,27.5,77.6875,40.625,37.0625,True,True
AQuA,Phi-4-Reas.,Qwen2.5-7B,68.1,78.3,83.2,77.2,10.200000000000003,6.0,67.375,61.875,5.5,79.4375,69.625,9.8125,True,False
AQuA,Phi-4-Reas.,LLaMA-3.1-8B,68.1,48.8,83.2,52.9,19.299999999999997,30.300000000000004,67.375,60.12499999999999,7.250000000000007,79.4375,53.1875,26.25,True,True
AQuA,Phi-4-Reas.,Gemma-7B,68.1,3.5,83.2,22.2,64.6,61.0,67.375,46.5,20.875,79.4375,40.625,38.8125,True,True
AQuA,Qwen2.5-7B,LLaMA-3.1-8B,78.3,48.8,77.2,52.9,29.5,24.300000000000004,61.875,60.12499999999999,1.750000000000007,69.625,53.1875,16.4375,True,True
AQuA,Qwen2.5-7B,Gemma-7B,78.3,3.5,77.2,22.2,74.8,55.0,61.875,46.5,15.375,69.625,40.625,29.0,True,True
AQuA,LLaMA-3.1-8B,Gemma-7B,48.8,3.5,52.9,22.2,45.3,30.7,60.12499999999999,46.5,13.624999999999993,53.1875,40.625,12.5625,True,True
CSQA,DS-R1-7B,DS-R1-1.5B,47.3,39.6,79.2,56.1,7.699999999999996,23.1,60.0,54.87499999999999,5.125000000000007,69.25,55.75,13.5,True,True
CSQA,DS-R1-7B,Qwen3-4B,47.3,69.5,79.2,75.0,22.200000000000003,4.200000000000003,60.0,71.875,11.875,69.25,74.375,5.125,False,False
CSQA,DS-R1-7B,Phi-4,47.3,21.5,79.2,77.2,25.799999999999997,2.0,60.0,59.375,0.625,69.25,62.68749999999999,6.562500000000007,True,False
CSQA,DS-R1-7B,Qwen2.5-Math,47.3,45.9,79.2,70.6,1.3999999999999986,8.600000000000009,60.0,64.125,4.125,69.25,65.5,3.75,True,True
CSQA,DS-R1-7B,Phi-4-Reas.,47.3,36.9,79.2,33.4,10.399999999999999,45.800000000000004,60.0,72.25,12.25,69.25,65.625,3.625,True,True
CSQA,DS-R1-7B,Qwen2.5-7B,47.3,81.8,79.2,70.1,34.5,9.100000000000009,60.0,74.375,14.375,69.25,88.0,18.75,False,False
CSQA,DS-R1-7B,LLaMA-3.1-8B,47.3,66.3,79.2,55.0,19.0,24.200000000000003,60.0,65.5,5.5,69.25,58.1875,11.0625,True,True
CSQA,DS-R1-7B,Gemma-7B,47.3,27.3,79.2,13.4,19.999999999999996,65.8,60.0,39.125,20.875,69.25,27.0625,42.1875,True,True
CSQA,DS-R1-1.5B,Qwen3-4B,39.6,69.5,56.1,75.0,29.9,18.9,54.87499999999999,71.875,17.000000000000007,55.75,74.375,18.625,True,True
CSQA,DS-R1-1.5B,Phi-4,39.6,21.5,56.1,77.2,18.1,21.1,54.87499999999999,59.375,4.500000000000007,55.75,62.68749999999999,6.937499999999993,True,True
