comparison,scope,n_comparable_pairs,n_qualifying_pairs,n_reversals,frac_reversals_of_qualifying,pass1_agrees_baseline_winner,lobo_frs_agrees_frs_winner,lobo_frs_agrees_baseline_winner
frs_vs_trace0,all_benchmarks,216,181,62,0.3425414364640884,0.6129032258064516,0.7258064516129032,0.27419354838709675
frs_vs_trace0,GSM8K,36,28,7,0.25,0.7142857142857143,1.0,0.0
frs_vs_trace0,MATH500,36,32,8,0.25,0.5,0.625,0.375
frs_vs_trace0,SVAMP,36,29,9,0.3103448275862069,1.0,0.8888888888888888,0.1111111111111111
frs_vs_trace0,AQuA,36,31,14,0.45161290322580644,0.5714285714285714,0.7142857142857143,0.2857142857142857
frs_vs_trace0,GPQA,36,30,10,0.3333333333333333,0.3,0.6,0.4
frs_vs_trace0,CSQA,36,31,14,0.45161290322580644,0.6428571428571429,0.6428571428571429,0.35714285714285715
frs_vs_unfiltered,all_benchmarks,216,179,49,0.2737430167597765,0.6530612244897959,0.7755102040816326,0.3877551020408163
frs_vs_unfiltered,GSM8K,36,31,9,0.2903225806451613,,1.0,0.4444444444444444
frs_vs_unfiltered,MATH500,36,32,10,0.3125,,0.8,0.4
frs_vs_unfiltered,SVAMP,36,30,10,0.3333333333333333,,0.7,0.4
frs_vs_unfiltered,AQuA,36,28,8,0.2857142857142857,,0.875,0.125
frs_vs_unfiltered,GPQA,36,25,3,0.12,,0.6666666666666666,0.6666666666666666
frs_vs_unfiltered,CSQA,36,33,9,0.2727272727272727,,0.5555555555555556,0.4444444444444444
