held_out_benchmark,train_metric,test_target,spearman_r,p_value,n_models
GSM8K,frs_pct,frs_pct,0.9333333333333332,0.00023589981215941676,9
MATH500,frs_pct,frs_pct,0.7166666666666667,0.029818035695845287,9
SVAMP,frs_pct,frs_pct,0.6833333333333333,0.04244227208707231,9
AQuA,frs_pct,frs_pct,0.8200908605806085,0.0067875328192439684,9
GPQA,frs_pct,frs_pct,0.65,0.05807305801714864,9
CSQA,frs_pct,frs_pct,0.4666666666666666,0.20538635110581185,9
GSM8K,trace0_pct,trace0_pct,0.7999999999999999,0.00962792472537983,9
MATH500,trace0_pct,trace0_pct,0.8666666666666667,0.0024953982859902053,9
SVAMP,trace0_pct,trace0_pct,0.5714487486348921,0.10797035347412806,9
AQuA,trace0_pct,trace0_pct,0.6333333333333333,0.06708578689234565,9
GPQA,trace0_pct,trace0_pct,0.6386780131801736,0.06410620825872809,9
CSQA,trace0_pct,trace0_pct,0.41666666666666663,0.26458604674749614,9
GSM8K,trace0_pct,frs_pct,0.15,0.7000942309691419,9
MATH500,trace0_pct,frs_pct,0.43333333333333335,0.2439524358800516,9
SVAMP,trace0_pct,frs_pct,0.06666666666666667,0.8646897846262037,9
AQuA,trace0_pct,frs_pct,0.34309923758984645,0.36602924302380385,9
GPQA,trace0_pct,frs_pct,0.6333333333333333,0.06708578689234565,9
CSQA,trace0_pct,frs_pct,0.26666666666666666,0.4879222748387009,9
GSM8K,frs_pct,trace0_pct,0.41666666666666663,0.26458604674749614,9
MATH500,frs_pct,trace0_pct,0.48333333333333334,0.18746985521554207,9
SVAMP,frs_pct,trace0_pct,0.2437060839766452,0.5274463958468502,9
AQuA,frs_pct,trace0_pct,0.31666666666666665,0.4063970144863861,9
GPQA,frs_pct,trace0_pct,0.6218706970438532,0.0737649506248493,9
CSQA,frs_pct,trace0_pct,0.03333333333333333,0.932156735540504,9
GSM8K,pass1_pct,pass1_pct,0.7333333333333334,0.02455415007146968,9
MATH500,pass1_pct,pass1_pct,0.42678197846541877,0.2519566902874007,9
SVAMP,pass1_pct,pass1_pct,0.8333333333333333,0.00526569102916175,9
AQuA,pass1_pct,pass1_pct,0.7166666666666667,0.029818035695845287,9
GPQA,pass1_pct,pass1_pct,0.41666666666666663,0.26458604674749614,9
CSQA,pass1_pct,pass1_pct,0.16666666666666669,0.668231040071504,9
GSM8K,pass1_pct,frs_pct,0.049999999999999996,0.8983528043506301,9
MATH500,pass1_pct,frs_pct,0.26666666666666666,0.4879222748387009,9
SVAMP,pass1_pct,frs_pct,0.08333333333333334,0.831214097710308,9
AQuA,pass1_pct,frs_pct,0.32636268941473195,0.39136044929979796,9
GPQA,pass1_pct,frs_pct,0.5166666666666667,0.1543901209862251,9
CSQA,pass1_pct,frs_pct,0.41666666666666663,0.26458604674749614,9
