model,benchmark,trace0_pct,frs_pct,pass1_pct
DS-R1-1.5B,AQuA,52.25,90.1,11.0
DS-R1-1.5B,CSQA,54.87499999999999,56.1,39.6
DS-R1-1.5B,GPQA,47.0,56.6,37.9
DS-R1-1.5B,GSM8K,80.5,95.1,60.1
DS-R1-1.5B,MATH500,68.75,84.5,43.2
DS-R1-1.5B,SVAMP,79.5,96.9,65.8
DS-R1-7B,AQuA,64.875,96.8,69.3
DS-R1-7B,CSQA,60.0,79.2,47.3
DS-R1-7B,GPQA,42.5,62.9,46.2
DS-R1-7B,GSM8K,80.125,98.9,91.5
DS-R1-7B,MATH500,68.5,94.0,63.6
DS-R1-7B,SVAMP,91.25,99.0,91.1
Gemma-7B,AQuA,46.5,22.2,3.5
Gemma-7B,CSQA,39.125,13.4,27.3
Gemma-7B,GPQA,35.5,30.9,24.8
Gemma-7B,GSM8K,49.5,41.2,36.9
Gemma-7B,MATH500,41.75,18.9,18.2
Gemma-7B,SVAMP,66.375,31.1,37.8
LLaMA-3.1-8B,AQuA,60.12499999999999,52.9,48.8
LLaMA-3.1-8B,CSQA,65.5,55.0,66.3
LLaMA-3.1-8B,GPQA,42.125,50.5,38.4
LLaMA-3.1-8B,GSM8K,73.375,79.9,81.3
LLaMA-3.1-8B,MATH500,54.625,60.6,35.6
LLaMA-3.1-8B,SVAMP,86.5,80.0,85.2
Phi-4,AQuA,69.375,78.5,77.6
Phi-4,CSQA,59.375,77.2,21.5
Phi-4,GPQA,39.875,48.4,29.7
Phi-4,GSM8K,73.875,91.5,93.0
Phi-4,MATH500,64.125,74.4,60.8
Phi-4,SVAMP,66.375,75.5,92.3
Phi-4-Reas.,AQuA,67.375,83.2,68.1
Phi-4-Reas.,CSQA,72.25,33.4,36.9
Phi-4-Reas.,GPQA,42.125,62.3,44.0
Phi-4-Reas.,GSM8K,83.5,84.5,95.4
Phi-4-Reas.,MATH500,75.125,80.0,74.6
Phi-4-Reas.,SVAMP,88.25,74.8,94.6
Qwen2.5-7B,AQuA,61.875,77.2,78.3
Qwen2.5-7B,CSQA,74.375,70.1,81.8
Qwen2.5-7B,GPQA,35.5,55.1,35.9
Qwen2.5-7B,GSM8K,72.875,65.6,90.9
Qwen2.5-7B,MATH500,65.25,75.6,60.6
Qwen2.5-7B,SVAMP,85.25,64.9,93.6
Qwen2.5-Math,AQuA,74.0,74.9,29.1
Qwen2.5-Math,CSQA,64.125,70.6,45.9
Qwen2.5-Math,GPQA,53.37499999999999,54.6,24.3
Qwen2.5-Math,GSM8K,88.125,90.8,84.55
Qwen2.5-Math,MATH500,78.5,77.5,63.6
Qwen2.5-Math,SVAMP,88.25,74.5,90.8
Qwen3-4B,AQuA,65.375,78.5,57.5
Qwen3-4B,CSQA,71.875,75.0,69.5
Qwen3-4B,GPQA,50.0,58.8,60.5
Qwen3-4B,GSM8K,82.5,90.9,72.2
Qwen3-4B,MATH500,70.5,63.5,49.8
Qwen3-4B,SVAMP,77.5,91.0,79.5
