model,benchmark,frs_pct,pass1_pct,base_reasoning,snr,unfiltered_reasoning_mean,unfiltered_n_judged,_unf_merge,unfiltered_reasoning_mean_pct,high_conf_accuracy_pct,pass16_pct,base_acc,mean_selection_gain,cum_top10_reasoning_0_1,cum_top10_reasoning_pct,pair_key,trace0_accuracy_pct,trace0_rs_mean_pct,trace0_coverage_fraction,n_judged_trace0
DS-R1-7B,GSM8K,98.9,91.5,88.8,3.799395,0.93375,100,both,93.375,96.92,98.18043972706596,91.5,0.025,0.98875,98.875,DS-R1-7B||GSM8K,90.9021986353298,96.875,0.08,20
DS-R1-7B,MATH500,94.0,63.6,75.88,3.688,0.7475,100,both,74.75,77.25,76.2,63.6,0.06125,0.94,94.0,DS-R1-7B||MATH500,61.199999999999996,95.22058823529412,0.068,17
DS-R1-7B,SVAMP,99.0,91.1,85.63,-0.785886,0.891875,100,both,89.1875,96.25,98.0,91.1,0.03375,0.99,99.0,DS-R1-7B||SVAMP,92.0,98.16176470588235,0.068,17
DS-R1-7B,AQuA,96.8,69.3,78.37,2.147622,0.774375,100,both,77.4375,92.14,93.7007874015748,69.3,0.05625,0.9675,96.75,DS-R1-7B||AQuA,73.22834645669292,93.30357142857143,0.056,14
DS-R1-7B,GPQA,62.9,46.2,65.47,0.755437,0.584375,100,both,58.4375,43.1,98.21428571428572,46.2,0.105,0.62875,62.875,DS-R1-7B||GPQA,49.107142857142854,60.526315789473685,0.076,19
DS-R1-7B,CSQA,79.2,47.3,66.78,-0.12443,0.6925,100,both,69.25,56.91,93.12039312039312,47.3,0.02125,0.7925,79.25,DS-R1-7B||CSQA,,72.5,0.06,15
DS-R1-1.5B,GSM8K,95.1,60.1,66.79,-1.699841,0.723125,100,both,72.3125,92.28,95.67854435178164,60.1,0.16,0.95125,95.125,DS-R1-1.5B||GSM8K,73.61637604245641,84.58333333333333,0.06,15
DS-R1-1.5B,MATH500,84.5,43.2,61.72,0.584968,0.64375,100,both,64.375,76.38,84.0,43.2,0.07625,0.845,84.5,DS-R1-1.5B||MATH500,53.800000000000004,78.125,0.064,16
DS-R1-1.5B,SVAMP,96.9,65.8,59.74,-1.896066,0.739375,100,both,73.9375,91.62,97.3,65.8,0.06625,0.96875,96.875,DS-R1-1.5B||SVAMP,80.9,92.70833333333334,0.048,12
DS-R1-1.5B,AQuA,90.1,11.0,52.31,-1.234517,0.615,100,both,61.5,80.34,90.94488188976378,11.0,0.16875,0.90125,90.125,DS-R1-1.5B||AQuA,39.37007874015748,72.265625,0.064,16
DS-R1-1.5B,GPQA,56.6,37.9,53.29,-3.651697,0.5075,100,both,50.74999999999999,36.26,96.20535714285714,37.9,0.01625,0.56625,56.625,DS-R1-1.5B||GPQA,37.5,48.89705882352941,0.068,17
DS-R1-1.5B,CSQA,56.1,39.6,52.65,-1.23333,0.5575,100,both,55.75,44.37,90.9090909090909,39.6,-0.0325,0.56125,56.125,DS-R1-1.5B||CSQA,,47.05882352941176,0.068,17
Qwen3-4B,GSM8K,90.9,72.2,78.87,3.91101,0.81375,100,both,81.375,92.14,96.66413949962092,72.2,0.1,0.90875,90.875,Qwen3-4B||GSM8K,74.37452615617892,83.68055555555556,0.072,18
Qwen3-4B,MATH500,63.5,49.8,70.09,1.014402,0.704375,100,both,70.4375,27.0,76.4,49.8,0.0425,0.635,63.5,Qwen3-4B||MATH500,46.0,78.4090909090909,0.044,11
Qwen3-4B,SVAMP,91.0,79.5,75.94,4.144028,0.84,100,both,84.0,88.0,97.3,79.5,-0.00625,0.91,91.0,Qwen3-4B||SVAMP,76.0,88.69047619047619,0.084,21
Qwen3-4B,AQuA,78.5,57.5,76.43,0.033516,0.69125,100,both,69.125,53.32,92.51968503937007,57.5,0.0775,0.785,78.5,Qwen3-4B||AQuA,51.574803149606296,73.4375,0.064,16
Qwen3-4B,GPQA,58.8,60.5,55.86,-0.90558,0.521875,100,both,52.1875,62.9,97.09821428571428,60.5,0.03375,0.5875,58.75,Qwen3-4B||GPQA,58.25892857142857,54.6875,0.048,12
Qwen3-4B,CSQA,75.0,69.5,64.27,4.307875,0.74375,100,both,74.375,84.49,94.75839475839476,69.5,-0.03875,0.75,75.0,Qwen3-4B||CSQA,,73.09782608695652,0.092,23
Phi-4,GSM8K,91.5,93.0,81.82,-0.787213,0.895,100,both,89.5,62.58,97.87717968157696,93.0,-0.0525,0.915,91.5,Phi-4||GSM8K,66.11068991660348,82.95454545454545,0.088,22
Phi-4,MATH500,74.4,60.8,73.08,-4.464555,0.8225,100,both,82.25,60.75,92.2,60.8,-0.01875,0.74375,74.375,Phi-4||MATH500,56.99999999999999,77.88461538461539,0.052,13
Phi-4,SVAMP,75.5,92.3,79.71,-2.423601,0.838125,100,both,83.8125,47.31,97.9,92.3,-0.0175,0.755,75.5,Phi-4||SVAMP,56.8,86.25,0.04,10
Phi-4,AQuA,78.5,77.6,78.12,-3.709158,0.7925,100,both,79.25,53.32,96.45669291338582,77.6,-0.0625,0.785,78.5,Phi-4||AQuA,54.7244094488189,78.67647058823529,0.068,17
Phi-4,GPQA,48.4,29.7,51.54,-0.051,0.526875,100,both,52.6875,17.43,93.52678571428572,29.7,0.1075,0.48375,48.375,Phi-4||GPQA,25.892857142857146,51.78571428571429,0.056,14
Phi-4,CSQA,77.2,21.5,50.59,1.28948,0.626875,100,both,62.68749999999999,65.76,93.03849303849304,21.5,0.17375,0.7725,77.25,Phi-4||CSQA,,52.5,0.06,15
Qwen2.5-Math,GSM8K,90.8,84.55,87.47,0.281677,0.901875,100,both,90.1875,55.42,98.25625473843822,84.55,-0.06875,0.9075,90.75,Qwen2.5-Math||GSM8K,72.25170583775588,81.73076923076923,0.052,13
Qwen2.5-Math,MATH500,77.5,63.6,80.53,-0.176052,0.795,100,both,79.5,61.0,78.4,63.6,-0.0275,0.775,77.5,Qwen2.5-Math||MATH500,63.800000000000004,77.71739130434783,0.092,23
Qwen2.5-Math,SVAMP,74.5,90.8,90.88,-0.763843,0.856875,100,both,85.6875,44.75,98.2,90.8,-0.02375,0.745,74.5,Qwen2.5-Math||SVAMP,74.0,91.91176470588235,0.068,17
Qwen2.5-Math,AQuA,74.9,29.1,79.94,-1.469844,0.776875,100,both,77.6875,47.91,97.24409448818898,29.1,-0.08125,0.74875,74.875,Qwen2.5-Math||AQuA,56.2992125984252,79.54545454545455,0.044,11
Qwen2.5-Math,GPQA,54.6,24.3,52.67,-3.792145,0.47875,100,both,47.875,39.19,96.42857142857144,24.3,0.04,0.54625,54.625,Qwen2.5-Math||GPQA,29.6875,61.60714285714286,0.056,14
Qwen2.5-Math,CSQA,70.6,45.9,63.24,-0.109159,0.655,100,both,65.5,50.72,95.004095004095,45.9,-0.04625,0.70625,70.625,Qwen2.5-Math||CSQA,,67.64705882352942,0.068,17
Phi-4-Reas.,GSM8K,84.5,95.4,90.79,0.740415,0.944375,100,both,94.4375,96.02,98.18043972706596,95.4,-0.11375,0.845,84.5,Phi-4-Reas.||GSM8K,95.22365428354814,95.95588235294117,0.068,17
Phi-4-Reas.,MATH500,80.0,74.6,78.43,-0.036428,0.811875,100,both,81.1875,88.5,95.6,74.6,-0.045,0.8,80.0,Phi-4-Reas.||MATH500,83.2,75.0,0.068,17
Phi-4-Reas.,SVAMP,74.8,94.6,87.18,-0.037384,0.880625,100,both,88.0625,94.5,97.4,94.6,-0.18125,0.7475,74.75,Phi-4-Reas.||SVAMP,93.5,90.44117647058823,0.068,17
Phi-4-Reas.,AQuA,83.2,68.1,81.12,-0.037384,0.794375,100,both,79.4375,73.46,93.30708661417324,68.1,-0.09,0.8325,83.25,Phi-4-Reas.||AQuA,55.90551181102362,84.21052631578947,0.076,19
Phi-4-Reas.,GPQA,62.3,44.0,50.97,0.858754,0.55625,100,both,55.625,56.21,97.09821428571428,44.0,-0.06,0.6225,62.25000000000001,Phi-4-Reas.||GPQA,46.205357142857146,74.70238095238095,0.084,21
Phi-4-Reas.,CSQA,33.4,36.9,38.7,2.145474,0.65625,100,both,65.625,67.2,94.67649467649468,36.9,-0.31375,0.33375,33.375,Phi-4-Reas.||CSQA,,66.44736842105263,0.076,19
Qwen2.5-7B,GSM8K,65.6,90.9,82.98,0.72455,0.785625,100,both,78.5625,62.62,97.4981046247157,90.9,-0.18125,0.65625,65.625,Qwen2.5-7B||GSM8K,78.013646702047,70.58823529411765,0.068,17
Qwen2.5-7B,MATH500,75.6,60.6,71.43,1.046219,0.68125,100,both,68.125,53.5,91.2,60.6,-0.0375,0.75625,75.625,Qwen2.5-7B||MATH500,50.0,62.15277777777778,0.072,18
Qwen2.5-7B,SVAMP,64.9,93.6,78.16,0.835712,0.77875,100,both,77.875,62.25,97.6,93.6,-0.15125,0.64875,64.875,Qwen2.5-7B||SVAMP,82.5,60.09615384615385,0.052,13
