model,benchmark,mean_selection_gain_haiku,std_selection_gain,stderr_selection_gain,n_questions,mean_top_conf_reasoning,mean_random_reasoning
DS-R1-1.5B,AQuA,0.18625,0.29060551009917207,0.04109782536826006,50,0.74,0.55375
DS-R1-1.5B,CSQA,-0.0275,0.3627499138525053,0.051300584791988485,50,0.345,0.3725
DS-R1-1.5B,GPQA,0.03125,0.1985297521783574,0.028076346806520252,50,0.2475,0.21625
DS-R1-1.5B,GSM8K,0.25875,0.29527794109956806,0.04175860689726131,50,0.84625,0.5875
DS-R1-1.5B,MATH500,0.0975,0.2923931428744525,0.04135063481979448,50,0.76625,0.66875
DS-R1-1.5B,SVAMP,0.15,0.336804839632687,0.047631397208144126,50,0.75625,0.60625
DS-R1-7B,AQuA,0.06,0.2023147300618519,0.02861162351213227,50,0.86,0.8
DS-R1-7B,CSQA,0.01875,0.3049718224688963,0.04312952874771529,50,0.58625,0.5675
DS-R1-7B,GPQA,0.04875,0.16596780561301644,0.023471392161522935,50,0.37625,0.3275
DS-R1-7B,GSM8K,0.04375,0.1808184517686179,0.02557159068184848,50,0.97125,0.9275
DS-R1-7B,MATH500,0.03625,0.22047179524828112,0.031179420296086325,50,0.82625,0.79
DS-R1-7B,SVAMP,0.0325,0.1532155344604456,0.02166794868002045,50,0.9475,0.915
Gemma-7B,AQuA,-0.125,0.2537222891273055,0.035881750236018306,50,0.1175,0.2425
Gemma-7B,CSQA,-0.08,0.16632047378479897,0.023521266972678152,50,0.015,0.095
Gemma-7B,GPQA,-0.0775,0.2632608022475051,0.0372306996979643,50,0.035,0.1125
Gemma-7B,GSM8K,-0.02375,0.43622850949932196,0.06169202744277416,50,0.48125,0.505
Gemma-7B,MATH500,-0.03375,0.23822586446479735,0.03369022484341712,50,0.16,0.19375
Gemma-7B,SVAMP,-0.18,0.5399131874662815,0.07635525522189025,50,0.2425,0.4225
LLaMA-3.1-8B,AQuA,-0.04125,0.3249062364744635,0.04594868061217862,50,0.30375,0.345
LLaMA-3.1-8B,CSQA,-0.01875,0.3057393702158752,0.04323807639106994,50,0.37875,0.3975
LLaMA-3.1-8B,GPQA,-0.1025,0.24198398707352517,0.0342217036396495,50,0.175,0.2775
LLaMA-3.1-8B,GSM8K,-0.1375,0.36422005710833666,0.05150849444509129,50,0.67875,0.81625
LLaMA-3.1-8B,MATH500,-0.0225,0.41566212240231853,0.05878350108661443,50,0.38875,0.41125
LLaMA-3.1-8B,SVAMP,-0.13375,0.3722839138345894,0.0526488959998213,50,0.62125,0.755
Phi-4,AQuA,-0.08625,0.26007510934343564,0.03678017468691523,50,0.81625,0.9025
Phi-4,CSQA,0.1575,0.5368076936855507,0.07591607207963279,50,0.635,0.4775
Phi-4,GPQA,0.175,0.4391042017562574,0.06209871174187111,50,0.38375,0.20875
Phi-4,GSM8K,-0.0225,0.4067324058886875,0.05752064846644203,50,0.8725,0.895
Phi-4,MATH500,-0.065,0.32112108308237874,0.045413379085903746,50,0.7825,0.8475
Phi-4,SVAMP,-0.0125,0.33213325638966057,0.04697073557013984,50,0.89875,0.91125
Phi-4-Reas.,AQuA,-0.1325,0.3139068333120513,0.044393130099149344,50,0.70875,0.84125
Phi-4-Reas.,CSQA,-0.25,0.3629307785239494,0.051326162919119525,50,0.175,0.425
Phi-4-Reas.,GPQA,-0.06875,0.3566883268345069,0.050443346934952685,50,0.28,0.34875
Phi-4-Reas.,GSM8K,-0.12875,0.2959122547310266,0.04184831239130199,50,0.745,0.87375
Phi-4-Reas.,MATH500,-0.05375,0.29474830364227717,0.04168370484973715,50,0.7975,0.85125
Phi-4-Reas.,SVAMP,-0.12625,0.3260775406249256,0.04611432803370336,50,0.71375,0.84
Qwen2.5-7B,AQuA,-0.04875,0.24440297154494664,0.03456379970431492,50,0.54,0.58875
Qwen2.5-7B,CSQA,-0.24875,0.3123724739793825,0.044176138921367944,50,0.49,0.73875
Qwen2.5-7B,GPQA,-0.085,0.19395553614166317,0.027429454970888504,50,0.175,0.26
Qwen2.5-7B,GSM8K,-0.2125,0.2811805469800498,0.03976493430146716,50,0.52625,0.73875
Qwen2.5-7B,MATH500,-0.0475,0.24029929254993654,0.03398345185527803,50,0.52875,0.57625
Qwen2.5-7B,SVAMP,-0.22625,0.2561402203871934,0.03622369735408024,50,0.5125,0.73875
Qwen2.5-Math,AQuA,-0.0725,0.4270831300812524,0.060398675482165994,50,0.67625,0.74875
Qwen2.5-Math,CSQA,-0.1,0.3486581420245338,0.049307707308290046,50,0.415,0.515
Qwen2.5-Math,GPQA,0.02625,0.2211793672565323,0.03127948608912876,50,0.28625,0.26
Qwen2.5-Math,GSM8K,-0.0875,0.35553656633319736,0.050280463402796925,50,0.84375,0.93125
Qwen2.5-Math,MATH500,-0.0325,0.37442455848942385,0.052951628870130135,50,0.65875,0.69125
Qwen2.5-Math,SVAMP,-0.07125,0.47631561227824565,0.06736119988539396,50,0.74875,0.82
Qwen3-4B,AQuA,0.0925,0.21803096110415146,0.030834234221073176,50,0.76,0.6675
Qwen3-4B,CSQA,-0.02875,0.2392076765072559,0.03382907403403173,50,0.4725,0.50125
Qwen3-4B,GPQA,0.0325,0.1506444489518283,0.021304342280389695,50,0.335,0.3025
Qwen3-4B,GSM8K,0.11375,0.2749119177118373,0.03887841624860766,50,0.72375,0.61
Qwen3-4B,MATH500,0.02375,0.2321401785559751,0.03282957888855719,50,0.775,0.75125
Qwen3-4B,SVAMP,0.00875,0.2880456778012821,0.040735810412952385,50,0.68375,0.675
