comparison,n_questions,mean_top_conf_rs_pct,mean_random_rs_pct,mean_paired_diff_pp,bootstrap_ci95_lo,bootstrap_ci95_hi,pct_top_gt_other,pct_equal,pct_top_lt_other,model,benchmark,n_questions_total,n_paired_top_random
top_conf_vs_random,9,73.61111111111111,57.638888888888886,15.972222222222221,-0.7118055555555546,34.72222222222222,0.3333333333333333,0.5555555555555556,0.1111111111111111,DS-R1-1.5B,AQuA,254,9
top_conf_vs_random,4,68.75,68.75,0.0,-18.75,18.75,0.25,0.5,0.25,DS-R1-1.5B,CSQA,1221,4
top_conf_vs_random,7,62.5,50.892857142857146,11.607142857142858,-12.5,35.714285714285715,0.42857142857142855,0.14285714285714285,0.42857142857142855,DS-R1-1.5B,GPQA,448,7
top_conf_vs_random,2,100.0,93.75,6.25,0.0,12.5,0.5,0.5,0.0,DS-R1-1.5B,GSM8K,1319,2
top_conf_vs_random,8,78.90625,60.9375,17.96875,0.0,36.71875,0.625,0.125,0.25,DS-R1-1.5B,MATH500,500,8
top_conf_vs_random,3,77.08333333333333,66.66666666666667,10.416666666666666,0.0,31.25,0.3333333333333333,0.6666666666666666,0.0,DS-R1-1.5B,SVAMP,1000,3
top_conf_vs_random,15,81.66666666666667,72.08333333333333,9.583333333333334,2.0833333333333335,18.333333333333332,0.3333333333333333,0.6,0.06666666666666667,DS-R1-7B,AQuA,254,15
top_conf_vs_random,4,67.1875,84.375,-17.1875,-25.0,-6.25,0.0,0.25,0.75,DS-R1-7B,CSQA,1221,4
top_conf_vs_random,10,56.25,53.125,3.125,-10.625,16.875,0.5,0.1,0.4,DS-R1-7B,GPQA,448,10
top_conf_vs_random,5,95.0,100.0,-5.0,-15.0,0.0,0.0,0.8,0.2,DS-R1-7B,GSM8K,1319,5
top_conf_vs_random,9,78.47222222222223,71.52777777777777,6.944444444444445,-2.0833333333333335,18.055555555555557,0.3333333333333333,0.5555555555555556,0.1111111111111111,DS-R1-7B,MATH500,500,9
top_conf_vs_random,6,98.95833333333333,100.0,-1.0416666666666667,-3.125,0.0,0.0,0.8333333333333334,0.16666666666666666,DS-R1-7B,SVAMP,1000,6
top_conf_vs_random,8,5.46875,43.75,-38.28125,-60.15625,-18.75,0.0,0.125,0.875,Gemma-7B,AQuA,254,8
top_conf_vs_random,4,20.3125,15.625,4.6875,-23.4375,37.5,0.25,0.5,0.25,Gemma-7B,CSQA,1221,4
top_conf_vs_random,7,27.678571428571427,43.75,-16.071428571428573,-33.035714285714285,-4.464285714285714,0.0,0.2857142857142857,0.7142857142857143,Gemma-7B,GPQA,448,7
top_conf_vs_random,1,0.0,31.25,-31.25,-31.25,-31.25,0.0,0.0,1.0,Gemma-7B,GSM8K,1319,1
top_conf_vs_random,5,27.5,30.0,-2.5,-17.5,11.25,0.4,0.2,0.4,Gemma-7B,MATH500,500,5
top_conf_vs_random,4,31.25,46.875,-15.625,-76.5625,45.3125,0.25,0.0,0.75,Gemma-7B,SVAMP,1000,4
top_conf_vs_random,7,41.964285714285715,51.785714285714285,-9.821428571428571,-25.892857142857142,7.142857142857143,0.42857142857142855,0.0,0.5714285714285714,LLaMA-3.1-8B,AQuA,254,7
top_conf_vs_random,3,75.0,81.25,-6.25,-31.25,12.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,LLaMA-3.1-8B,CSQA,1221,3
top_conf_vs_random,3,62.5,43.75,18.75,-6.25,31.25,0.6666666666666666,0.0,0.3333333333333333,LLaMA-3.1-8B,GPQA,448,3
top_conf_vs_random,4,90.625,71.875,18.75,-18.75,56.25,0.5,0.25,0.25,LLaMA-3.1-8B,GSM8K,1319,4
top_conf_vs_random,11,72.72727272727273,53.97727272727273,18.75,3.409090909090909,34.673295454545375,0.5454545454545454,0.2727272727272727,0.18181818181818182,LLaMA-3.1-8B,MATH500,500,11
top_conf_vs_random,4,76.5625,81.25,-4.6875,-14.0625,0.0,0.0,0.75,0.25,LLaMA-3.1-8B,SVAMP,1000,4
top_conf_vs_random,12,80.72916666666667,88.02083333333333,-7.291666666666667,-18.75,4.166666666666667,0.16666666666666666,0.4166666666666667,0.4166666666666667,Phi-4,AQuA,254,12
top_conf_vs_random,4,67.1875,15.625,51.5625,28.125,82.8125,1.0,0.0,0.0,Phi-4,CSQA,1221,4
top_conf_vs_random,6,64.58333333333333,50.0,14.583333333333334,-2.0833333333333335,36.458333333333336,0.6666666666666666,0.16666666666666666,0.16666666666666666,Phi-4,GPQA,448,6
top_conf_vs_random,5,71.25,92.5,-21.25,-42.5,-2.5,0.0,0.4,0.6,Phi-4,GSM8K,1319,5
