model,dataset,n_traces,median_conf,acc_high_conf_half,acc_low_conf_half,gap_pp,mean_conf_correct,mean_conf_incorrect,mean_conf_gap
DS-R1-1.5B,AQuA,4064,0.15136369461414126,54.92,30.91,24.02,0.1869,0.1506,0.0363
DS-R1-1.5B,CommonsenseQA,19536,0.07519649901484818,41.74,39.74,2.0,0.0882,0.0882,0.0
DS-R1-1.5B,GPQA,7168,0.1536293702017516,33.71,36.66,-2.96,0.1818,0.1876,-0.0058
DS-R1-1.5B,GSM8K,21104,0.15950986276785484,86.24,60.42,25.82,0.2055,0.1508,0.0547
DS-R1-1.5B,MATH500,8000,0.17469058085642503,65.03,42.78,22.25,0.2058,0.1731,0.0327
DS-R1-1.5B,SVAMP,16000,0.1500522147522172,89.28,73.91,15.36,0.1855,0.1495,0.0361
DS-R1-7B,AQuA,4064,0.20745826027022352,85.88,56.5,29.38,0.2363,0.1847,0.0516
DS-R1-7B,CommonsenseQA,19536,0.12063246157583596,54.98,43.8,11.18,0.1326,0.1247,0.0079
DS-R1-7B,GPQA,7168,0.16686923346581012,43.64,57.84,-14.2,0.1805,0.2033,-0.0228
DS-R1-7B,GSM8K,21104,0.29494364813507534,94.85,85.7,9.15,0.3002,0.2391,0.0612
DS-R1-7B,MATH500,8000,0.2574516631034125,72.52,48.3,24.22,0.2877,0.2398,0.0479
DS-R1-7B,SVAMP,16000,0.2514267818505874,95.75,88.06,7.69,0.2591,0.2115,0.0476
Gemma-7B,AQuA,4064,0.09105579704833827,27.31,28.44,-1.13,0.1233,0.1594,-0.0361
Gemma-7B,CommonsenseQA,19536,0.122193769844718,16.71,19.96,-3.26,0.2768,0.2812,-0.0044
Gemma-7B,GPQA,7168,0.03512645194200799,15.26,26.09,-10.83,0.0632,0.1019,-0.0387
Gemma-7B,GSM8K,21104,0.09701706111292535,36.59,28.7,7.89,0.1227,0.1341,-0.0114
Gemma-7B,MATH500,8000,0.12886561357471438,12.2,14.48,-2.28,0.1475,0.1952,-0.0476
Gemma-7B,SVAMP,16000,0.08025295404576496,40.21,41.66,-1.45,0.0979,0.1367,-0.0388
LLaMA-3.1-8B,AQuA,4064,0.22760699704213827,40.9,47.79,-6.89,0.3112,0.3027,0.0085
LLaMA-3.1-8B,CommonsenseQA,19536,0.3770341298957862,67.07,62.97,4.1,0.3974,0.3773,0.0201
LLaMA-3.1-8B,GPQA,7168,0.2017090013072485,38.62,32.37,6.25,0.2433,0.2275,0.0158
LLaMA-3.1-8B,GSM8K,21104,0.20771253234960382,78.03,72.63,5.4,0.3087,0.2813,0.0274
LLaMA-3.1-8B,MATH500,8000,0.23253424551231155,35.72,34.08,1.65,0.3315,0.2898,0.0417
LLaMA-3.1-8B,SVAMP,16000,0.1841347189938818,81.66,79.99,1.68,0.2758,0.2645,0.0113
Phi-4,AQuA,4064,0.20902137281551814,52.85,55.07,-2.21,0.2418,0.2469,-0.005
Phi-4,CommonsenseQA,19536,0.15580141561800495,54.95,43.95,11.0,0.1821,0.1449,0.0372
Phi-4,GPQA,7168,0.1881477144630142,19.78,32.39,-12.61,0.201,0.2413,-0.0403
Phi-4,GSM8K,21104,0.19349365044894976,61.44,69.56,-8.12,0.2259,0.2437,-0.0178
Phi-4,MATH500,8000,0.30897872823463807,55.78,54.82,0.95,0.3441,0.3406,0.0036
Phi-4,SVAMP,16000,0.1981395670128394,54.86,59.23,-4.36,0.2257,0.2456,-0.0199
Phi-4-Reas.,AQuA,4064,0.15507452000435984,67.37,49.51,17.86,0.181,0.1512,0.0298
Phi-4-Reas.,CommonsenseQA,19536,0.06616913636603919,78.71,69.64,9.07,0.1126,0.1401,-0.0275
Phi-4-Reas.,GPQA,7168,0.09218625288080014,54.27,40.35,13.92,0.123,0.1121,0.0108
Phi-4-Reas.,GSM8K,21104,0.16882529605889002,97.15,92.58,4.57,0.1836,0.154,0.0296
Phi-4-Reas.,MATH500,8000,0.19345731296862426,90.85,78.57,12.28,0.2107,0.182,0.0287
Phi-4-Reas.,SVAMP,16000,0.14363464526977365,96.31,92.19,4.12,0.1627,0.1461,0.0167
Qwen2.5-7B,AQuA,4064,0.6296211442290341,66.58,58.56,8.02,0.5991,0.5793,0.0198
Qwen2.5-7B,CommonsenseQA,19536,0.17016954201049794,85.1,77.11,8.0,0.1861,0.1779,0.0082
Qwen2.5-7B,GPQA,7168,0.3527935434213999,35.27,32.31,2.96,0.3606,0.3504,0.0102
Qwen2.5-7B,GSM8K,21104,0.4497924173804084,64.6,90.49,-25.89,0.4907,0.6703,-0.1796
Qwen2.5-7B,MATH500,8000,0.6716762342922826,46.18,56.45,-10.28,0.5995,0.6569,-0.0574
Qwen2.5-7B,SVAMP,16000,0.3915613433671188,66.95,93.81,-26.86,0.4545,0.6844,-0.23
Qwen2.5-Math,AQuA,4064,0.2967289280619939,51.92,56.5,-4.58,0.3111,0.3207,-0.0096
Qwen2.5-Math,CommonsenseQA,19536,0.09432096127273595,50.51,44.04,6.47,0.1207,0.113,0.0077
Qwen2.5-Math,GPQA,7168,0.12739818889527604,33.62,26.37,7.25,0.1697,0.1508,0.019
Qwen2.5-Math,GSM8K,21104,0.33002843977158214,67.87,74.46,-6.59,0.3303,0.3546,-0.0243
Qwen2.5-Math,MATH500,8000,0.4121904772097543,65.3,56.85,8.45,0.4212,0.404,0.0172
Qwen2.5-Math,SVAMP,16000,0.2969376840400163,70.44,81.14,-10.7,0.2945,0.36,-0.0655
Qwen3-4B,AQuA,4064,0.26738474407167717,51.57,47.24,4.33,0.2774,0.2742,0.0032
Qwen3-4B,CommonsenseQA,19536,0.21473062789398129,70.77,65.26,5.51,0.2185,0.209,0.0095
Qwen3-4B,GPQA,7168,0.21360030692765083,56.72,59.85,-3.12,0.2308,0.2296,0.0011
Qwen3-4B,GSM8K,21104,0.24531088597946893,83.41,63.95,19.46,0.2677,0.2359,0.0318
Qwen3-4B,MATH500,8000,0.35109430106511796,39.02,50.18,-11.15,0.3427,0.363,-0.0203
Qwen3-4B,SVAMP,16000,0.23482934809432957,83.93,68.54,15.39,0.2558,0.2315,0.0242
