model,benchmark,resample_id,num_new_entrants,num_displaced,median_k16_percentile_of_new_entrants,p95_k16_percentile_of_new_entrants
DS-R1-1.5B,AQuA,0,0,203,,
DS-R1-1.5B,AQuA,1,23,226,10.457677165354331,10.873523622047244
DS-R1-1.5B,AQuA,2,0,203,,
DS-R1-1.5B,AQuA,3,3,206,10.137795275590552,10.15994094488189
DS-R1-1.5B,AQuA,4,2,205,10.051673228346456,10.062746062992126
DS-R1-1.5B,AQuA,5,5,208,10.088582677165354,10.17716535433071
DS-R1-1.5B,AQuA,6,6,209,10.100885826771652,10.242372047244094
DS-R1-1.5B,AQuA,7,0,203,,
DS-R1-1.5B,AQuA,8,8,211,10.273129921259843,10.350639763779528
DS-R1-1.5B,AQuA,9,3,206,10.088582677165354,10.132874015748031
DS-R1-1.5B,CommonsenseQA,0,0,977,,
DS-R1-1.5B,CommonsenseQA,1,0,977,,
DS-R1-1.5B,CommonsenseQA,2,14,991,10.112100737100736,10.193233005733006
DS-R1-1.5B,CommonsenseQA,3,4,981,10.030200655200655,10.055282555282556
DS-R1-1.5B,CommonsenseQA,4,0,977,,
DS-R1-1.5B,CommonsenseQA,5,0,977,,
DS-R1-1.5B,CommonsenseQA,6,0,977,,
DS-R1-1.5B,CommonsenseQA,7,25,1002,10.1504914004914,10.281531531531533
DS-R1-1.5B,CommonsenseQA,8,0,977,,
DS-R1-1.5B,CommonsenseQA,9,4,981,10.01484438984439,10.02175470925471
DS-R1-1.5B,GPQA,0,0,358,,
DS-R1-1.5B,GPQA,1,0,358,,
DS-R1-1.5B,GPQA,2,0,358,,
DS-R1-1.5B,GPQA,3,4,362,10.051618303571427,10.096261160714286
DS-R1-1.5B,GPQA,4,0,358,,
DS-R1-1.5B,GPQA,5,0,358,,
DS-R1-1.5B,GPQA,6,0,358,,
DS-R1-1.5B,GPQA,7,20,378,10.295758928571429,10.519670758928571
DS-R1-1.5B,GPQA,8,0,358,,
DS-R1-1.5B,GPQA,9,20,378,10.226004464285715,10.422014508928571
DS-R1-1.5B,GSM8K,0,0,1055,,
DS-R1-1.5B,GSM8K,1,6,1061,10.038381349507203,10.066811978771797
DS-R1-1.5B,GSM8K,2,0,1055,,
DS-R1-1.5B,GSM8K,3,20,1075,10.083396512509477,10.146891584533737
DS-R1-1.5B,GSM8K,4,54,1109,10.32505686125853,10.492560652009098
DS-R1-1.5B,GSM8K,5,0,1055,,
DS-R1-1.5B,GSM8K,6,25,1080,10.121304018195604,10.218915845337378
DS-R1-1.5B,GSM8K,7,9,1064,10.040750568612586,10.062547384382109
DS-R1-1.5B,GSM8K,8,0,1055,,
DS-R1-1.5B,GSM8K,9,0,1055,,
DS-R1-1.5B,MATH500,0,0,400,,
DS-R1-1.5B,MATH500,1,0,400,,
DS-R1-1.5B,MATH500,2,18,418,10.20625,10.380625
DS-R1-1.5B,MATH500,3,14,414,10.24375,10.338125
DS-R1-1.5B,MATH500,4,0,400,,
DS-R1-1.5B,MATH500,5,1,401,10.0375,10.0375
