model,benchmark,num_new_entrants,num_displaced,median_k16_pct_new,p95_k16_pct_new
DS-R1-1.5B,AQuA,5.0,208.0,10.17118953880765,10.285608830146233
DS-R1-1.5B,CommonsenseQA,4.7,981.7,10.076909295659295,10.13795045045045
DS-R1-1.5B,GPQA,4.4,362.4,10.191127232142856,10.345982142857144
DS-R1-1.5B,GSM8K,11.4,1066.4,10.12177786201668,10.197545489006824
DS-R1-1.5B,MATH500,5.8,405.8,10.152083333333334,10.243125000000001
DS-R1-1.5B,SVAMP,12.4,812.4,10.118303571428571,10.206473214285714
DS-R1-7B,AQuA,4.4,207.4,10.282357283464567,10.473056102362204
DS-R1-7B,CommonsenseQA,9.3,986.3,10.081022581022582,10.140144202644203
DS-R1-7B,GPQA,3.8,361.8,10.098121279761905,10.163457961309524
DS-R1-7B,GSM8K,8.8,1063.8,10.092873388931007,10.178402198635329
DS-R1-7B,MATH500,4.0,404.0,10.10875,10.190999999999999
DS-R1-7B,SVAMP,2.9,802.9,10.095833333333333,10.123125
Gemma-7B,AQuA,2.3,205.3,10.15009842519685,10.216781496062993
Gemma-7B,CommonsenseQA,7.0,984.0,10.14025389025389,10.248686186186186
Gemma-7B,GPQA,9.6,367.6,10.226004464285714,10.395740327380953
Gemma-7B,GSM8K,8.6,1063.6,10.070760677280768,10.121146070255245
Gemma-7B,MATH500,6.9,406.9,10.134375,10.260416666666666
Gemma-7B,SVAMP,4.6,804.6,10.0625,10.116375
LLaMA-3.1-8B,AQuA,3.1,206.1,10.293635170603674,10.521653543307087
LLaMA-3.1-8B,CommonsenseQA,3.0,980.0,10.048116298116298,10.075885544635545
LLaMA-3.1-8B,GPQA,5.3,363.3,10.192522321428571,10.308733258928571
LLaMA-3.1-8B,GSM8K,19.1,1074.1,10.100244292814422,10.192801785864711
LLaMA-3.1-8B,MATH500,7.1,407.1,10.138392857142858,10.24419642857143
LLaMA-3.1-8B,SVAMP,6.8,806.8,10.070833333333333,10.1271875
Phi-4,AQuA,2.1,205.1,10.15009842519685,10.238681102362204
Phi-4,CommonsenseQA,3.3,980.3,10.076269451269452,10.120205432705433
Phi-4,GPQA,2.8,360.8,10.135323660714286,10.199846540178571
Phi-4,GSM8K,4.4,1059.4,10.075499115491533,10.14412749557746
Phi-4,MATH500,5.0,405.0,10.096874999999999,10.181041666666667
Phi-4,SVAMP,9.5,809.5,10.14375,10.2925
Phi-4-Reas.,AQuA,7.6,210.6,10.264341957255342,10.45064679415073
Phi-4-Reas.,CommonsenseQA,9.6,986.6,10.116195741195742,10.18877968877969
Phi-4-Reas.,GPQA,5.0,363.0,10.181826636904761,10.39457775297619
Phi-4-Reas.,GSM8K,13.9,1068.9,10.115380970432147,10.20754359363154
Phi-4-Reas.,MATH500,4.6,404.6,10.1125,10.256406250000001
Phi-4-Reas.,SVAMP,9.9,809.9,10.111979166666666,10.208697916666667
Qwen2.5-7B,AQuA,6.0,209.0,10.234462879640045,10.397919010123735
Qwen2.5-7B,CommonsenseQA,3.3,980.3,10.10826167076167,10.184019246519247
Qwen2.5-7B,GPQA,4.9,362.9,10.133928571428573,10.218470982142858
Qwen2.5-7B,GSM8K,11.0,1066.0,10.106614859742228,10.188352918877937
Qwen2.5-7B,MATH500,7.3,407.3,10.20625,10.3665
Qwen2.5-7B,SVAMP,13.8,813.8,10.145535714285714,10.244241071428572
Qwen2.5-Math,AQuA,5.9,208.9,10.231606791338583,10.339566929133857
Qwen2.5-Math,CommonsenseQA,8.4,985.4,10.087530712530713,10.163237100737101
Qwen2.5-Math,GPQA,2.5,360.5,10.142299107142856,10.25390625
Qwen2.5-Math,GSM8K,4.8,1059.8,10.076288855193328,10.143258781905486
Qwen2.5-Math,MATH500,5.2,405.2,10.0875,10.143482142857142
Qwen2.5-Math,SVAMP,7.0,807.0,10.12734375,10.257890625
Qwen3-4B,AQuA,2.1,205.1,10.115239501312336,10.156865157480315
Qwen3-4B,CommonsenseQA,9.7,986.7,10.103910728910728,10.179002866502866
Qwen3-4B,GPQA,6.6,364.6,10.145288584183675,10.275430484693876
Qwen3-4B,GSM8K,10.4,1065.4,10.093268258781906,10.17559862269396
Qwen3-4B,MATH500,4.6,404.6,10.095833333333333,10.165000000000001
Qwen3-4B,SVAMP,16.2,816.2,10.128515625,10.229921875
