model,benchmark,resample_id,num_new_entrants,num_displaced,median_k16_percentile_of_new_entrants,p95_k16_percentile_of_new_entrants
DS-R1-1.5B,AQuA,0,6,311,10.359251968503937,10.672982283464567
DS-R1-1.5B,AQuA,1,0,305,,
DS-R1-1.5B,AQuA,2,5,310,10.359251968503937,10.561023622047243
DS-R1-1.5B,AQuA,3,13,318,10.875984251968504,11.373031496062993
DS-R1-1.5B,AQuA,4,0,305,,
DS-R1-1.5B,AQuA,5,0,305,,
DS-R1-1.5B,AQuA,6,0,305,,
DS-R1-1.5B,AQuA,7,2,307,10.088582677165354,10.110728346456693
DS-R1-1.5B,AQuA,8,0,305,,
DS-R1-1.5B,AQuA,9,2,307,10.137795275590552,10.15994094488189
DS-R1-1.5B,CommonsenseQA,0,34,1499,10.19400081900082,10.43560606060606
DS-R1-1.5B,CommonsenseQA,1,5,1470,10.027641277641278,10.051187551187551
DS-R1-1.5B,CommonsenseQA,2,3,1468,10.073710073710073,10.078316953316953
DS-R1-1.5B,CommonsenseQA,3,0,1465,,
DS-R1-1.5B,CommonsenseQA,4,0,1465,,
DS-R1-1.5B,CommonsenseQA,5,0,1465,,
DS-R1-1.5B,CommonsenseQA,6,0,1465,,
DS-R1-1.5B,CommonsenseQA,7,22,1487,10.25542588042588,10.426136363636363
DS-R1-1.5B,CommonsenseQA,8,0,1465,,
DS-R1-1.5B,CommonsenseQA,9,3,1468,10.027641277641278,10.115171990171989
DS-R1-1.5B,GPQA,0,12,549,10.505022321428573,10.793108258928571
DS-R1-1.5B,GPQA,1,0,537,,
DS-R1-1.5B,GPQA,2,8,545,10.191127232142858,10.3125
DS-R1-1.5B,GPQA,3,2,539,10.121372767857142,10.140206473214286
DS-R1-1.5B,GPQA,4,0,537,,
DS-R1-1.5B,GPQA,5,11,548,10.323660714285714,10.7421875
DS-R1-1.5B,GPQA,6,0,537,,
DS-R1-1.5B,GPQA,7,11,548,10.25390625,10.539899553571429
DS-R1-1.5B,GPQA,8,0,537,,
DS-R1-1.5B,GPQA,9,0,537,,
DS-R1-1.5B,GSM8K,0,0,1583,,
DS-R1-1.5B,GSM8K,1,0,1583,,
DS-R1-1.5B,GSM8K,2,0,1583,,
DS-R1-1.5B,GSM8K,3,19,1602,10.20185746777862,10.280989385898408
DS-R1-1.5B,GSM8K,4,0,1583,,
DS-R1-1.5B,GSM8K,5,0,1583,,
DS-R1-1.5B,GSM8K,6,0,1583,,
DS-R1-1.5B,GSM8K,7,18,1601,10.194749810462472,10.350170583775588
DS-R1-1.5B,GSM8K,8,0,1583,,
DS-R1-1.5B,GSM8K,9,1,1584,10.012319939347991,10.012319939347991
DS-R1-1.5B,MATH500,0,0,600,,
DS-R1-1.5B,MATH500,1,0,600,,
DS-R1-1.5B,MATH500,2,4,604,10.14375,10.205
DS-R1-1.5B,MATH500,3,0,600,,
DS-R1-1.5B,MATH500,4,0,600,,
DS-R1-1.5B,MATH500,5,0,600,,
DS-R1-1.5B,MATH500,6,4,604,10.18125,10.223125
DS-R1-1.5B,MATH500,7,0,600,,
DS-R1-1.5B,MATH500,8,0,600,,
DS-R1-1.5B,MATH500,9,0,600,,
DS-R1-1.5B,SVAMP,0,22,1222,10.321875,10.543125
DS-R1-1.5B,SVAMP,1,36,1236,10.4375,10.7796875
DS-R1-1.5B,SVAMP,2,6,1206,10.065625,10.18125
DS-R1-1.5B,SVAMP,3,0,1200,,
DS-R1-1.5B,SVAMP,4,27,1227,10.4125,10.64125
DS-R1-1.5B,SVAMP,5,0,1200,,
DS-R1-1.5B,SVAMP,6,20,1220,10.2625,10.385
DS-R1-1.5B,SVAMP,7,0,1200,,
DS-R1-1.5B,SVAMP,8,7,1207,10.10625,10.14
DS-R1-1.5B,SVAMP,9,26,1226,10.40625,10.578125
DS-R1-7B,AQuA,0,1,306,10.039370078740157,10.039370078740157
DS-R1-7B,AQuA,1,0,305,,
DS-R1-7B,AQuA,2,0,305,,
DS-R1-7B,AQuA,3,0,305,,
DS-R1-7B,AQuA,4,7,312,10.383858267716535,10.666830708661417
DS-R1-7B,AQuA,5,14,319,10.61761811023622,11.352116141732283
DS-R1-7B,AQuA,6,14,319,10.703740157480315,11.016240157480315
DS-R1-7B,AQuA,7,0,305,,
DS-R1-7B,AQuA,8,8,313,10.248523622047244,10.407234251968504
DS-R1-7B,AQuA,9,0,305,,
DS-R1-7B,CommonsenseQA,0,0,1465,,
DS-R1-7B,CommonsenseQA,1,4,1469,10.060913185913186,10.07294226044226
DS-R1-7B,CommonsenseQA,2,7,1472,10.089066339066338,10.208845208845208
DS-R1-7B,CommonsenseQA,3,0,1465,,
DS-R1-7B,CommonsenseQA,4,0,1465,,
DS-R1-7B,CommonsenseQA,5,0,1465,,
DS-R1-7B,CommonsenseQA,6,18,1483,10.281019656019655,10.381603194103194
DS-R1-7B,CommonsenseQA,7,0,1465,,
DS-R1-7B,CommonsenseQA,8,1,1466,10.048116298116298,10.048116298116298
DS-R1-7B,CommonsenseQA,9,0,1465,,
DS-R1-7B,GPQA,0,8,545,10.128348214285715,10.206473214285714
DS-R1-7B,GPQA,1,12,549,10.3515625,10.714983258928571
DS-R1-7B,GPQA,2,8,545,10.163225446428571,10.428292410714286
DS-R1-7B,GPQA,3,12,549,10.323660714285715,10.589425223214286
DS-R1-7B,GPQA,4,4,541,10.037667410714285,10.080217633928573
DS-R1-7B,GPQA,5,0,537,,
DS-R1-7B,GPQA,6,0,537,,
DS-R1-7B,GPQA,7,3,540,10.142299107142858,10.179966517857144
DS-R1-7B,GPQA,8,0,537,,
DS-R1-7B,GPQA,9,0,537,,
DS-R1-7B,GSM8K,0,7,1590,10.097611827141774,10.150208491281274
DS-R1-7B,GSM8K,1,0,1583,,
DS-R1-7B,GSM8K,2,0,1583,,
DS-R1-7B,GSM8K,3,8,1591,10.064442759666413,10.132202426080365
DS-R1-7B,GSM8K,4,0,1583,,
DS-R1-7B,GSM8K,5,0,1583,,
DS-R1-7B,GSM8K,6,0,1583,,
DS-R1-7B,GSM8K,7,22,1605,10.249241849886278,10.39423805913571
DS-R1-7B,GSM8K,8,0,1583,,
DS-R1-7B,GSM8K,9,0,1583,,
DS-R1-7B,MATH500,0,19,619,10.575,11.00625
DS-R1-7B,MATH500,1,5,605,10.1375,10.215
DS-R1-7B,MATH500,2,13,613,10.35,10.6125
DS-R1-7B,MATH500,3,0,600,,
DS-R1-7B,MATH500,4,5,605,10.2125,10.285
DS-R1-7B,MATH500,5,0,600,,
DS-R1-7B,MATH500,6,0,600,,
DS-R1-7B,MATH500,7,8,608,10.243749999999999,10.345625
DS-R1-7B,MATH500,8,0,600,,
DS-R1-7B,MATH500,9,9,609,10.1875,10.2525
DS-R1-7B,SVAMP,0,0,1200,,
DS-R1-7B,SVAMP,1,0,1200,,
DS-R1-7B,SVAMP,2,0,1200,,
DS-R1-7B,SVAMP,3,4,1204,10.068750000000001,10.0928125
DS-R1-7B,SVAMP,4,4,1204,10.040624999999999,10.054375
DS-R1-7B,SVAMP,5,0,1200,,
DS-R1-7B,SVAMP,6,0,1200,,
DS-R1-7B,SVAMP,7,0,1200,,
DS-R1-7B,SVAMP,8,0,1200,,
DS-R1-7B,SVAMP,9,0,1200,,
Gemma-7B,AQuA,0,5,310,10.187007874015748,10.250984251968504
Gemma-7B,AQuA,1,6,311,10.396161417322835,10.599163385826772
Gemma-7B,AQuA,2,2,307,10.162401574803148,10.206692913385826
Gemma-7B,AQuA,3,0,305,,
Gemma-7B,AQuA,4,0,305,,
Gemma-7B,AQuA,5,2,307,10.100885826771654,10.15625
Gemma-7B,AQuA,6,2,307,10.063976377952756,10.086122047244094
Gemma-7B,AQuA,7,9,314,10.433070866141732,10.748031496062993
Gemma-7B,AQuA,8,0,305,,
Gemma-7B,AQuA,9,3,308,10.260826771653543,10.30511811023622
Gemma-7B,CommonsenseQA,0,2,1467,10.009725634725635,10.012029074529075
Gemma-7B,CommonsenseQA,1,0,1465,,
Gemma-7B,CommonsenseQA,2,25,1490,10.2989352989353,10.384930384930385
Gemma-7B,CommonsenseQA,3,0,1465,,
Gemma-7B,CommonsenseQA,4,4,1469,10.019963144963146,10.040694103194104
Gemma-7B,CommonsenseQA,5,0,1465,,
Gemma-7B,CommonsenseQA,6,30,1495,10.222153972153972,10.48141891891892
Gemma-7B,CommonsenseQA,7,0,1465,,
Gemma-7B,CommonsenseQA,8,0,1465,,
Gemma-7B,CommonsenseQA,9,27,1492,10.324529074529075,10.589168714168714
Gemma-7B,GPQA,0,5,542,10.086495535714286,10.259486607142858
Gemma-7B,GPQA,1,0,537,,
Gemma-7B,GPQA,2,0,537,,
Gemma-7B,GPQA,3,0,537,,
Gemma-7B,GPQA,4,0,537,,
Gemma-7B,GPQA,5,0,537,,
Gemma-7B,GPQA,6,0,537,,
Gemma-7B,GPQA,7,1,538,10.030691964285714,10.030691964285714
Gemma-7B,GPQA,8,22,559,10.525948660714285,11.0986328125
Gemma-7B,GPQA,9,0,537,,
Gemma-7B,GSM8K,0,0,1583,,
Gemma-7B,GSM8K,1,13,1596,10.09287338893101,10.169636087945413
Gemma-7B,GSM8K,2,0,1583,,
Gemma-7B,GSM8K,3,3,1586,10.012319939347991,10.025113722517059
Gemma-7B,GSM8K,4,23,1606,10.163949962092495,10.399924184988627
Gemma-7B,GSM8K,5,0,1583,,
Gemma-7B,GSM8K,6,0,1583,,
Gemma-7B,GSM8K,7,0,1583,,
Gemma-7B,GSM8K,8,6,1589,10.06207354056103,10.140257771038666
Gemma-7B,GSM8K,9,0,1583,,
Gemma-7B,MATH500,0,6,606,10.181249999999999,10.321875
Gemma-7B,MATH500,1,0,600,,
Gemma-7B,MATH500,2,0,600,,
Gemma-7B,MATH500,3,0,600,,
Gemma-7B,MATH500,4,0,600,,
Gemma-7B,MATH500,5,0,600,,
Gemma-7B,MATH500,6,0,600,,
Gemma-7B,MATH500,7,0,600,,
Gemma-7B,MATH500,8,0,600,,
Gemma-7B,MATH500,9,0,600,,
Gemma-7B,SVAMP,0,0,1200,,
Gemma-7B,SVAMP,1,16,1216,10.20625,10.3046875
Gemma-7B,SVAMP,2,0,1200,,
Gemma-7B,SVAMP,3,1,1201,10.0125,10.0125
Gemma-7B,SVAMP,4,0,1200,,
Gemma-7B,SVAMP,5,1,1201,10.01875,10.01875
Gemma-7B,SVAMP,6,0,1200,,
Gemma-7B,SVAMP,7,11,1211,10.05625,10.128125
Gemma-7B,SVAMP,8,21,1221,10.35,10.5375
Gemma-7B,SVAMP,9,0,1200,,
LLaMA-3.1-8B,AQuA,0,0,305,,
LLaMA-3.1-8B,AQuA,1,1,306,10.039370078740157,10.039370078740157
LLaMA-3.1-8B,AQuA,2,7,312,10.187007874015748,10.381397637795274
LLaMA-3.1-8B,AQuA,3,0,305,,
LLaMA-3.1-8B,AQuA,4,0,305,,
