model,benchmark,resample_id,snr_k16,snr_k8,abs_snr_k16,regime_flip
DS-R1-1.5B,CommonsenseQA,1,0.00039351231637744637,-0.023784662051638213,0.00039351231637744637,True
DS-R1-1.5B,CommonsenseQA,6,0.00039351231637744637,-0.0007393281812950861,0.00039351231637744637,True
DS-R1-1.5B,CommonsenseQA,8,0.00039351231637744637,-0.04546242568228165,0.00039351231637744637,True
DS-R1-1.5B,CommonsenseQA,9,0.00039351231637744637,-0.02655947653868415,0.00039351231637744637,True
DS-R1-1.5B,GPQA,0,-0.053474427346895906,0.06836270556651396,0.053474427346895906,True
DS-R1-1.5B,GPQA,1,-0.053474427346895906,0.00042991751468629454,0.053474427346895906,True
DS-R1-1.5B,GPQA,7,-0.053474427346895906,0.010632578736551946,0.053474427346895906,True
Gemma-7B,CommonsenseQA,0,-0.01379210819360508,0.0073692356416742225,0.01379210819360508,True
LLaMA-3.1-8B,AQuA,0,0.03778036064244679,-0.055185764285259356,0.03778036064244679,True
LLaMA-3.1-8B,AQuA,5,0.03778036064244679,-0.05251396423606799,0.03778036064244679,True
LLaMA-3.1-8B,AQuA,6,0.03778036064244679,-0.017730527582923733,0.03778036064244679,True
LLaMA-3.1-8B,AQuA,7,0.03778036064244679,-0.003040554692954779,0.03778036064244679,True
Phi-4,AQuA,2,-0.03777089150649387,0.019974657906589866,0.03777089150649387,True
Phi-4,AQuA,5,-0.03777089150649387,0.018137407310868336,0.03777089150649387,True
Phi-4,MATH500,3,0.019148216284445258,-0.033223197549004005,0.019148216284445258,True
Phi-4,MATH500,4,0.019148216284445258,-0.001776796596629242,0.019148216284445258,True
Phi-4,MATH500,7,0.019148216284445258,-0.027352230367832842,0.019148216284445258,True
Qwen2.5-7B,GPQA,0,0.07588881352737642,-0.02172368585619342,0.07588881352737642,True
Qwen2.5-Math,AQuA,1,-0.06750825971685454,0.04191410684977087,0.06750825971685454,True
Qwen2.5-Math,AQuA,3,-0.06750825971685454,0.007593425123152748,0.06750825971685454,True
Qwen2.5-Math,AQuA,4,-0.06750825971685454,0.01142485146796316,0.06750825971685454,True
Qwen2.5-Math,AQuA,5,-0.06750825971685454,0.02161990567865324,0.06750825971685454,True
Qwen3-4B,AQuA,1,0.05587655257796665,-0.01803086672293147,0.05587655257796665,True
Qwen3-4B,AQuA,2,0.05587655257796665,-0.01529697068177559,0.05587655257796665,True
Qwen3-4B,AQuA,4,0.05587655257796665,-0.02574449750324031,0.05587655257796665,True
Qwen3-4B,GPQA,6,0.016700504665208175,-0.0486192408865059,0.016700504665208175,True
Qwen3-4B,GPQA,7,0.016700504665208175,-0.013374907788615064,0.016700504665208175,True
