benchmark,model_a,model_b,regime_a,regime_b,acc_gap_pp,acc_gap_raw,frs_gap,bon_gap,frs_gt_acc_pp,sign_frs,sign_acc,sign_bon,frs1,frs2,acc1,acc2,bon1,bon2
aqua,DS-R1-1.5B,DS-R1-7B,reliable,reliable,27.633917429030763,0.27633917429030763,5.015682234432219,15.367894595351572,False,-1.0,-1.0,-1.0,93.12110805860806,98.13679029304028,0.5584046964178919,0.8347438707081996,74.37006835922509,89.73796295457666
aqua,DS-R1-1.5B,Gemma-7B,reliable,inverted,20.277329806722292,0.20277329806722294,71.64903846153845,37.0403073675191,True,1.0,1.0,1.0,93.12110805860806,21.4720695970696,0.5584046964178919,0.355631398350669,74.37006835922509,37.32976099170599
aqua,DS-R1-1.5B,LLaMA-3.1-8B,reliable,reliable,15.203075335519184,0.15203075335519184,34.51533882783883,28.990833481326924,True,1.0,1.0,1.0,93.12110805860806,58.605769230769226,0.5584046964178919,0.4063739430627001,74.37006835922509,45.37923487789816
aqua,DS-R1-1.5B,Phi-4,reliable,flat,1.9849819544384584,0.019849819544384584,9.791781135531139,1.2279229802879286,True,1.0,1.0,-1.0,93.12110805860806,83.32932692307692,0.5584046964178919,0.5385548768735073,74.37006835922509,75.59799133951302
aqua,DS-R1-1.5B,Phi-4-Reas.,reliable,inverted,12.286397448356235,0.12286397448356234,18.81395687645687,11.731444387155705,True,1.0,-1.0,-1.0,93.12110805860806,74.30715118215119,0.5584046964178919,0.6812686709014543,74.37006835922509,86.10151274638079
aqua,DS-R1-1.5B,Qwen2.5-7B,reliable,flat,13.01742680481196,0.1301742680481196,10.776837745587741,5.352455358348777,False,1.0,-1.0,1.0,93.12110805860806,82.34427031302032,0.5584046964178919,0.6885789644660115,74.37006835922509,69.01761300087631
aqua,DS-R1-1.5B,Qwen2.5-Math,reliable,inverted,1.5864455525413823,0.015864455525413823,19.405448717948715,3.1699120476488076,True,1.0,1.0,-1.0,93.12110805860806,73.71565934065934,0.5584046964178919,0.5425402408924781,74.37006835922509,77.5399804068739
aqua,DS-R1-1.5B,Qwen3-4B,reliable,reliable,10.209207902067202,0.10209207902067202,10.563665501165502,1.3679359690419801,True,1.0,1.0,-1.0,93.12110805860806,82.55744255744256,0.5584046964178919,0.4563126173972199,74.37006835922509,75.73800432826707
aqua,DS-R1-7B,Gemma-7B,reliable,inverted,47.91124723575306,0.47911247235753057,76.66472069597069,52.40820196287067,True,1.0,1.0,1.0,98.13679029304028,21.4720695970696,0.8347438707081996,0.355631398350669,89.73796295457666,37.32976099170599
aqua,DS-R1-7B,LLaMA-3.1-8B,reliable,reliable,42.83699276454995,0.42836992764549947,39.53102106227105,44.358728076678496,False,1.0,1.0,1.0,98.13679029304028,58.605769230769226,0.8347438707081996,0.4063739430627001,89.73796295457666,45.37923487789816
aqua,DS-R1-7B,Phi-4,reliable,flat,29.61889938346922,0.2961889938346922,14.807463369963358,14.139971615063644,False,1.0,1.0,1.0,98.13679029304028,83.32932692307692,0.8347438707081996,0.5385548768735073,89.73796295457666,75.59799133951302
aqua,DS-R1-7B,Phi-4-Reas.,reliable,inverted,15.347519980674528,0.1534751998067453,23.82963911088909,3.6364502081958676,True,1.0,1.0,1.0,98.13679029304028,74.30715118215119,0.8347438707081996,0.6812686709014543,89.73796295457666,86.10151274638079
