benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,signed_pass1_gap,signed_frs_gap,abs_pass1_gap,abs_frs_gap
AQuA,DS-R1-1.5B,DS-R1-7B,11.0,69.3,90.1,96.8,-58.3,-6.700000000000003,58.3,6.700000000000003
AQuA,DS-R1-1.5B,Gemma-7B,11.0,3.5,90.1,22.2,7.5,67.89999999999999,7.5,67.89999999999999
AQuA,DS-R1-1.5B,LLaMA-3.1-8B,11.0,48.8,90.1,52.9,-37.8,37.199999999999996,37.8,37.199999999999996
AQuA,DS-R1-1.5B,Phi-4,11.0,77.6,90.1,78.5,-66.6,11.599999999999994,66.6,11.599999999999994
AQuA,DS-R1-1.5B,Phi-4-Reas.,11.0,68.1,90.1,83.2,-57.099999999999994,6.8999999999999915,57.099999999999994,6.8999999999999915
AQuA,DS-R1-1.5B,Qwen2.5-7B,11.0,78.3,90.1,77.2,-67.3,12.899999999999991,67.3,12.899999999999991
AQuA,DS-R1-1.5B,Qwen2.5-Math,11.0,29.1,90.1,74.9,-18.1,15.199999999999989,18.1,15.199999999999989
AQuA,DS-R1-1.5B,Qwen3-4B,11.0,57.5,90.1,78.5,-46.5,11.599999999999994,46.5,11.599999999999994
AQuA,DS-R1-7B,Gemma-7B,69.3,3.5,96.8,22.2,65.8,74.6,65.8,74.6
AQuA,DS-R1-7B,LLaMA-3.1-8B,69.3,48.8,96.8,52.9,20.5,43.9,20.5,43.9
AQuA,DS-R1-7B,Phi-4,69.3,77.6,96.8,78.5,-8.299999999999997,18.299999999999997,8.299999999999997,18.299999999999997
AQuA,DS-R1-7B,Phi-4-Reas.,69.3,68.1,96.8,83.2,1.2000000000000028,13.599999999999994,1.2000000000000028,13.599999999999994
AQuA,DS-R1-7B,Qwen2.5-7B,69.3,78.3,96.8,77.2,-9.0,19.599999999999994,9.0,19.599999999999994
AQuA,DS-R1-7B,Qwen2.5-Math,69.3,29.1,96.8,74.9,40.199999999999996,21.89999999999999,40.199999999999996,21.89999999999999
AQuA,DS-R1-7B,Qwen3-4B,69.3,57.5,96.8,78.5,11.799999999999997,18.299999999999997,11.799999999999997,18.299999999999997
AQuA,Gemma-7B,LLaMA-3.1-8B,3.5,48.8,22.2,52.9,-45.3,-30.7,45.3,30.7
AQuA,Gemma-7B,Phi-4,3.5,77.6,22.2,78.5,-74.1,-56.3,74.1,56.3
AQuA,Gemma-7B,Phi-4-Reas.,3.5,68.1,22.2,83.2,-64.6,-61.0,64.6,61.0
AQuA,Gemma-7B,Qwen2.5-7B,3.5,78.3,22.2,77.2,-74.8,-55.0,74.8,55.0
AQuA,Gemma-7B,Qwen2.5-Math,3.5,29.1,22.2,74.9,-25.6,-52.7,25.6,52.7
AQuA,Gemma-7B,Qwen3-4B,3.5,57.5,22.2,78.5,-54.0,-56.3,54.0,56.3
AQuA,LLaMA-3.1-8B,Phi-4,48.8,77.6,52.9,78.5,-28.799999999999997,-25.6,28.799999999999997,25.6
AQuA,LLaMA-3.1-8B,Phi-4-Reas.,48.8,68.1,52.9,83.2,-19.299999999999997,-30.300000000000004,19.299999999999997,30.300000000000004
AQuA,LLaMA-3.1-8B,Qwen2.5-7B,48.8,78.3,52.9,77.2,-29.5,-24.300000000000004,29.5,24.300000000000004
AQuA,LLaMA-3.1-8B,Qwen2.5-Math,48.8,29.1,52.9,74.9,19.699999999999996,-22.000000000000007,19.699999999999996,22.000000000000007
AQuA,LLaMA-3.1-8B,Qwen3-4B,48.8,57.5,52.9,78.5,-8.700000000000003,-25.6,8.700000000000003,25.6
AQuA,Phi-4,Phi-4-Reas.,77.6,68.1,78.5,83.2,9.5,-4.700000000000003,9.5,4.700000000000003
AQuA,Phi-4,Qwen2.5-7B,77.6,78.3,78.5,77.2,-0.7000000000000028,1.2999999999999972,0.7000000000000028,1.2999999999999972
AQuA,Phi-4,Qwen2.5-Math,77.6,29.1,78.5,74.9,48.49999999999999,3.5999999999999943,48.49999999999999,3.5999999999999943
AQuA,Phi-4,Qwen3-4B,77.6,57.5,78.5,78.5,20.099999999999994,0.0,20.099999999999994,0.0
AQuA,Phi-4-Reas.,Qwen2.5-7B,68.1,78.3,83.2,77.2,-10.200000000000003,6.0,10.200000000000003,6.0
AQuA,Phi-4-Reas.,Qwen2.5-Math,68.1,29.1,83.2,74.9,38.99999999999999,8.299999999999997,38.99999999999999,8.299999999999997
AQuA,Phi-4-Reas.,Qwen3-4B,68.1,57.5,83.2,78.5,10.599999999999994,4.700000000000003,10.599999999999994,4.700000000000003
AQuA,Qwen2.5-7B,Qwen2.5-Math,78.3,29.1,77.2,74.9,49.199999999999996,2.299999999999997,49.199999999999996,2.299999999999997
AQuA,Qwen2.5-7B,Qwen3-4B,78.3,57.5,77.2,78.5,20.799999999999997,-1.2999999999999972,20.799999999999997,1.2999999999999972
AQuA,Qwen2.5-Math,Qwen3-4B,29.1,57.5,74.9,78.5,-28.4,-3.5999999999999943,28.4,3.5999999999999943
CSQA,DS-R1-1.5B,DS-R1-7B,39.6,47.3,56.1,79.2,-7.699999999999996,-23.1,7.699999999999996,23.1
CSQA,DS-R1-1.5B,Gemma-7B,39.6,27.3,56.1,13.4,12.3,42.7,12.3,42.7
CSQA,DS-R1-1.5B,LLaMA-3.1-8B,39.6,66.3,56.1,55.0,-26.699999999999996,1.1000000000000014,26.699999999999996,1.1000000000000014
CSQA,DS-R1-1.5B,Phi-4,39.6,21.5,56.1,77.2,18.1,-21.1,18.1,21.1
CSQA,DS-R1-1.5B,Phi-4-Reas.,39.6,36.9,56.1,33.4,2.700000000000003,22.700000000000003,2.700000000000003,22.700000000000003
CSQA,DS-R1-1.5B,Qwen2.5-7B,39.6,81.8,56.1,70.1,-42.199999999999996,-13.999999999999993,42.199999999999996,13.999999999999993
CSQA,DS-R1-1.5B,Qwen2.5-Math,39.6,45.9,56.1,70.6,-6.299999999999997,-14.499999999999993,6.299999999999997,14.499999999999993
CSQA,DS-R1-1.5B,Qwen3-4B,39.6,69.5,56.1,75.0,-29.9,-18.9,29.9,18.9
CSQA,DS-R1-7B,Gemma-7B,47.3,27.3,79.2,13.4,19.999999999999996,65.8,19.999999999999996,65.8
CSQA,DS-R1-7B,LLaMA-3.1-8B,47.3,66.3,79.2,55.0,-19.0,24.200000000000003,19.0,24.200000000000003
CSQA,DS-R1-7B,Phi-4,47.3,21.5,79.2,77.2,25.799999999999997,2.0,25.799999999999997,2.0
CSQA,DS-R1-7B,Phi-4-Reas.,47.3,36.9,79.2,33.4,10.399999999999999,45.800000000000004,10.399999999999999,45.800000000000004
CSQA,DS-R1-7B,Qwen2.5-7B,47.3,81.8,79.2,70.1,-34.5,9.100000000000009,34.5,9.100000000000009
CSQA,DS-R1-7B,Qwen2.5-Math,47.3,45.9,79.2,70.6,1.3999999999999986,8.600000000000009,1.3999999999999986,8.600000000000009
CSQA,DS-R1-7B,Qwen3-4B,47.3,69.5,79.2,75.0,-22.200000000000003,4.200000000000003,22.200000000000003,4.200000000000003
CSQA,Gemma-7B,LLaMA-3.1-8B,27.3,66.3,13.4,55.0,-39.0,-41.6,39.0,41.6
CSQA,Gemma-7B,Phi-4,27.3,21.5,13.4,77.2,5.800000000000001,-63.800000000000004,5.800000000000001,63.800000000000004
CSQA,Gemma-7B,Phi-4-Reas.,27.3,36.9,13.4,33.4,-9.599999999999998,-20.0,9.599999999999998,20.0
CSQA,Gemma-7B,Qwen2.5-7B,27.3,81.8,13.4,70.1,-54.5,-56.699999999999996,54.5,56.699999999999996
CSQA,Gemma-7B,Qwen2.5-Math,27.3,45.9,13.4,70.6,-18.599999999999998,-57.199999999999996,18.599999999999998,57.199999999999996
CSQA,Gemma-7B,Qwen3-4B,27.3,69.5,13.4,75.0,-42.2,-61.6,42.2,61.6
CSQA,LLaMA-3.1-8B,Phi-4,66.3,21.5,55.0,77.2,44.8,-22.200000000000003,44.8,22.200000000000003
CSQA,LLaMA-3.1-8B,Phi-4-Reas.,66.3,36.9,55.0,33.4,29.4,21.6,29.4,21.6
CSQA,LLaMA-3.1-8B,Qwen2.5-7B,66.3,81.8,55.0,70.1,-15.5,-15.099999999999994,15.5,15.099999999999994
CSQA,LLaMA-3.1-8B,Qwen2.5-Math,66.3,45.9,55.0,70.6,20.4,-15.599999999999994,20.4,15.599999999999994
CSQA,LLaMA-3.1-8B,Qwen3-4B,66.3,69.5,55.0,75.0,-3.200000000000003,-20.0,3.200000000000003,20.0
CSQA,Phi-4,Phi-4-Reas.,21.5,36.9,77.2,33.4,-15.399999999999999,43.800000000000004,15.399999999999999,43.800000000000004
CSQA,Phi-4,Qwen2.5-7B,21.5,81.8,77.2,70.1,-60.3,7.1000000000000085,60.3,7.1000000000000085
CSQA,Phi-4,Qwen2.5-Math,21.5,45.9,77.2,70.6,-24.4,6.6000000000000085,24.4,6.6000000000000085
CSQA,Phi-4,Qwen3-4B,21.5,69.5,77.2,75.0,-48.0,2.200000000000003,48.0,2.200000000000003
CSQA,Phi-4-Reas.,Qwen2.5-7B,36.9,81.8,33.4,70.1,-44.9,-36.699999999999996,44.9,36.699999999999996
CSQA,Phi-4-Reas.,Qwen2.5-Math,36.9,45.9,33.4,70.6,-9.0,-37.199999999999996,9.0,37.199999999999996
CSQA,Phi-4-Reas.,Qwen3-4B,36.9,69.5,33.4,75.0,-32.6,-41.6,32.6,41.6
CSQA,Qwen2.5-7B,Qwen2.5-Math,81.8,45.9,70.1,70.6,35.9,-0.5,35.9,0.5
CSQA,Qwen2.5-7B,Qwen3-4B,81.8,69.5,70.1,75.0,12.299999999999997,-4.900000000000006,12.299999999999997,4.900000000000006
CSQA,Qwen2.5-Math,Qwen3-4B,45.9,69.5,70.6,75.0,-23.6,-4.400000000000006,23.6,4.400000000000006
GPQA,DS-R1-1.5B,DS-R1-7B,37.9,46.2,56.6,62.9,-8.300000000000004,-6.299999999999997,8.300000000000004,6.299999999999997
GPQA,DS-R1-1.5B,Gemma-7B,37.9,24.8,56.6,30.9,13.099999999999998,25.700000000000003,13.099999999999998,25.700000000000003
GPQA,DS-R1-1.5B,LLaMA-3.1-8B,37.9,38.4,56.6,50.5,-0.5,6.100000000000001,0.5,6.100000000000001
GPQA,DS-R1-1.5B,Phi-4,37.9,29.7,56.6,48.4,8.2,8.200000000000003,8.2,8.200000000000003
GPQA,DS-R1-1.5B,Phi-4-Reas.,37.9,44.0,56.6,62.3,-6.100000000000001,-5.699999999999996,6.100000000000001,5.699999999999996
GPQA,DS-R1-1.5B,Qwen2.5-7B,37.9,35.9,56.6,55.1,2.0,1.5,2.0,1.5
GPQA,DS-R1-1.5B,Qwen2.5-Math,37.9,24.3,56.6,54.6,13.599999999999998,2.0,13.599999999999998,2.0
GPQA,DS-R1-1.5B,Qwen3-4B,37.9,60.5,56.6,58.8,-22.6,-2.1999999999999957,22.6,2.1999999999999957
GPQA,DS-R1-7B,Gemma-7B,46.2,24.8,62.9,30.9,21.400000000000002,32.0,21.400000000000002,32.0
GPQA,DS-R1-7B,LLaMA-3.1-8B,46.2,38.4,62.9,50.5,7.800000000000004,12.399999999999999,7.800000000000004,12.399999999999999
GPQA,DS-R1-7B,Phi-4,46.2,29.7,62.9,48.4,16.500000000000004,14.5,16.500000000000004,14.5
GPQA,DS-R1-7B,Phi-4-Reas.,46.2,44.0,62.9,62.3,2.200000000000003,0.6000000000000014,2.200000000000003,0.6000000000000014
