benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,signed_pass1_gap,signed_frs_gap,abs_pass1_gap,abs_frs_gap
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-1.5B,DS-R1-7B,54.6,69.0,79.9,88.5,-14.399999999999999,-8.599999999999994,14.399999999999999,8.599999999999994
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-1.5B,Gemma-7B,54.6,25.6,79.9,26.3,29.0,53.60000000000001,29.0,53.60000000000001
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-1.5B,LLaMA-3.1-8B,54.6,56.0,79.9,63.1,-1.3999999999999986,16.800000000000004,1.3999999999999986,16.800000000000004
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-1.5B,Phi-4,54.6,51.2,79.9,74.2,3.3999999999999986,5.700000000000003,3.3999999999999986,5.700000000000003
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-1.5B,Phi-4-Reas.,54.6,75.6,79.9,69.7,-20.999999999999993,10.200000000000003,20.999999999999993,10.200000000000003
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-1.5B,Qwen2.5-7B,54.6,64.5,79.9,68.1,-9.899999999999999,11.800000000000011,9.899999999999999,11.800000000000011
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-1.5B,Qwen2.5-Math,54.6,56.6,79.9,73.8,-2.0,6.1000000000000085,2.0,6.1000000000000085
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-1.5B,Qwen3-4B,54.6,61.7,79.9,76.3,-7.100000000000001,3.6000000000000085,7.100000000000001,3.6000000000000085
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-7B,Gemma-7B,69.0,25.6,88.5,26.3,43.4,62.2,43.4,62.2
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-7B,LLaMA-3.1-8B,69.0,56.0,88.5,63.1,13.0,25.4,13.0,25.4
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-7B,Phi-4,69.0,51.2,88.5,74.2,17.799999999999997,14.299999999999997,17.799999999999997,14.299999999999997
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-7B,Phi-4-Reas.,69.0,75.6,88.5,69.7,-6.599999999999994,18.799999999999997,6.599999999999994,18.799999999999997
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-7B,Qwen2.5-7B,69.0,64.5,88.5,68.1,4.5,20.400000000000006,4.5,20.400000000000006
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-7B,Qwen2.5-Math,69.0,56.6,88.5,73.8,12.399999999999999,14.700000000000003,12.399999999999999,14.700000000000003
AGGREGATED_FRS_Avg_vs_Acc_Avg,DS-R1-7B,Qwen3-4B,69.0,61.7,88.5,76.3,7.299999999999997,12.200000000000003,7.299999999999997,12.200000000000003
AGGREGATED_FRS_Avg_vs_Acc_Avg,Gemma-7B,LLaMA-3.1-8B,25.6,56.0,26.3,63.1,-30.4,-36.8,30.4,36.8
AGGREGATED_FRS_Avg_vs_Acc_Avg,Gemma-7B,Phi-4,25.6,51.2,26.3,74.2,-25.6,-47.900000000000006,25.6,47.900000000000006
AGGREGATED_FRS_Avg_vs_Acc_Avg,Gemma-7B,Phi-4-Reas.,25.6,75.6,26.3,69.7,-49.99999999999999,-43.400000000000006,49.99999999999999,43.400000000000006
AGGREGATED_FRS_Avg_vs_Acc_Avg,Gemma-7B,Qwen2.5-7B,25.6,64.5,26.3,68.1,-38.9,-41.8,38.9,41.8
AGGREGATED_FRS_Avg_vs_Acc_Avg,Gemma-7B,Qwen2.5-Math,25.6,56.6,26.3,73.8,-31.0,-47.5,31.0,47.5
AGGREGATED_FRS_Avg_vs_Acc_Avg,Gemma-7B,Qwen3-4B,25.6,61.7,26.3,76.3,-36.1,-50.0,36.1,50.0
AGGREGATED_FRS_Avg_vs_Acc_Avg,LLaMA-3.1-8B,Phi-4,56.0,51.2,63.1,74.2,4.799999999999997,-11.100000000000001,4.799999999999997,11.100000000000001
AGGREGATED_FRS_Avg_vs_Acc_Avg,LLaMA-3.1-8B,Phi-4-Reas.,56.0,75.6,63.1,69.7,-19.599999999999994,-6.600000000000001,19.599999999999994,6.600000000000001
AGGREGATED_FRS_Avg_vs_Acc_Avg,LLaMA-3.1-8B,Qwen2.5-7B,56.0,64.5,63.1,68.1,-8.5,-4.999999999999993,8.5,4.999999999999993
AGGREGATED_FRS_Avg_vs_Acc_Avg,LLaMA-3.1-8B,Qwen2.5-Math,56.0,56.6,63.1,73.8,-0.6000000000000014,-10.699999999999996,0.6000000000000014,10.699999999999996
AGGREGATED_FRS_Avg_vs_Acc_Avg,LLaMA-3.1-8B,Qwen3-4B,56.0,61.7,63.1,76.3,-5.700000000000003,-13.199999999999996,5.700000000000003,13.199999999999996
AGGREGATED_FRS_Avg_vs_Acc_Avg,Phi-4,Phi-4-Reas.,51.2,75.6,74.2,69.7,-24.39999999999999,4.5,24.39999999999999,4.5
AGGREGATED_FRS_Avg_vs_Acc_Avg,Phi-4,Qwen2.5-7B,51.2,64.5,74.2,68.1,-13.299999999999997,6.1000000000000085,13.299999999999997,6.1000000000000085
AGGREGATED_FRS_Avg_vs_Acc_Avg,Phi-4,Qwen2.5-Math,51.2,56.6,74.2,73.8,-5.399999999999999,0.4000000000000057,5.399999999999999,0.4000000000000057
AGGREGATED_FRS_Avg_vs_Acc_Avg,Phi-4,Qwen3-4B,51.2,61.7,74.2,76.3,-10.5,-2.0999999999999943,10.5,2.0999999999999943
AGGREGATED_FRS_Avg_vs_Acc_Avg,Phi-4-Reas.,Qwen2.5-7B,75.6,64.5,69.7,68.1,11.099999999999994,1.6000000000000085,11.099999999999994,1.6000000000000085
AGGREGATED_FRS_Avg_vs_Acc_Avg,Phi-4-Reas.,Qwen2.5-Math,75.6,56.6,69.7,73.8,18.999999999999993,-4.099999999999994,18.999999999999993,4.099999999999994
AGGREGATED_FRS_Avg_vs_Acc_Avg,Phi-4-Reas.,Qwen3-4B,75.6,61.7,69.7,76.3,13.899999999999991,-6.599999999999994,13.899999999999991,6.599999999999994
AGGREGATED_FRS_Avg_vs_Acc_Avg,Qwen2.5-7B,Qwen2.5-Math,64.5,56.6,68.1,73.8,7.899999999999999,-5.700000000000003,7.899999999999999,5.700000000000003
AGGREGATED_FRS_Avg_vs_Acc_Avg,Qwen2.5-7B,Qwen3-4B,64.5,61.7,68.1,76.3,2.799999999999997,-8.200000000000003,2.799999999999997,8.200000000000003
AGGREGATED_FRS_Avg_vs_Acc_Avg,Qwen2.5-Math,Qwen3-4B,56.6,61.7,73.8,76.3,-5.100000000000001,-2.5,5.100000000000001,2.5
