benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,signed_pass1_gap,signed_frs_gap,abs_pass1_gap,abs_frs_gap
MATH500,DS-R1-7B,Qwen2.5-Math,63.6,63.6,94.0,77.5,0.0,16.5,0.0,16.5
MATH500,Phi-4,Qwen2.5-7B,60.8,60.6,74.4,75.6,0.19999999999999574,-1.1999999999999886,0.19999999999999574,1.1999999999999886
SVAMP,DS-R1-7B,Qwen2.5-Math,91.1,90.8,99.0,74.5,0.29999999999999716,24.5,0.29999999999999716,24.5
GPQA,Gemma-7B,Qwen2.5-Math,24.8,24.3,30.9,54.6,0.5,-23.700000000000003,0.5,23.700000000000003
GPQA,DS-R1-1.5B,LLaMA-3.1-8B,37.9,38.4,56.6,50.5,-0.5,6.100000000000001,0.5,6.100000000000001
GSM8K,DS-R1-7B,Qwen2.5-7B,91.5,90.9,98.9,65.6,0.5999999999999943,33.30000000000001,0.5999999999999943,33.30000000000001
AQuA,Phi-4,Qwen2.5-7B,77.6,78.3,78.5,77.2,-0.7000000000000028,1.2999999999999972,0.7000000000000028,1.2999999999999972
SVAMP,Phi-4-Reas.,Qwen2.5-7B,94.6,93.6,74.8,64.9,1.0,9.899999999999991,1.0,9.899999999999991
SVAMP,DS-R1-7B,Phi-4,91.1,92.3,99.0,75.5,-1.2000000000000028,23.5,1.2000000000000028,23.5
AQuA,DS-R1-7B,Phi-4-Reas.,69.3,68.1,96.8,83.2,1.2000000000000028,13.599999999999994,1.2000000000000028,13.599999999999994
