====================================================================================================
REASONING BY CONFIDENCE BIN — per (model, dataset) × disjoint 10% bins within top-50% pool
Rows: 270  |  Columns: ['model', 'dataset', 'bin_label', 'bin_start_pct', 'bin_end_pct', 'total_traces_in_bin', 'sampled_traces', 'random_seed', 'mean_reasoning_score', 'std_reasoning_score', 'stderr_reasoning_score', 'ci_lower', 'ci_upper', 'bootstrap_ci_lower', 'bootstrap_ci_upper', 'mean_accuracy_population']
====================================================================================================
       model       dataset bin_label  bin_start_pct  bin_end_pct  total_traces_in_bin  sampled_traces  random_seed  mean_reasoning_score  std_reasoning_score  stderr_reasoning_score  ci_lower  ci_upper  bootstrap_ci_lower  bootstrap_ci_upper  mean_accuracy_population
  DS-R1-1.5B          AQuA      0-10              0           10                  407              50   1996967456               0.90125             0.183456               0.0259445  0.849113  0.953387              0.8475              0.9475                   0.80344
  DS-R1-1.5B          AQuA     10-20             10           20                  406              50   1703670614               0.81625             0.200609               0.0283704  0.759238  0.873262            0.758719             0.86875                  0.650246
  DS-R1-1.5B          AQuA     20-30             20           30                  407              50   1206105458                0.7575             0.218208               0.0308593  0.695486  0.819514               0.695               0.815                  0.496314
  DS-R1-1.5B          AQuA     30-40             30           40                  406              50   1047584248               0.61875             0.217333               0.0307356  0.556985  0.680515              0.5575                0.68                  0.440887
  DS-R1-1.5B          AQuA     40-50             40           50                  406              50    904095462               0.55625             0.227372               0.0321553  0.491632  0.620868               0.495              0.6175                   0.35468
  DS-R1-1.5B CommonsenseQA      0-10              0           10                 1954              50    775787152               0.56125             0.304225               0.0430239   0.47479   0.64771            0.474969             0.64625                  0.443705
  DS-R1-1.5B CommonsenseQA     10-20             10           20                 1954              50   1426393289               0.58375               0.2828                0.039994  0.503379  0.664121            0.508719                0.66                  0.399181
  DS-R1-1.5B CommonsenseQA     20-30             20           30                 1953              50    925877873                0.5875             0.241567               0.0341627  0.518847  0.656153              0.5225               0.655                  0.411674
  DS-R1-1.5B CommonsenseQA     30-40             30           40                 1954              50   1154687860                 0.605             0.237721               0.0336189   0.53744   0.67256            0.539969                0.67                  0.409417
  DS-R1-1.5B CommonsenseQA     40-50             40           50                 1953              50   1720128926               0.47875             0.232009                0.032811  0.412814  0.544686             0.41625              0.5425                  0.422939
  DS-R1-1.5B          GPQA      0-10              0           10                  717              50    440311095               0.56625             0.294348               0.0416271  0.482597  0.649903              0.4875             0.64875                  0.362622
  DS-R1-1.5B          GPQA     10-20             10           20                  717              50    550132928               0.49125              0.15568               0.0220165  0.447006  0.535494            0.448719              0.5325                  0.336123
  DS-R1-1.5B          GPQA     20-30             20           30                  717              50    446478496                0.5175             0.186878               0.0264286   0.46439   0.57061            0.469969            0.567531                  0.343096
  DS-R1-1.5B          GPQA     30-40             30           40                  717              50   1776145315               0.53375             0.211368               0.0298919   0.47368   0.59382                0.48             0.59375                  0.344491
  DS-R1-1.5B          GPQA     40-50             40           50                  716              50   1867012242                0.4575              0.13149               0.0185955  0.420131  0.494869             0.42375               0.495                  0.298883
  DS-R1-1.5B         GSM8K      0-10              0           10                 2111              50    944897909               0.95125             0.158863               0.0224667  0.906102  0.996398               0.905              0.9925                  0.922785
  DS-R1-1.5B         GSM8K     10-20             10           20                 2110              50   1620205246                  0.92             0.196445               0.0277815  0.864171  0.975829            0.861219                0.97                  0.903791
  DS-R1-1.5B         GSM8K     20-30             20           30                 2111              50   1961505985               0.88125             0.215861               0.0305274  0.819903  0.942597               0.815               0.935                   0.85694
  DS-R1-1.5B         GSM8K     30-40             30           40                 2110              50   1945220080                0.8775              0.20785               0.0293944   0.81843   0.93657              0.8175                0.93                  0.844076
  DS-R1-1.5B         GSM8K     40-50             40           50                 2110              50    679449097               0.73125             0.271185               0.0383513   0.65418   0.80832            0.652469             0.80375                   0.78436
  DS-R1-1.5B       MATH500      0-10              0           10                  800              50    916997155                 0.845             0.257614               0.0364321  0.771787  0.918213              0.7725                0.91                   0.76375
  DS-R1-1.5B       MATH500     10-20             10           20                  800              50    547146228                 0.845             0.215117               0.0304222  0.783864  0.906136             0.78375              0.9025                   0.70625
  DS-R1-1.5B       MATH500     20-30             20           30                  800              50   1674887354                 0.695             0.259587               0.0367111  0.621226  0.768774             0.62375              0.7675                   0.64875
  DS-R1-1.5B       MATH500     30-40             30           40                  800              50   1119108184               0.71125             0.269604               0.0381278  0.634629  0.787871             0.63875             0.78375                   0.60625
  DS-R1-1.5B       MATH500     40-50             40           50                  800              50    608571283                0.6675              0.23705               0.0335239  0.600131  0.734869            0.601219              0.7325                   0.52625
  DS-R1-1.5B         SVAMP      0-10              0           10                 1600              50   1883740650               0.96875             0.123234               0.0174279  0.933727   1.00377             0.93125             0.99625                   0.91625
  DS-R1-1.5B         SVAMP     10-20             10           20                 1600              50    129638363                0.9175              0.20765               0.0293662  0.858486  0.976514             0.85625            0.967531                  0.921875
  DS-R1-1.5B         SVAMP     20-30             20           30                 1600              50    270600075                  0.92             0.205954               0.0291263  0.861468  0.978532             0.86375             0.97375                    0.8975
  DS-R1-1.5B         SVAMP     30-40             30           40                 1600              50   1012511334                 0.895             0.203775               0.0288181  0.837088  0.952912              0.8375             0.94625                    0.8875
  DS-R1-1.5B         SVAMP     40-50             40           50                 1600              50   1236759045               0.79125             0.219291               0.0310124  0.728928  0.853572             0.72875             0.84875                  0.840625
    DS-R1-7B          AQuA      0-10              0           10                  407              50    384133804                0.9675            0.0938477               0.0132721  0.940829  0.994171              0.9375             0.98875                  0.921376
    DS-R1-7B          AQuA     10-20             10           20                  406              50   1035445547               0.94625             0.131835               0.0186443  0.908783  0.983717             0.90875              0.9775                  0.916256
    DS-R1-7B          AQuA     20-30             20           30                  407              50   1946357627                0.8925              0.17361               0.0245521  0.843161  0.941839             0.84125                0.94                  0.857494
    DS-R1-7B          AQuA     30-40             30           40                  406              50   2055954524               0.86875             0.180459               0.0255207  0.817464  0.920036            0.818719             0.91875                  0.830049
    DS-R1-7B          AQuA     40-50             40           50                  406              50    639634413               0.78625             0.238608               0.0337443  0.718438  0.854062             0.71625             0.85125                  0.768473
    DS-R1-7B CommonsenseQA      0-10              0           10                 1954              50   2141815550                0.7925             0.236376               0.0334286  0.725323  0.859677             0.71875             0.85375                  0.569089
    DS-R1-7B CommonsenseQA     10-20             10           20                 1954              50    708767532                0.8225               0.1538               0.0217506  0.778791  0.866209            0.779969             0.86375                  0.567554
    DS-R1-7B CommonsenseQA     20-30             20           30                 1953              50   1898560217               0.79875             0.164775               0.0233027  0.751921  0.845579                0.75             0.84375                  0.558116
    DS-R1-7B CommonsenseQA     30-40             30           40                 1954              50   1043124556               0.75375             0.160918               0.0227572  0.708018  0.799482             0.71125             0.79875                  0.547083
    DS-R1-7B CommonsenseQA     40-50             40           50                 1953              50    471242906               0.70125             0.208742               0.0295205  0.641926  0.760574            0.642469             0.75875                  0.506912
