model,benchmark,resample_id,k,recall,precision,jaccard,snr_k16,snr_k8,regime_flip,num_scored_in_overlap,partial_frs_estimate
DS-R1-1.5B,AQuA,0,8,1.0,0.5012285012285013,0.5012285012285013,0.6541537763683102,0.6675550721957513,False,25,88.5
DS-R1-1.5B,AQuA,1,8,0.8872549019607843,0.44471744471744473,0.42093023255813955,0.6541537763683102,0.66569901543284,False,28,90.84821428571429
DS-R1-1.5B,AQuA,2,8,1.0,0.5012285012285013,0.5012285012285013,0.6541537763683102,0.6710144066579692,False,22,87.7840909090909
DS-R1-1.5B,AQuA,3,8,0.9852941176470589,0.49385749385749383,0.4902439024390244,0.6541537763683102,0.6740219571032933,False,26,87.74038461538461
DS-R1-1.5B,AQuA,4,8,0.9901960784313726,0.4963144963144963,0.4938875305623472,0.6541537763683102,0.6569527283472423,False,23,88.8586956521739
DS-R1-1.5B,AQuA,5,8,0.9754901960784313,0.48894348894348894,0.4830097087378641,0.6541537763683102,0.6818299471968291,False,25,93.0
DS-R1-1.5B,AQuA,6,8,0.9705882352941176,0.4864864864864865,0.4794188861985472,0.6541537763683102,0.677522480973384,False,24,90.10416666666667
DS-R1-1.5B,AQuA,7,8,1.0,0.5012285012285013,0.5012285012285013,0.6541537763683102,0.6696381119081596,False,29,92.67241379310344
DS-R1-1.5B,AQuA,8,8,0.9607843137254902,0.48157248157248156,0.472289156626506,0.6541537763683102,0.6475648006158737,False,28,91.51785714285714
DS-R1-1.5B,AQuA,9,8,0.9852941176470589,0.49385749385749383,0.4902439024390244,0.6541537763683102,0.6621141175830352,False,21,88.0952380952381
DS-R1-1.5B,AQuA,0,4,0.9411764705882353,0.23587223587223588,0.2324455205811138,0.6541537763683102,0.6874004767580376,False,15,95.0
DS-R1-1.5B,AQuA,1,4,1.0,0.25061425061425063,0.25061425061425063,0.6541537763683102,0.6851680005990907,False,14,91.96428571428571
DS-R1-1.5B,AQuA,2,4,0.9509803921568627,0.23832923832923833,0.2354368932038835,0.6541537763683102,0.5301735559448455,False,12,81.77083333333333
