model,benchmark,k,mean_recall,std_recall,mean_jaccard,std_jaccard,mean_precision,std_precision,mean_snr_k8,std_snr_k8,snr_k16,regime_flip_rate,mean_scored_overlap,std_scored_overlap,mean_partial_frs,frs_k16
DS-R1-1.5B,AQuA,8,0.9754901960784312,0.03199444876878574,0.48337088232469566,0.022801641316667662,0.488943488943489,0.01603652960401054,0.6673912638014377,0.009518661663452296,0.6541537763683102,0.0,25.1,2.5475478405713994,89.9121061160229,90.125
DS-R1-1.5B,AQuA,4,0.9725490196078432,0.03916663599105526,0.24218559837732373,0.011930028007055404,0.24373464373464376,0.009815717127979455,0.6534771670102557,0.048755159806890415,0.6541537763683102,0.0,12.8,2.08806130178211,92.63380022755021,90.125
DS-R1-1.5B,CommonsenseQA,8,0.9951893551688844,0.008137637343009598,0.49642516014114724,0.006032523975074337,0.4975946775844422,0.004068818671504799,-0.0029897053323016736,0.009781775239510989,0.00039351231637744637,0.4,24.4,3.6932370625238775,53.919262827815466,56.125
DS-R1-1.5B,CommonsenseQA,4,0.9862985685071575,0.02271780236404163,0.2460232117314533,0.006995384708140963,0.2468270214943705,0.005685263744122995,-0.0007025109591718287,0.023995685654690957,0.00039351231637744637,0.4,13.7,2.1931712199461306,57.65367271617272,56.125
DS-R1-1.5B,GPQA,8,0.9877437325905294,0.02197557985884795,0.4917198882367959,0.016063423798168018,0.494560669456067,0.011003114601571008,-0.04526575152249734,0.025404497203481723,-0.053474427346895906,0.1,26.0,2.449489742783178,56.62336416117338,56.625
DS-R1-1.5B,GPQA,4,0.9755555555555556,0.02834966849371794,0.24347759579939376,0.00876705620044653,0.24490934449093443,0.007117071588381069,-0.0405596222311908,0.05070158370400177,-0.053474427346895906,0.3,12.9,2.467792535850613,57.05554168054168,56.625
DS-R1-1.5B,GSM8K,8,0.9892045454545453,0.015727681433353558,0.4922689270167466,0.011534880254171823,0.4948365703458076,0.007867565889920098,0.7192877972494662,0.01607784732086115,0.7231409266926733,0.0,25.4,2.1071307505705477,94.21700841429103,95.125
DS-R1-1.5B,GSM8K,4,0.9928030303030303,0.013938158706798558,0.24788717263783075,0.004320042786694917,0.24831833254381808,0.0034861903350021915,0.7315859375470357,0.031715661076656604,0.7231409266926733,0.0,12.6,4.054626986542659,96.44708290935071,95.125
DS-R1-1.5B,MATH500,8,0.9855,0.018768324379123475,0.4893314975151505,0.013762749781918524,0.49275,0.009384162189561738,0.4697888166633697,0.021837477569112612,0.4805963022672171,0.0,23.1,3.8065732621348563,84.04079024475857,84.5
DS-R1-1.5B,MATH500,4,0.9960000000000001,0.008000000000000007,0.24875621890547261,0.002487562189054726,0.24900000000000003,0.0020000000000000018,0.4726829295064272,0.03248812988322445,0.4805963022672171,0.0,11.8,2.5612496949731396,80.93154761904762,84.5
DS-R1-1.5B,SVAMP,8,0.9845,0.015803480629279106,0.4885551708861522,0.011576822634916693,0.49225,0.007901740314639553,0.48981765692483104,0.016524786693398703,0.48884767526520545,0.0,24.9,1.8681541692269403,96.60929260453716,96.875
DS-R1-1.5B,SVAMP,4,0.9640000000000001,0.03158718094417417,0.23892610955299248,0.009680607301174727,0.24100000000000002,0.007896795236043542,0.4781293311380711,0.03628298469582798,0.48884767526520545,0.0,12.3,1.676305461424021,96.64284673659674,96.875
DS-R1-7B,AQuA,8,0.9784313725490195,0.03238263640179165,0.4855474856015459,0.023349531953179035,0.49041769041769046,0.016231100309497547,0.836998472471614,0.04159532333728601,0.82838090427552,0.0,24.3,4.075536774462966,96.17328274317563,96.75
DS-R1-7B,AQuA,4,0.9568627450980391,0.05479681808816517,0.23746471523413648,0.016636651831099646,0.23980343980343982,0.013732863501210934,0.8373522939261944,0.07682806759773599,0.82838090427552,0.0,10.9,2.5079872407968904,96.83609966422468,96.75
DS-R1-7B,CommonsenseQA,8,0.9904810644831116,0.008697693687888182,0.4929225429574067,0.006452238429793576,0.4952405322415558,0.004348846843944091,0.19019159022951104,0.010520090962173519,0.1833365751683797,0.0,26.9,3.047950130825634,79.24924021450369,79.25
DS-R1-7B,CommonsenseQA,4,0.9938650306748466,0.011200870296629169,0.24834901930938882,0.0034745408621357507,0.24872057318321392,0.0028030837129230522,0.17024166972072508,0.022168840837804942,0.1833365751683797,0.0,10.6,2.6907248094147422,81.08862665112665,79.25
DS-R1-7B,GPQA,8,0.9894150417827298,0.013860563013509436,0.4928561108168016,0.010186229852486654,0.49539748953974894,0.006939947171338764,-0.24316366196596162,0.01634274864560528,-0.242966230971739,0.0,23.7,2.5317977802344327,63.38771471583972,62.875
DS-R1-7B,GPQA,4,0.9738888888888889,0.02606378690164421,0.24295109513206245,0.00805837470721809,0.24449093444909345,0.006543210100831183,-0.24092915014962052,0.044338469384535555,-0.242966230971739,0.0,12.0,3.6606010435446255,62.22544642857142,62.875
DS-R1-7B,GSM8K,8,0.9916666666666666,0.009757005206357012,0.49404403326523605,0.007234725998875171,0.4960682141165324,0.004880813594463746,0.8087025161626382,0.027985476761443685,0.7910779044534557,0.0,23.9,4.3920382511995495,98.77710816970549,98.875
DS-R1-7B,GSM8K,4,0.9929924242424242,0.012846718092508794,0.24794391103252655,0.003978845143266199,0.2483657034580767,0.0032132009250803594,0.7748224405919413,0.02554873916908258,0.7910779044534557,0.0,12.9,3.6180105030251086,99.5673076923077,98.875
DS-R1-7B,MATH500,8,0.99,0.016992645467966434,0.49264269587965426,0.012465352110283554,0.495,0.008496322733983217,0.5694542495689888,0.02126160828493255,0.5728806233700802,0.0,23.1,2.467792535850613,94.62622712247284,94.0
DS-R1-7B,MATH500,4,0.9705,0.030696090956341647,0.24092032763295795,0.009397558844777991,0.242625,0.007674022739085412,0.5596662053693566,0.02610725427216662,0.5728806233700802,0.0,12.7,1.7916472867168916,91.757693899238,94.0
DS-R1-7B,SVAMP,8,0.9963749999999999,0.00618592151582931,0.4973003823875689,0.004603790476344099,0.49818749999999995,0.003092960757914655,0.6602669273047759,0.021249921676113136,0.6681210293433025,0.0,24.1,2.5865034312755126,99.08906097937874,99.0
