dataset,k_sub,mean_bootstrap_std_across_models
AQuA,4,1.6464997469384415
AQuA,8,1.0428529142113416
AQuA,12,0.6023045510776212
AQuA,16,0.0
CommonsenseQA,4,0.6503806409176646
CommonsenseQA,8,0.418092780492421
CommonsenseQA,12,0.2365664423593966
CommonsenseQA,16,0.0
GPQA,4,1.3046416879371414
GPQA,8,0.7699147566631096
GPQA,12,0.43886883300095847
GPQA,16,0.0
GSM8K,4,0.6174680517649409
GSM8K,8,0.3497222185942954
GSM8K,12,0.20955578551288528
GSM8K,16,0.0
MATH500,4,0.9138269056795133
MATH500,8,0.5186768807180155
MATH500,12,0.3073268259505581
MATH500,16,0.0
SVAMP,4,0.6469623951643941
SVAMP,8,0.377616245945726
SVAMP,12,0.22799025911080653
SVAMP,16,0.0
