model,dataset,k_sub,frs_acc_mean,frs_acc_std,spearman_vs_k16_mean,spearman_vs_k16_std
DS-R1-1.5B,AQuA,4,50.003941999999995,1.5036486472319426,0.9805817613648838,0.018853485921694474
DS-R1-1.5B,AQuA,8,50.458664,1.0241421841577618,0.9852337543767392,0.01927325175766166
DS-R1-1.5B,AQuA,12,50.670608,0.577124896764388,0.9937494769851587,0.009861816958941125
DS-R1-1.5B,AQuA,16,50.885799999999996,0.0,,
DS-R1-1.5B,CommonsenseQA,4,40.49221,0.5719062283098441,0.9903333333333333,0.008309489698388196
DS-R1-1.5B,CommonsenseQA,8,40.427512,0.45272126742125823,0.9906666666666666,0.00835710894037347
DS-R1-1.5B,CommonsenseQA,12,40.428866,0.22738884219570174,0.9936666666666666,0.00817190585796697
DS-R1-1.5B,CommonsenseQA,16,40.4894,0.0,,
DS-R1-1.5B,GPQA,4,32.082588,1.4194834199260298,0.9898287917662656,0.010255011888540236
DS-R1-1.5B,GPQA,8,31.675216,0.7373896805375469,0.9918329846567724,0.008288826191402516
DS-R1-1.5B,GPQA,12,31.719483999999998,0.41934219398618044,0.9935831589950529,0.008127076414972305
DS-R1-1.5B,GPQA,16,31.7243,0.0,,
DS-R1-1.5B,GSM8K,4,78.162244,0.6380441812352521,0.988,0.007559289460184578
DS-R1-1.5B,GSM8K,8,78.67514,0.30589063605231565,0.9943333333333334,0.00797530201164014
DS-R1-1.5B,GSM8K,12,78.773056,0.1953053821844239,0.9986666666666666,0.004567458593631196
DS-R1-1.5B,GSM8K,16,78.8476,0.0,,
DS-R1-1.5B,MATH500,4,60.05,0.8104546469074493,0.9922491283085977,0.008748218720224073
DS-R1-1.5B,MATH500,8,60.828,0.47220282739950026,0.9934996513234391,0.008081117810164592
DS-R1-1.5B,MATH500,12,61.006004000000004,0.28048346159546006,0.9927494769851586,0.00815303952089411
DS-R1-1.5B,MATH500,16,61.05,0.0,,
DS-R1-1.5B,SVAMP,4,83.546,0.5275898221233658,0.9835817613648838,0.007916002916966385
DS-R1-1.5B,SVAMP,8,83.935,0.31306581429730296,0.9878315870266035,0.008242506530085783
DS-R1-1.5B,SVAMP,12,84.047664,0.1823858924905978,0.9936666666666666,0.00817190585796694
DS-R1-1.5B,SVAMP,16,84.15,0.0,,
DS-R1-7B,AQuA,4,74.885826,1.1798385700387217,0.9805817613648838,0.018853485921694474
DS-R1-7B,AQuA,8,75.30118999999999,0.8439798160489116,0.9852337543767392,0.01927325175766166
DS-R1-7B,AQuA,12,75.476382,0.4618663242823848,0.9937494769851587,0.009861816958941125
DS-R1-7B,AQuA,16,75.2461,0.0,,
DS-R1-7B,CommonsenseQA,4,49.152312,0.7026053139565629,0.9903333333333333,0.008309489698388196
DS-R1-7B,CommonsenseQA,8,49.19081,0.45161386940705833,0.9906666666666666,0.00835710894037347
DS-R1-7B,CommonsenseQA,12,49.23257399999999,0.2491757070496099,0.9936666666666666,0.00817190585796697
DS-R1-7B,CommonsenseQA,16,49.396,0.0,,
DS-R1-7B,GPQA,4,44.957594,1.3467974016100839,0.9898287917662656,0.010255011888540236
DS-R1-7B,GPQA,8,43.91963799999999,0.8401197067012269,0.9918329846567724,0.008288826191402516
DS-R1-7B,GPQA,12,43.614582,0.4685659231775875,0.9935831589950529,0.008127076414972305
DS-R1-7B,GPQA,16,43.5547,0.0,,
DS-R1-7B,GSM8K,4,90.877938,0.36654750221993637,0.988,0.007559289460184578
DS-R1-7B,GSM8K,8,90.882482,0.20846771657276209,0.9943333333333334,0.00797530201164014
DS-R1-7B,GSM8K,12,90.920896,0.12866113848051242,0.9986666666666666,0.004567458593631196
DS-R1-7B,GSM8K,16,90.9496,0.0,,
DS-R1-7B,MATH500,4,62.978,0.7214752460148904,0.9922491283085977,0.008748218720224073
DS-R1-7B,MATH500,8,63.394,0.4035101091215252,0.9934996513234391,0.008081117810164592
DS-R1-7B,MATH500,12,63.477335999999994,0.18716657293568748,0.9927494769851586,0.00815303952089411
DS-R1-7B,MATH500,16,63.475,0.0,,
DS-R1-7B,SVAMP,4,92.18299999999999,0.3679244043916348,0.9835817613648838,0.007916002916966385
DS-R1-7B,SVAMP,8,92.18799999999999,0.21304641632799834,0.9878315870266035,0.008242506530085783
DS-R1-7B,SVAMP,12,92.164998,0.10808083990745798,0.9936666666666666,0.00817190585796694
DS-R1-7B,SVAMP,16,92.1875,0.0,,
Gemma-7B,AQuA,4,27.661434,1.4812499876669243,0.9805817613648838,0.018853485921694474
Gemma-7B,AQuA,8,27.76969,1.0454214082935012,0.9852337543767392,0.01927325175766166
Gemma-7B,AQuA,12,27.930448000000002,0.5522800429240992,0.9937494769851587,0.009861816958941125
Gemma-7B,AQuA,16,27.6575,0.0,,
Gemma-7B,CommonsenseQA,4,17.989366,0.6768524578050487,0.9903333333333333,0.008309489698388196
Gemma-7B,CommonsenseQA,8,17.591722,0.4058654267219162,0.9906666666666666,0.00835710894037347
