model,dataset,regime,snr_low10,snr_full_mean,auroc_low10,auroc_full_mean
DS-R1-1.5B,AQuA,reliable,-0.17896136407222407,-0.2386473473959542,0.4908343868520859,0.4503792667509482
DS-R1-1.5B,CommonsenseQA,reliable,-0.1058700313062841,-0.05889536455843904,0.5486710767728795,0.5196210450717343
DS-R1-1.5B,GPQA,reliable,-0.4218544147212398,-0.2902955459607372,0.40920440118493445,0.412420651713923
DS-R1-1.5B,GSM8K,reliable,-0.3091201326084197,-0.3587058522865292,0.4345293178429126,0.4114639023010276
DS-R1-1.5B,MATH500,reliable,0.07947988453532101,0.09457187216708217,0.5447150495565989,0.5308424621804904
DS-R1-1.5B,SVAMP,reliable,-0.6242778950010972,-0.8533261343359682,0.33326223359817986,0.2789109298067865
DS-R1-7B,AQuA,reliable,0.8531073388475239,0.6130893246930929,0.7227564102564102,0.6715472027972029
DS-R1-7B,CommonsenseQA,reliable,0.09466463592246055,-0.024082853149040708,0.5437339203634132,0.516114621570126
DS-R1-7B,GPQA,reliable,0.15961023286653256,0.08344633299726577,0.530158157435805,0.5208170465251467
DS-R1-7B,GSM8K,reliable,0.8842960049736042,0.8151090818251598,0.7355160374008758,0.7129320037874305
DS-R1-7B,MATH500,reliable,0.4873007102042218,0.34191602148796824,0.6480751952450067,0.5920416061925495
DS-R1-7B,SVAMP,reliable,0.2041854405729725,0.2713699303272811,0.6008337547330382,0.5835666448772185
Gemma-7B,AQuA,unreliable,-0.9760132182516726,-0.8010667865164357,0.35102040816326524,0.32108843537414966
Gemma-7B,CommonsenseQA,unreliable,-0.09174071900795494,0.060053215999458856,0.4686003571138706,0.46717325433541645
Gemma-7B,GPQA,unreliable,-0.3681392125176935,1.2218080930976125,0.4569198278397091,0.8288020958644104
Gemma-7B,GSM8K,unreliable,-0.7532895134898742,-0.3632406718719538,0.42797346390775554,0.43792203048491546
Gemma-7B,MATH500,unreliable,-0.8028296853648649,-0.6372429070866666,0.31876192267390313,0.3107552594105161
Gemma-7B,SVAMP,unreliable,-0.9189903768373429,-0.7576454144427277,0.32134350703482534,0.33234233314619166
LLaMA-3.1-8B,AQuA,unreliable,0.6076528542830625,0.715557410014371,0.670409429280397,0.6979528535980148
LLaMA-3.1-8B,CommonsenseQA,unreliable,0.11449400741577559,0.00943749916448402,0.5443633414436334,0.5529061908623952
LLaMA-3.1-8B,GPQA,unreliable,0.37912593952661006,0.38236442099911555,0.6073685540950455,0.6085481968318166
