model,dataset,regime,snr_t0,snr_t07_trace,snr_t07_problem
DS-R1-1.5B,AQuA,reliable,-0.17896136407222407,0.6541537763683102,0.7571709361698257
DS-R1-1.5B,CommonsenseQA,reliable,-0.1058700313062841,0.000393512316377652,0.22692649159002892
DS-R1-1.5B,GPQA,reliable,-0.4218544147212398,-0.053474427346895906,0.1049277056959418
DS-R1-1.5B,GSM8K,reliable,-0.3091201326084197,0.7231409266926733,1.312740221273121
DS-R1-1.5B,MATH500,reliable,0.07947988453532101,0.480596302267217,0.48307438368572997
DS-R1-1.5B,SVAMP,reliable,-0.6242778950010972,0.48884767526520545,0.8918535028234553
DS-R1-7B,AQuA,reliable,0.8531073388475239,0.8283809042755201,1.4019757710982659
DS-R1-7B,CommonsenseQA,reliable,0.09466463592246055,0.1833365751683797,0.6413180498343212
DS-R1-7B,GPQA,reliable,0.15961023286653256,-0.242966230971739,-0.007406631338558414
DS-R1-7B,GSM8K,reliable,0.8842960049736042,0.7910779044534557,1.326429466354048
DS-R1-7B,MATH500,reliable,0.4873007102042218,0.5728806233700802,0.7212710639620499
DS-R1-7B,SVAMP,reliable,0.2041854405729725,0.6681210293433025,1.0179225824507572
Gemma-7B,AQuA,unreliable,-0.9760132182516726,-0.2356776300769814,-0.24373659931269875
Gemma-7B,CommonsenseQA,unreliable,-0.09174071900795494,-0.01379210819360508,0.18718439266878875
Gemma-7B,GPQA,unreliable,-0.3681392125176935,-0.2902269001830551,-1.356136344540895
Gemma-7B,GSM8K,unreliable,-0.7532895134898742,-0.09572286598715854,-0.2403334874588898
Gemma-7B,MATH500,unreliable,-0.8028296853648649,-0.30661920445129226,-0.9619459122969779
Gemma-7B,SVAMP,unreliable,-0.9189903768373429,-0.283499277307793,-0.5222341679814104
LLaMA-3.1-8B,AQuA,unreliable,0.6076528542830625,0.03778036064244679,0.594560371590526
LLaMA-3.1-8B,CommonsenseQA,unreliable,0.11449400741577559,0.10174884576050221,0.6744893285690375
LLaMA-3.1-8B,GPQA,unreliable,0.37912593952661006,0.13132694352174148,0.3135340295431115
LLaMA-3.1-8B,GSM8K,unreliable,0.2655156747755928,0.12260808096739215,0.607872293400882
LLaMA-3.1-8B,MATH500,unreliable,0.43227532373619554,0.20000437963215137,0.910698653340473
LLaMA-3.1-8B,SVAMP,unreliable,0.2957833762078077,0.050282877530444414,0.24589144788502662
Phi-4,AQuA,deceptive,-0.5796712117206808,-0.03777089150649408,-0.34868613904495915
Phi-4,CommonsenseQA,deceptive,2.160739412864429,0.4187462740902154,0.17089738672783905
Phi-4,GPQA,deceptive,0.4039718657379076,-0.26601741204999513,-0.7122518637134235
Phi-4,GSM8K,deceptive,-0.21116616421574394,-0.13543013169971324,0.03965570603543097
Phi-4,MATH500,deceptive,-0.43178332501922345,0.019148216284445258,-0.30985747065889346
Phi-4,SVAMP,deceptive,-0.29289217836453646,-0.14794611579617392,-0.09194622508019927
Phi-4-Reas.,AQuA,deceptive,0.19722838488898387,0.4123489947562118,1.0845689531397391
Phi-4-Reas.,CommonsenseQA,deceptive,1.7368442514160027,-0.16572099452360972,0.5492617034539299
Phi-4-Reas.,GPQA,deceptive,0.19793092632178916,0.09950819622906254,0.4544223514225895
Phi-4-Reas.,GSM8K,deceptive,0.10286257076075973,0.3152720424519638,1.218318140639423
Phi-4-Reas.,MATH500,deceptive,-0.4081514874215148,0.3146234714284896,0.7950771965104176
Phi-4-Reas.,SVAMP,deceptive,-0.24667454252775806,0.1740308390504566,0.9042245618982554
Qwen2.5-7B,AQuA,deceptive,0.37504537979054514,0.10301176385857568,0.6879086177410837
Qwen2.5-7B,CommonsenseQA,deceptive,0.12906718536137332,0.10476549614710133,0.35011943863902306
Qwen2.5-7B,GPQA,deceptive,0.1979385167265209,0.07588881352737642,0.1748654097857523
Qwen2.5-7B,GSM8K,deceptive,0.04340543625414214,-0.7993410690613474,0.11694687760102322
Qwen2.5-7B,MATH500,deceptive,0.3232307228075182,-0.30780533422187983,0.4660607042748871
Qwen2.5-7B,SVAMP,deceptive,-0.10420708221572304,-0.9815109794406026,-0.17545065335633714
Qwen2.5-Math,AQuA,unreliable,-0.707640916922801,-0.06750825971685454,0.015420405806257328
Qwen2.5-Math,CommonsenseQA,unreliable,0.03748998828817556,0.09759608134923871,0.1788843329908814
Qwen2.5-Math,GPQA,unreliable,-0.47883733931623923,0.19647760183027013,0.20595197317637842
Qwen2.5-Math,GSM8K,unreliable,0.17360932589361114,-0.19502809495761625,0.3440894410650708
Qwen2.5-Math,MATH500,unreliable,0.05617878084761819,0.15869767855789058,0.13386915403378943
Qwen2.5-Math,SVAMP,unreliable,0.05326852048638285,-0.49535811601738555,-0.08788677654220108
Qwen3-4B,AQuA,reliable,-0.10880811732027618,0.05587655257796665,-0.06259364957126527
Qwen3-4B,CommonsenseQA,reliable,0.42877109584921136,0.21021727698803697,0.611755202064812
Qwen3-4B,GPQA,reliable,-0.10951393157225116,0.01670050466520776,0.1772756988473327
Qwen3-4B,GSM8K,reliable,0.5607003357538572,0.5473328805533274,0.649675004176683
Qwen3-4B,MATH500,reliable,0.04285217434498841,-0.2534496376289841,-0.7064438599264886
Qwen3-4B,SVAMP,reliable,0.6215892648773528,0.39892719482582156,0.47926853577201367
