model,dataset,regime_t07,regime_t0,gap_t07,gap_t0,agreement
DS-R1-1.5B,AQuA,reliable,reliable,15.94488188976378,3.149606299212598,True
DS-R1-1.5B,CommonsenseQA,unreliable,reliable,-0.5016380016380017,8.289018271578442,False
DS-R1-1.5B,GPQA,deceptive,deceptive,-6.919642857142857,-13.392857142857146,True
DS-R1-1.5B,GSM8K,reliable,deceptive,11.040561031084154,-5.701476065664224,False
DS-R1-1.5B,MATH500,reliable,reliable,14.3,7.200000000000001,True
DS-R1-1.5B,SVAMP,reliable,deceptive,5.1125,-18.000000000000004,False
DS-R1-7B,AQuA,reliable,reliable,8.12007874015748,28.346456692913378,True
DS-R1-7B,CommonsenseQA,unreliable,reliable,0.020475020475020474,9.586810120468996,False
DS-R1-7B,GPQA,deceptive,unreliable,-14.369419642857142,0.4464285714285754,False
DS-R1-7B,GSM8K,unreliable,reliable,1.3457164518574678,9.717202372741063,False
DS-R1-7B,MATH500,reliable,reliable,6.125,23.2,True
DS-R1-7B,SVAMP,unreliable,reliable,0.5625,4.200000000000004,False
Gemma-7B,AQuA,unreliable,deceptive,-0.44291338582677164,-2.3622047244094486,False
Gemma-7B,CommonsenseQA,unreliable,deceptive,-1.986076986076986,-4.4672801910332405,False
Gemma-7B,GPQA,deceptive,unreliable,-10.491071428571429,1.3392857142857122,False
Gemma-7B,GSM8K,reliable,deceptive,8.87983320697498,-8.698900997838782,False
Gemma-7B,MATH500,reliable,deceptive,2.275,-19.6,False
Gemma-7B,SVAMP,reliable,deceptive,2.975,-23.599999999999998,False
LLaMA-3.1-8B,AQuA,deceptive,reliable,-5.413385826771654,29.92125984251968,False
LLaMA-3.1-8B,CommonsenseQA,unreliable,reliable,-0.4095004095004095,6.11574682729199,False
LLaMA-3.1-8B,GPQA,reliable,reliable,4.185267857142857,16.071428571428577,True
LLaMA-3.1-8B,GSM8K,unreliable,reliable,1.023502653525398,15.646296040833219,False
LLaMA-3.1-8B,MATH500,unreliable,reliable,-1.1,21.6,False
LLaMA-3.1-8B,SVAMP,unreliable,reliable,-0.25,11.2,False
Phi-4,AQuA,unreliable,deceptive,1.0334645669291338,-29.13385826771654,False
Phi-4,CommonsenseQA,reliable,reliable,9.756347256347256,30.43170293257492,True
Phi-4,GPQA,deceptive,unreliable,-4.185267857142857,-1.3392857142857095,False
Phi-4,GSM8K,deceptive,deceptive,-5.979909021986353,-3.9318066859796663,True
Phi-4,MATH500,reliable,deceptive,4.35,-26.400000000000002,False
Phi-4,SVAMP,deceptive,deceptive,-5.0375,-5.799999999999994,True
Phi-4-Reas.,AQuA,reliable,reliable,3.7893700787401574,9.44881889763779,True
Phi-4-Reas.,CommonsenseQA,unreliable,reliable,1.1261261261261262,55.1401894234123,False
Phi-4-Reas.,GPQA,reliable,reliable,5.608258928571429,19.19642857142857,True
Phi-4-Reas.,GSM8K,unreliable,reliable,0.7391963608794542,2.584954246562754,False
Phi-4-Reas.,MATH500,unreliable,unreliable,1.525,-1.200000000000001,True
Phi-4-Reas.,SVAMP,unreliable,unreliable,-0.45,1.9999999999999907,True
Qwen2.5-7B,AQuA,unreliable,reliable,1.1318897637795275,18.11023622047244,False
Qwen2.5-7B,CommonsenseQA,unreliable,reliable,0.5425880425880426,9.202597193528483,False
Qwen2.5-7B,GPQA,reliable,reliable,2.1763392857142856,5.803571428571431,True
Qwen2.5-7B,GSM8K,deceptive,unreliable,-21.43669446550417,-0.8959856531935428,False
Qwen2.5-7B,MATH500,deceptive,reliable,-17.475,15.600000000000003,False
Qwen2.5-7B,SVAMP,deceptive,deceptive,-21.4875,-3.1999999999999917,True
Qwen2.5-Math,AQuA,deceptive,deceptive,-3.395669291338583,-20.472440944881892,True
Qwen2.5-Math,CommonsenseQA,reliable,reliable,4.381654381654382,3.6921467092377425,True
Qwen2.5-Math,GPQA,reliable,unreliable,3.125,1.339285714285715,False
Qwen2.5-Math,GSM8K,deceptive,reliable,-6.9465504169825625,4.571205223709018,False
Qwen2.5-Math,MATH500,reliable,reliable,4.85,2.400000000000002,True
Qwen2.5-Math,SVAMP,deceptive,reliable,-11.3,4.400000000000004,False
Qwen3-4B,AQuA,reliable,deceptive,3.937007874015748,-14.173228346456689,False
Qwen3-4B,CommonsenseQA,deceptive,reliable,-2.9484029484029484,11.515923908668945,False
Qwen3-4B,GPQA,deceptive,deceptive,-4.296875,-9.375,True
Qwen3-4B,GSM8K,reliable,reliable,16.612964366944656,20.20899434404746,True
Qwen3-4B,MATH500,reliable,deceptive,7.65,-2.0000000000000018,False
Qwen3-4B,SVAMP,reliable,reliable,14.3375,19.000000000000007,True
