model,dataset,top_k_pct,accuracy,n_traces,n_total,mean_confidence
DS-R1-1.5B,AQuA,10,80.34,407,4064,0.2964
DS-R1-1.5B,AQuA,20,72.69,813,4064,0.2587
DS-R1-1.5B,AQuA,30,64.97,1219,4064,0.2357
DS-R1-1.5B,AQuA,50,54.92,2032,4064,0.2067
DS-R1-1.5B,AQuA,70,47.91,2845,4064,0.188
DS-R1-1.5B,AQuA,100,42.91,4064,4064,0.1662
DS-R1-1.5B,CommonsenseQA,10,44.37,1954,19536,0.213
DS-R1-1.5B,CommonsenseQA,20,42.14,3908,19536,0.1641
DS-R1-1.5B,CommonsenseQA,30,41.82,5861,19536,0.1414
DS-R1-1.5B,CommonsenseQA,50,41.74,9768,19536,0.1177
DS-R1-1.5B,CommonsenseQA,70,41.02,13675,19536,0.1039
DS-R1-1.5B,CommonsenseQA,100,40.74,19536,19536,0.0882
DS-R1-1.5B,GPQA,10,36.26,717,7168,0.4282
DS-R1-1.5B,GPQA,20,34.94,1434,7168,0.3583
DS-R1-1.5B,GPQA,30,34.73,2151,7168,0.316
DS-R1-1.5B,GPQA,50,33.71,3584,7168,0.2614
DS-R1-1.5B,GPQA,70,32.67,5017,7168,0.2255
DS-R1-1.5B,GPQA,100,35.18,7168,7168,0.1855
DS-R1-1.5B,GSM8K,10,92.28,2111,21104,0.368
DS-R1-1.5B,GSM8K,20,91.33,4221,21104,0.3314
DS-R1-1.5B,GSM8K,30,89.45,6331,21104,0.3033
DS-R1-1.5B,GSM8K,50,86.24,10552,21104,0.2571
DS-R1-1.5B,GSM8K,70,80.67,14773,21104,0.2247
DS-R1-1.5B,GSM8K,100,73.33,21104,21104,0.1909
DS-R1-1.5B,MATH500,10,76.38,800,8000,0.3435
DS-R1-1.5B,MATH500,20,73.5,1600,8000,0.3001
DS-R1-1.5B,MATH500,30,70.62,2400,8000,0.274
DS-R1-1.5B,MATH500,50,65.03,4000,8000,0.2408
DS-R1-1.5B,MATH500,70,60.62,5600,8000,0.2182
DS-R1-1.5B,MATH500,100,53.9,8000,8000,0.1907
DS-R1-1.5B,SVAMP,10,91.62,1600,16000,0.345
DS-R1-1.5B,SVAMP,20,91.91,3200,16000,0.3097
DS-R1-1.5B,SVAMP,30,91.19,4800,16000,0.2835
DS-R1-1.5B,SVAMP,50,89.28,8000,16000,0.241
DS-R1-1.5B,SVAMP,70,84.88,11200,16000,0.2107
DS-R1-1.5B,SVAMP,100,81.59,16000,16000,0.1789
DS-R1-7B,AQuA,10,92.14,407,4064,0.364
DS-R1-7B,AQuA,20,91.88,813,4064,0.3315
DS-R1-7B,AQuA,30,89.91,1219,4064,0.3093
DS-R1-7B,AQuA,50,85.88,2032,4064,0.277
DS-R1-7B,AQuA,70,80.0,2845,4064,0.2524
DS-R1-7B,AQuA,100,71.19,4064,4064,0.2214
DS-R1-7B,CommonsenseQA,10,56.91,1954,19536,0.2177
DS-R1-7B,CommonsenseQA,20,56.83,3908,19536,0.1895
DS-R1-7B,CommonsenseQA,30,56.49,5861,19536,0.1747
DS-R1-7B,CommonsenseQA,50,54.98,9768,19536,0.1565
DS-R1-7B,CommonsenseQA,70,52.53,13675,19536,0.1441
DS-R1-7B,CommonsenseQA,100,49.39,19536,19536,0.1286
DS-R1-7B,GPQA,10,43.1,717,7168,0.4015
DS-R1-7B,GPQA,20,40.45,1434,7168,0.3449
