model,dataset,top_k_pct,accuracy,n_traces,n_total
DS-R1-1.5B,AQuA,10,80.34,407,4064
DS-R1-1.5B,AQuA,20,72.69,813,4064
DS-R1-1.5B,AQuA,30,64.97,1219,4064
DS-R1-1.5B,AQuA,40,59.78,1626,4064
DS-R1-1.5B,AQuA,50,54.92,2032,4064
DS-R1-1.5B,CommonsenseQA,10,44.37,1954,19536
DS-R1-1.5B,CommonsenseQA,20,42.14,3908,19536
DS-R1-1.5B,CommonsenseQA,30,41.82,5861,19536
DS-R1-1.5B,CommonsenseQA,40,41.6,7815,19536
DS-R1-1.5B,CommonsenseQA,50,41.74,9768,19536
DS-R1-1.5B,GPQA,10,36.26,717,7168
DS-R1-1.5B,GPQA,20,34.94,1434,7168
DS-R1-1.5B,GPQA,30,34.73,2151,7168
DS-R1-1.5B,GPQA,40,34.67,2867,7168
DS-R1-1.5B,GPQA,50,33.71,3584,7168
DS-R1-1.5B,GSM8K,10,92.28,2111,21104
DS-R1-1.5B,GSM8K,20,91.33,4221,21104
DS-R1-1.5B,GSM8K,30,89.45,6331,21104
DS-R1-1.5B,GSM8K,40,88.19,8442,21104
DS-R1-1.5B,GSM8K,50,86.24,10552,21104
DS-R1-1.5B,MATH500,10,76.38,800,8000
DS-R1-1.5B,MATH500,20,73.5,1600,8000
DS-R1-1.5B,MATH500,30,70.62,2400,8000
DS-R1-1.5B,MATH500,40,68.12,3200,8000
DS-R1-1.5B,MATH500,50,65.03,4000,8000
DS-R1-1.5B,SVAMP,10,91.62,1600,16000
DS-R1-1.5B,SVAMP,20,91.91,3200,16000
DS-R1-1.5B,SVAMP,30,91.19,4800,16000
DS-R1-1.5B,SVAMP,40,90.58,6400,16000
DS-R1-1.5B,SVAMP,50,89.28,8000,16000
DS-R1-7B,AQuA,10,92.14,407,4064
DS-R1-7B,AQuA,20,91.88,813,4064
DS-R1-7B,AQuA,30,89.91,1219,4064
DS-R1-7B,AQuA,40,88.13,1626,4064
DS-R1-7B,AQuA,50,85.88,2032,4064
DS-R1-7B,CommonsenseQA,10,56.91,1954,19536
DS-R1-7B,CommonsenseQA,20,56.83,3908,19536
DS-R1-7B,CommonsenseQA,30,56.49,5861,19536
DS-R1-7B,CommonsenseQA,40,56.05,7815,19536
DS-R1-7B,CommonsenseQA,50,54.98,9768,19536
DS-R1-7B,GPQA,10,43.1,717,7168
DS-R1-7B,GPQA,20,40.45,1434,7168
DS-R1-7B,GPQA,30,41.7,2151,7168
DS-R1-7B,GPQA,40,42.45,2867,7168
DS-R1-7B,GPQA,50,43.64,3584,7168
DS-R1-7B,GSM8K,10,96.92,2111,21104
DS-R1-7B,GSM8K,20,96.14,4221,21104
DS-R1-7B,GSM8K,30,95.75,6331,21104
DS-R1-7B,GSM8K,40,95.31,8442,21104
DS-R1-7B,GSM8K,50,94.85,10552,21104
DS-R1-7B,MATH500,10,77.25,800,8000
DS-R1-7B,MATH500,20,76.31,1600,8000
DS-R1-7B,MATH500,30,75.33,2400,8000
DS-R1-7B,MATH500,40,74.47,3200,8000
DS-R1-7B,MATH500,50,72.52,4000,8000
DS-R1-7B,SVAMP,10,96.25,1600,16000
