model,benchmark,mean_selection_gain,std_selection_gain,stderr_selection_gain,n_questions,mean_top_conf_reasoning,mean_random_reasoning
DS-R1-1.5B,AQuA,0.16875,0.24976551503360103,0.03532217787736197,50,0.7425,0.57375
DS-R1-1.5B,CSQA,-0.0325,0.3659832646447102,0.05175784964621308,50,0.5925,0.625
DS-R1-1.5B,GPQA,0.01625,0.2582422554501877,0.03652097000354727,50,0.50375,0.4875
DS-R1-1.5B,GSM8K,0.16,0.244361412665748,0.03455792239125494,50,0.875,0.715
DS-R1-1.5B,MATH500,0.07625,0.22648468491268897,0.032029771307332186,50,0.775,0.69875
DS-R1-1.5B,SVAMP,0.06625,0.26172803155183816,0.03701393318738228,50,0.79625,0.73
DS-R1-7B,AQuA,0.05625,0.15724682031761406,0.022238058593321494,50,0.86,0.80375
DS-R1-7B,CSQA,0.02125,0.17616132521072836,0.024912973527862946,50,0.74625,0.725
DS-R1-7B,GPQA,0.105,0.2241093483101497,0.031693847983480954,50,0.67375,0.56875
DS-R1-7B,GSM8K,0.025,0.14630874888399534,0.020691181696558564,50,0.96375,0.93875
DS-R1-7B,MATH500,0.06125,0.15129131667085194,0.021395823190520153,50,0.83375,0.7725
DS-R1-7B,SVAMP,0.03375,0.11195004466278698,0.015832127147038706,50,0.975,0.94125
Gemma-7B,AQuA,-0.19,0.2783769925837981,0.039368451836464174,50,0.19,0.38
Gemma-7B,CSQA,-0.15625,0.2640578771784701,0.03734342311572414,50,0.1175,0.27375
Gemma-7B,GPQA,-0.07875,0.24774293632715344,0.03503614205359945,50,0.335,0.41375
Gemma-7B,GSM8K,-0.05,0.3954823004889094,0.05592964330299274,50,0.52,0.57
Gemma-7B,MATH500,-0.085,0.23243278598338918,0.0328709598277872,50,0.2675,0.3525
Gemma-7B,SVAMP,-0.18,0.4892021565774215,0.06918363245739559,50,0.33625,0.51625
LLaMA-3.1-8B,AQuA,-0.0275,0.3095258470628907,0.04377356508213605,50,0.4125,0.44
LLaMA-3.1-8B,CSQA,-0.05125,0.27032676985455956,0.03822997842008285,50,0.5275,0.57875
LLaMA-3.1-8B,GPQA,-0.015,0.22028390771910686,0.031152848986890424,50,0.54125,0.55625
LLaMA-3.1-8B,GSM8K,-0.01375,0.29640818561571475,0.04191844760961455,50,0.80375,0.8175
LLaMA-3.1-8B,MATH500,-0.00625,0.30650499588098074,0.04334635221099926,50,0.5125,0.51875
LLaMA-3.1-8B,SVAMP,-0.08375,0.3496895944977488,0.04945357671594643,50,0.7,0.78375
Phi-4,AQuA,-0.0625,0.2918154382482188,0.04126893504804795,50,0.78875,0.85125
Phi-4,CSQA,0.17375,0.3861448076822994,0.054609122406425833,50,0.81625,0.6425
Phi-4,GPQA,0.1075,0.295550334122633,0.04179712908801273,50,0.63,0.5225
Phi-4,GSM8K,-0.0525,0.30061395509856154,0.04251323323390023,50,0.86375,0.91625
Phi-4,MATH500,-0.01875,0.29000269395300454,0.041012574291307294,50,0.8025,0.82125
Phi-4,SVAMP,-0.0175,0.3330821970625269,0.04710493604708534,50,0.81875,0.83625
Phi-4-Reas.,AQuA,-0.09,0.23984369910422915,0.03391902121229326,50,0.7725,0.8625
Phi-4-Reas.,CSQA,-0.31375,0.43740891909059193,0.06185896256808709,50,0.35,0.66375
Phi-4-Reas.,GPQA,-0.06,0.33795339915438044,0.047793828053421285,50,0.50625,0.56625
Phi-4-Reas.,GSM8K,-0.11375,0.2350830970103976,0.03324577040767743,50,0.795,0.90875
Phi-4-Reas.,MATH500,-0.045,0.2580092052621379,0.03648801172988191,50,0.7975,0.8425
Phi-4-Reas.,SVAMP,-0.18125,0.25070213900164473,0.035454636509207084,50,0.71125,0.8925
Qwen2.5-7B,AQuA,-0.0075,0.26973366493635903,0.03814610071815991,50,0.685,0.6925
Qwen2.5-7B,CSQA,-0.14375,0.23125000000000004,0.032703688629877825,50,0.71375,0.8575
Qwen2.5-7B,GPQA,-0.02875,0.18294893413190466,0.02587288638710416,50,0.5175,0.54625
Qwen2.5-7B,GSM8K,-0.18125,0.2646489419967516,0.03742701230394967,50,0.6,0.78125
Qwen2.5-7B,MATH500,-0.0375,0.2576941016011038,0.036443449342783124,50,0.7025,0.74
Qwen2.5-7B,SVAMP,-0.15125,0.30798995519334715,0.04355635717091134,50,0.6225,0.77375
Qwen2.5-Math,AQuA,-0.08125,0.33148576515440303,0.046879166481497946,50,0.7075,0.78875
Qwen2.5-Math,CSQA,-0.04625,0.2863591494958735,0.04049729929266889,50,0.645,0.69125
Qwen2.5-Math,GPQA,0.04,0.25210364931908463,0.03565283999908002,50,0.55,0.51
Qwen2.5-Math,GSM8K,-0.06875,0.3209483019116942,0.04538894413841327,50,0.8325,0.90125
Qwen2.5-Math,MATH500,-0.0275,0.2669737814842499,0.03775579425730573,50,0.70625,0.73375
Qwen2.5-Math,SVAMP,-0.02375,0.3486334930840696,0.04930422142169978,50,0.815,0.83875
Qwen3-4B,AQuA,0.0775,0.1835245215223295,0.025954286736491135,50,0.77125,0.69375
Qwen3-4B,CSQA,-0.03875,0.1948116077137089,0.027550521773643418,50,0.69125,0.73
Qwen3-4B,GPQA,0.03375,0.15320023661861623,0.021665785238481432,50,0.54375,0.51
Qwen3-4B,GSM8K,0.1,0.22360679774997896,0.03162277660168379,50,0.87625,0.77625
Qwen3-4B,MATH500,0.0425,0.1893409622876149,0.026776855677991773,50,0.705,0.6625
Qwen3-4B,SVAMP,-0.00625,0.22264391413196094,0.031486604294524996,50,0.825,0.83125
